wave_A,ep_eV,loggf,term_low,term_up,level_low,level_up,label_low,label_up,flag_low,flag_up,reason_low,reason_up,nlte
6062.122,3.449,-5.062,b3G,z5I*,16,53,b3G,z5I*,c,c,label,label,True
6062.361,4.186,-3.894,b1I,s5F*,28,96,b1I,s5F*,c,c,label,label,True
6062.674,3.195,-1.588,z7F*,e7D,12,46,z7F*,e7D,c,c,label,label,True
6063.12,3.89,-2.152,a5F,v5D*,23,76,a5F,v5D*,c,c,label,label,True
6066.419,4.096,-3.083,b3F,w5G*,26,90,b3F,w5G*,c,c,label,label,True
6067.708,3.551,-3.105,a3D,v5P*,18,55,a3D,v5P*,c,c,label,label,True
6067.842,0.968,-13.16,a5D,b5D*,3,0,a5D,none,c,x,label,label-absent->energy-route-disabled,False
6067.842,0.968,-8.053,a5D,b5D*,3,0,a5D,none,c,x,label,label-absent->energy-route-disabled,False
6068.791,3.892,-2.496,a5F,v5D*,23,76,a5F,v5D*,c,c,label,label,True
6069.782,4.447,-8.577,b3H,7P*,33,0,b3H,none,c,x,label,label-absent->energy-route-disabled,False
6070.406,3.113,-4.321,a3F,y5D*,11,44,a3F,y5D*,c,c,label,label,True
6070.558,3.092,-4.678,a3F,y5D*,11,44,a3F,y5D*,c,c,label,label,True
6071.339,0.968,-11.53,a5D,b5D*,3,0,a5D,none,c,x,label,label-absent->energy-route-disabled,False
6073.981,3.888,-3.033,a5F,v5D*,23,76,a5F,v5D*,c,c,label,label,True
6074.139,4.411,-2.662,c5D,t5D*,31,105,c5D,t5D*,c,c,label,label,True
6077.343,3.889,-2.118,a5F,v5D*,23,76,a5F,v5D*,c,c,label,label,True
6079.036,4.697,-3.941,e5S,q5F*,38,134,e5S,q5F*,c,c,label,label,True
6081.242,4.411,-2.602,c5D,t5D*,31,105,c5D,t5D*,c,c,label,label,True
6082.19,4.096,-3.925,b3F,y3S*,26,89,b3F,y3S*,c,c,label,label,True
6082.331,3.89,-3.242,a5F,v5D*,23,76,a5F,v5D*,c,c,label,label,True
6082.674,3.887,-3.802,a5F,v5D*,23,76,a5F,v5D*,c,c,label,label,True
6083.374,3.887,-3.489,a5F,v5D*,23,76,a5F,v5D*,c,c,label,label,True
6084.437,3.888,-2.635,a5F,v5D*,23,76,a5F,v5D*,c,c,label,label,True
6086.687,4.106,-2.206,b3F,w3G*,26,88,b3F,w3G*,c,c,label,label,True
6087.811,3.889,-4.048,a5F,v5D*,23,76,a5F,v5D*,c,c,label,label,True
6088.496,3.887,-3.206,a5F,v5D*,23,76,a5F,v5D*,c,c,label,label,True
6088.762,3.428,-4.738,z7D*,e5D,15,51,z7D*,e5D,c,c,label,label,True
6089.561,3.888,-4.818,a5F,v5D*,23,76,a5F,v5D*,c,c,label,label,True
6089.987,3.89,-3.999,a5F,x5H*,23,77,a5F,x5H*,c,c,label,label,True
6091.66,4.532,-1.415,d3F,x3H*,35,110,d3F,x3H*,c,c,label,label,True
6093.463,4.106,-2.25,b3F,w5G*,26,90,b3F,w5G*,c,c,label,label,True
6093.623,4.099,-3.17,b3F,w5G*,26,90,b3F,w5G*,c,c,label,label,True
6098.141,4.416,-2.699,c5D,t5D*,31,105,c5D,t5D*,c,c,label,label,True
6098.396,4.099,-2.357,b3F,w3G*,26,88,b3F,w3G*,c,c,label,label,True
6099.24,3.079,-5.449,a3G,y5F*,10,43,a3G,y5F*,c,c,label,label,True
6101.183,4.535,-2.404,d3F,x3H*,35,110,d3F,x3H*,c,c,label,label,True
6102.11,3.668,-4.69,y5P*,f5S,19,61,y5P*,f5S,c,c,label,label,True
6102.914,4.416,-3.052,c5D,t5D*,31,105,c5D,t5D*,c,c,label,label,True
6104.636,0.983,-7.82,a5D,b5D*,3,0,a5D,none,c,x,label,label-absent->energy-route-disabled,False
6110.714,3.438,-2.763,y7P*,e5D,17,51,y7P*,e5D,c,c,label,label,True
6111.114,0.983,-10.83,a5D,b5D*,3,0,a5D,none,c,x,label,label-absent->energy-route-disabled,False
6111.114,0.983,-8.348,a5D,b5D*,3,0,a5D,none,c,x,label,label-absent->energy-route-disabled,False
6112.667,3.104,-4.75,a3G,y5F*,10,43,a3G,y5F*,c,c,label,label,True
6112.68,0.983,-8.118,a5D,b5D*,3,0,a5D,none,c,x,label,label-absent->energy-route-disabled,False
6113.697,3.438,-2.281,y7P*,e5D,17,51,y7P*,e5D,c,c,label,label,True
6114.661,0.983,-8.045,a5D,b5D*,3,0,a5D,none,c,x,label,label-absent->energy-route-disabled,False
6117.883,3.36,-9.678,2D2,2F*,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
6117.951,3.89,-7.184,a5F,w7P*,23,75,a5F,w7P*,c,c,label,label,True
6117.992,0.941,-12.36,a5S,a3H*,2,0,a5S,none,c,x,label,label-absent->energy-route-disabled,False
6118.019,4.106,-3.54,b3F,w3G*,26,88,b3F,w3G*,c,c,label,label,True
6118.243,3.438,-1.986,y7P*,e5D,17,51,y7P*,e5D,c,c,label,label,True
6119.269,0.325,-9.284,4F,4P*,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
6119.936,4.613,-8.247,c3G,s5D*,37,118,c3G,s5D*,c,c,label,label,True
6120.87,3.889,-8.175,a5F,w7P*,23,75,a5F,w7P*,c,c,label,label,True
6121.809,4.096,-2.299,b3F,w3G*,26,88,b3F,w3G*,c,c,label,label,True
6121.81,3.89,-7.528,a5F,w7P*,23,75,a5F,w7P*,c,c,label,label,True
6122.135,4.207,-1.46,c3D,w3D*,29,98,c3D,w3D*,c,c,label,label,True
6122.364,4.208,-2.389,c3D,w3D*,29,98,c3D,w3D*,c,c,label,label,True
6124.213,3.889,-3.51,a5F,x5H*,23,77,a5F,x5H*,c,c,label,label,True
6129.277,3.89,-4.666,a5F,x5H*,23,77,a5F,x5H*,c,c,label,label,True
6129.525,4.099,-3.908,b3F,w3G*,26,88,b3F,w3G*,c,c,label,label,True
6130.435,4.535,-1.296,d3F,x3H*,35,110,d3F,x3H*,c,c,label,label,True
6132.26,3.113,-6.86,a3F,y5D*,11,44,a3F,y5D*,c,c,label,label,True
6132.545,2.567,-11.76,3G,1F*,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
6132.545,2.567,-9.119,3G,1F*,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
6132.802,3.966,-5.589,a1G,y3H*,24,80,a1G,y3H*,c,c,label,label,True
6139.924,0.968,-9.882,a5D,a3P*,3,0,a5D,none,c,x,label,label-absent->energy-route-disabled,False
6139.924,0.968,-9.769,a5D,a3P*,3,0,a5D,none,c,x,label,label-absent->energy-route-disabled,False
6140.486,3.888,-3.416,a5F,v5F*,23,72,a5F,v5F*,c,c,label,label,True
6141.153,3.887,-3.643,a5F,v5F*,23,72,a5F,v5F*,c,c,label,label,True
6141.77,4.204,-2.529,c3D,w3D*,29,98,c3D,w3D*,c,c,label,label,True
6141.835,3.887,-3.376,a5F,v5F*,23,72,a5F,v5F*,c,c,label,label,True
6142.237,3.888,-3.249,a5F,v5F*,23,72,a5F,v5F*,c,c,label,label,True
6142.41,4.207,-4.134,c3D,s5F*,29,96,c3D,s5F*,c,c,label,label,True
6142.536,3.889,-3.495,a5F,v5F*,23,72,a5F,v5F*,c,c,label,label,True
6142.919,3.888,-3.713,a5F,v5F*,23,72,a5F,v5F*,c,c,label,label,True
6143.922,3.889,-3.065,a5F,v5F*,23,72,a5F,v5F*,c,c,label,label,True
6145.675,3.889,-3.528,a5F,v5F*,23,72,a5F,v5F*,c,c,label,label,True
6145.684,3.89,-3.581,a5F,v5F*,23,72,a5F,v5F*,c,c,label,label,True
6147.631,3.89,-2.872,a5F,v5F*,23,72,a5F,v5F*,c,c,label,label,True
6148.056,3.449,-3.182,y7P*,e5D,17,51,y7P*,e5D,c,c,label,label,True
6149.02,3.89,-3.535,a5F,v5F*,23,72,a5F,v5F*,c,c,label,label,True
6149.35,4.106,-3.639,b3F,w3G*,26,88,b3F,w3G*,c,c,label,label,True
6149.495,3.889,-4.183,a5F,x5H*,23,77,a5F,x5H*,c,c,label,label,True
6151.225,3.079,-7.885,a3G,y5F*,10,43,a3G,y5F*,c,c,label,label,True
6151.511,3.892,-2.761,a5F,v5F*,23,72,a5F,v5F*,c,c,label,label,True
