wave_A,ep_eV,loggf,term_low,term_up,level_low,level_up,label_low,label_up,flag_low,flag_up,reason_low,reason_up,nlte
4809.174,11.736,-5.562,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4809.177,10.476,-3.27,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4809.179,11.736,-3.809,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4809.382,10.476,-4.297,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4810.067,2.434,-13.82,a4D,a2S*,151,0,a4D,none,c,x,label,label-absent->energy-route-disabled,False
4810.067,2.434,-12.49,a4D,a2S*,151,0,a4D,none,c,x,label,label-absent->energy-route-disabled,False
4810.077,6.686,-4.732,c4F,x2H*,185,220,c4F,x2H*,c,c,label,label,True
4812.337,3.864,-1.977,a4F,z4F*,158,183,a4F,z4F*,c,c,label,label,True
4815.304,7.38,-2.5,b2P,w2D*,189,230,b2P,w2D*,c,c,label,label,True
4817.338,6.641,-2.933,c4F,w4F*,185,219,c4F,w4F*,c,c,label,label,True
4819.377,8.273,-5.19,y4P*,f6D,199,245,y4P*,f6D,c,c,label,label,True
4819.489,8.692,-4.169,y2G*,e4F,212,254,y2G*,e4F,c,c,label,label,True
4819.596,10.733,-5.34,u4G*,6F,244,0,u4G*,none,c,x,label,label-absent->energy-route-disabled,False
4819.842,11.788,-0.931,4D*,4D,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
4824.127,3.871,-0.98,a4F,z4F*,158,183,a4F,z4F*,c,c,label,label,True
4824.362,5.493,-3.953,b2S,z2S*,175,194,b2S,z2S*,c,c,label,label,True
4824.979,3.827,-5.306,b4P,z4F*,157,183,b4P,z4F*,c,c,label,label,True
4827.146,7.387,-3.431,e2F,w2D*,190,230,e2F,w2D*,c,c,label,label,True
4827.905,1.506,-9.973,a6D,b4F*,150,0,a6D,none,c,x,label,label-absent->energy-route-disabled,False
4828.887,5.319,-5.067,b2D,z4H*,174,192,b2D,z4H*,c,c,label,label,True
4829.085,10.61,-6.299,v2G*,4D,238,0,v2G*,none,c,x,label,label-absent->energy-route-disabled,False
4829.176,10.476,-2.906,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4829.218,10.798,-2.554,u4G*,4G,244,0,u4G*,none,c,x,label,label-absent->energy-route-disabled,False
4829.256,10.744,-8.225,e6G,q2D*,243,330,e6G,q2D*,c,c,label,label,True
4830.231,8.49,-3.833,z2H*,e4G,207,250,z2H*,e4G,c,c,label,label,True
4830.282,1.506,-12.3,a6D,b4F*,150,0,a6D,none,c,x,label,label-absent->energy-route-disabled,False
4830.282,1.506,-10.92,a6D,b4F*,150,0,a6D,none,c,x,label,label-absent->energy-route-disabled,False
4830.296,3.104,-11.55,b4D,c2D*,154,0,b4D,none,c,x,label,label-absent->energy-route-disabled,False
4830.296,3.104,-10.03,b4D,c2D*,154,0,b4D,none,c,x,label,label-absent->energy-route-disabled,False
4830.479,11.069,-4.493,e4P,4P*,249,0,e4P,none,c,x,label,label-absent->energy-route-disabled,False
4830.693,3.104,-11.36,b4D,c2D*,154,0,b4D,none,c,x,label,label-absent->energy-route-disabled,False
4830.777,11.748,-6.158,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
