wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
4893.429	4893.44626		3.0				L17684	7.48277598    -   10.01574721	7.48277598			4893.429
4898.6421	4898.64264		5.0				L12175c183	7.48779869    -   10.018083033	7.48779869			4898.6421
4907.85	4907.82		7.0				L2138	8.647160399   -   11.17271	8.647160399			4907.85
4922.688	4922.7		3.0				L17684	8.53709962    -   11.055019	8.53709962			4922.688
4926.416	4926.433		3.0				L17684	8.53709962    -   11.053111	8.53709962			4926.416
4932.02553	4932.02524	0.0073	3.0	6000000.0	B	T6070	L12175c183	7.68476777    -   10.19792602	7.68476777	-1.6595558851598817	10.0	4932.02553
4942.021	4942.009		3.0				L17684	8.53709962    -   11.045181	8.53709962			4942.021
4943.576	4943.574		7.0				L17684	8.647160399   -   11.154448	8.647160399			4943.576
4951.1	4950.9		5.0				L2138	8.643023685   -   11.14660	8.643023685			4951.1
4991.408	4991.408		7.0				L17684	8.647160399   -   11.130420	8.647160399			4991.408
4996.43	4996.48		3.0				L2138	8.64039604    -   11.12113	8.64039604			4996.43
4997.93	4997.98		5.0				L2138	8.643023685   -   11.12302	8.643023685			4997.93
5010.18	5010.14		7.0				L2138	8.647160399  -    11.12113	8.647160399			5010.18
	5011.26527	2.7e-05	7.0	9900.0	C	T6070		7.945771557  -    10.41919132	7.945771557	-3.7235381958267557	25.0	5011.26527
5012.0	5012.00124		3.0				L17684	7.94613476   -    10.41919132	7.94613476			5012.0
5012.0	5012.02974	0.00031	3.0	82000.0	C	T6070	L17684	7.94613476   -    10.41917726	7.94613476	-3.0315170514460648	25.0	5012.0
5012.28	5012.27628	0.00016	5.0	44000.0	C	T6070	L17684	7.94627046   -    10.41919132	7.94627046	-3.0969100130080562	25.0	5012.28
5012.28	5012.30478		5.0				L17684	7.94627046   -    10.41917726	7.94627046			5012.28
5017.09	5017.05317		7.0				L17684	7.945771557  -    10.41633791	7.945771557			5017.09
5017.09	5017.0924	0.0005	7.0	130000.0	C	T6070	L17684	7.945771557  -    10.416318591	7.945771557	-2.4559319556497243	25.0	5017.09
5017.761	5017.79084	0.0002	3.0	31000.0	C	T6070	L17684	7.94613476   -    10.41633791	7.94613476	-3.221848749616356	25.0	5017.761
5018.07	5018.10577		5.0				L17684	7.94627046   -    10.416318591	7.94627046			5018.07
5018.07	5018.06651	0.00029	5.0	77000.0	C	T6070	L17684	7.94627046   -    10.41633791	7.94627046	-2.838631997765025	25.0	5018.07
5023.85	5023.84497	0.00088	7.0	180000.0	C	T6070	L17684	7.945771557  -    10.41299796	7.945771557	-2.2104192878355744	25.0	5023.85
5023.85	5023.91326		7.0				L17684	7.945771557  -    10.41296443	7.945771557			5023.85
5024.916	5024.92938	0.00037	5.0	71000.0	C	T6070	L17684	7.94627046   -    10.41296443	7.94627046	-2.7328282715969863	25.0	5024.916
5039.07	5039.05608	0.0023	7.0	470000.0	C	T6070	L17684	7.945771557  -    10.405550385	7.945771557	-1.7931741239681502	25.0	5039.07
5039.07	5039.10675		7.0				L17684	7.945771557  -    10.40552565	7.945771557			5039.07
5040.134	5040.12903	0.001	5.0	190000.0	C	T6070	L17684	7.94627046   -    10.40552565	7.94627046	-2.3010299956639813	25.0	5040.134
5041.481	5041.49039	0.0033	3.0	530000.0	C	T6070	L17684	7.94613476   -    10.40472588	7.94613476	-2.0043648054024503	25.0	5041.481
5041.8	5041.79678	0.0018	5.0	330000.0	C	T6070	L17684	7.94627046   -    10.404712177	7.94627046	-2.0457574905606752	25.0	5041.8
5041.8	5041.76868	0.00022	5.0	57000.0	C	T6070	L17684	7.94627046   -    10.40472588	7.94627046	-2.958607314841775	25.0	5041.8
5045.19	5045.307		5.0				L2138	8.643023685  -    11.099755	8.643023685			5045.19
5052.14919	5052.14927	0.0166	3.0	2600000.0	B	T6070	L12175c183	7.68476777   -    10.13817190	7.68476777	-1.3027706572402824	10.0	5052.14919
5053.515	5053.529	0.0029	3.0	770000.0	C	T5520	L17684	8.53709962   -    10.989834	8.53709962	-2.0604807473813813	25.0	5053.515
5054.49	5054.37		7.0				L2138	8.647160399  -    11.09949	8.647160399			5054.49
5057.682	5057.678		7.0				L17684	8.647160399  -    11.097883	8.647160399			5057.682
