band,holding,species,wavelength_air_A,ep_eV,loggf,canonical_line_id,measurement_eligibility,status,ew_mA,core_depth,method,provenance,reason
H,solar_crires_plus_h_rya1094,Si I,15298.9816,7.0288,-3.192,gf_173047,HOLD,DIAGNOSTIC_SERVED,-1.475,-0.00369,"integrated over +/-0.247 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15305.881999999998,7.1079,-2.025,gf_173053,HOLD,DIAGNOSTIC_SERVED,5.7248,0.03585,"integrated over +/-0.139 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15320.8964,7.0299,-3.12,gf_173057,HOLD,DIAGNOSTIC_SERVED,-1.1291,-0.00051,"integrated over +/-0.261 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15322.3335,7.166,-2.726,gf_173058,HOLD,DIAGNOSTIC_SERVED,-0.3234,0.00246,"integrated over +/-0.291 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15330.1905,6.7181,-1.938,gf_173066,HOLD,HOLD,,,,,LookupError: CRIRES+ Y (telluric-corrected) holds only 10 points near 15330.191 A (spans 15007.1-17493.7 A)
H,solar_crires_plus_h_rya1094,Si I,15338.742800000002,6.2612,-2.494,gf_173081,HOLD,HOLD,,,,,LookupError: CRIRES+ Y (telluric-corrected) holds only 8 points near 15338.743 A (spans 15007.1-17493.7 A)
H,solar_crires_plus_h_rya1094,Si I,15342.973,7.1079,-2.423,gf_173088,HOLD,HOLD,,,,,LookupError: CRIRES+ Y (telluric-corrected) holds only 7 points near 15342.973 A (spans 15007.1-17493.7 A)
H,solar_crires_plus_h_rya1094,Si I,15354.755699999998,6.2227,-3.67,gf_173103,HOLD,HOLD,,,,,LookupError: CRIRES+ Y (telluric-corrected) holds only 8 points near 15354.756 A (spans 15007.1-17493.7 A)
H,solar_crires_plus_h_rya1094,Si I,15361.1612,5.9537,-2.084,gf_173107,HOLD,HOLD,,,,,LookupError: CRIRES+ Y (telluric-corrected) holds only 8 points near 15361.161 A (spans 15007.1-17493.7 A)
H,solar_crires_plus_h_rya1094,Si I,15375.4283,6.7341,-1.699,gf_173112,HOLD,HOLD,,,,,LookupError: CRIRES+ Y (telluric-corrected) holds only 7 points near 15375.428 A (spans 15007.1-17493.7 A)
H,solar_crires_plus_h_rya1094,Si I,15376.8307,6.2227,-0.691,gf_173117,HOLD,HOLD,,,,,LookupError: CRIRES+ Y (telluric-corrected) holds only 7 points near 15376.831 A (spans 15007.1-17493.7 A)
H,solar_crires_plus_h_rya1094,Si I,15376.9395,6.7206,-2.397,gf_173118,HOLD,HOLD,,,,,LookupError: CRIRES+ Y (telluric-corrected) holds only 7 points near 15376.940 A (spans 15007.1-17493.7 A)
H,solar_crires_plus_h_rya1094,Si I,15381.7375,6.7206,-2.196,gf_173124,HOLD,HOLD,,,,,LookupError: CRIRES+ Y (telluric-corrected) holds only 7 points near 15381.737 A (spans 15007.1-17493.7 A)
H,solar_crires_plus_h_rya1094,Si I,15387.069,7.166,-1.109,gf_173125,HOLD,HOLD,,,,,LookupError: CRIRES+ Y (telluric-corrected) holds only 8 points near 15387.069 A (spans 15007.1-17493.7 A)
H,solar_crires_plus_h_rya1094,Si I,15405.6349,7.166,-2.472,gf_173133,HOLD,HOLD,,,,,LookupError: CRIRES+ Y (telluric-corrected) holds only 8 points near 15405.635 A (spans 15007.1-17493.7 A)
H,solar_crires_plus_h_rya1094,Si I,15420.8054,7.0055,-2.642,gf_173144,HOLD,DIAGNOSTIC_SERVED,5.4751,0.01094,"integrated over +/-0.362 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15431.4501,7.1343,-2.668,gf_173150,HOLD,HOLD,,,,,ValueError: too few side-band points around 15431.450 (4) — cannot set a local continuum honestly
H,solar_crires_plus_h_rya1094,Si I,15431.6502,6.2612,-2.814,gf_173151,HOLD,DIAGNOSTIC_SERVED,1.2274,0.01243,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15435.3599,7.1252,-2.474,gf_173153,HOLD,HOLD,,,,,ValueError: too few side-band points around 15435.360 (4) — cannot set a local continuum honestly
H,solar_crires_plus_h_rya1094,Si I,15471.9636,6.7255,-2.698,gf_173173,HOLD,DIAGNOSTIC_SERVED,1.6552,0.02094,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15495.6668,7.0055,-2.799,gf_173191,HOLD,HOLD,,,,,ValueError: too few side-band points around 15495.667 (4) — cannot set a local continuum honestly
H,solar_crires_plus_h_rya1094,Si I,15496.9639,7.0055,-1.987,gf_173192,HOLD,DIAGNOSTIC_SERVED,11.9963,0.09923,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15496.999999999998,6.2694,-2.015,gf_173193,HOLD,DIAGNOSTIC_SERVED,9.8121,0.08455,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15506.978,6.7271,-1.286,gf_173201,HOLD,DIAGNOSTIC_SERVED,3.0204,0.02363,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15511.1163,7.166,-3.118,gf_173202,HOLD,HOLD,,,,,ValueError: too few side-band points around 15511.116 (4) — cannot set a local continuum honestly
H,solar_crires_plus_h_rya1094,Si I,15514.6909,7.0917,-2.282,gf_173204,HOLD,HOLD,,,,,ValueError: too few side-band points around 15514.691 (4) — cannot set a local continuum honestly
H,solar_crires_plus_h_rya1094,Si I,15520.115,7.1079,-2.279,gf_173208,HOLD,DIAGNOSTIC_SERVED,0.3188,0.00539,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15532.4489,6.7181,-1.397,gf_173217,HOLD,DIAGNOSTIC_SERVED,9.5033,0.02327,"integrated over +/-0.323 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15538.4626,6.7606,-2.208,gf_173220,HOLD,DIAGNOSTIC_SERVED,-0.0384,0.00466,"integrated over +/-0.185 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15539.9915,6.8031,-2.431,gf_173221,HOLD,HOLD,,,,,ValueError: too few side-band points around 15539.992 (4) — cannot set a local continuum honestly
H,solar_crires_plus_h_rya1094,Si I,15542.016,7.0055,-1.617,gf_173226,HOLD,HOLD,,,,,ValueError: too few side-band points around 15542.016 (4) — cannot set a local continuum honestly
