wavelength_air_A,flux_normalized
1.029484914725934141e+04,1.001669117804006470e+00
1.029487813683237255e+04,1.003169119589047087e+00
1.029490712640540005e+04,9.880696317232369186e-01
1.029493611597842391e+04,9.885696637281323751e-01
1.029496510555145142e+04,9.893696866100897269e-01
1.029499409512447528e+04,9.855698503042504832e-01
1.029502308469749914e+04,9.881698181841723772e-01
1.029505207427053210e+04,9.916697588894078930e-01
1.029508106384355597e+04,9.931697608437234370e-01
1.029511005341658347e+04,9.913698632766656527e-01
1.029513904298960915e+04,9.898699564521880045e-01
1.029516803256263665e+04,9.945698616316532847e-01
1.029519702213566416e+04,9.993697642584721264e-01
1.029522601170868984e+04,1.000469779129285586e+00
1.029525500128171552e+04,9.964699479306265983e-01
1.029528399085473939e+04,1.004669749032047088e+00
1.029531298042776871e+04,1.004069815483553008e+00
1.029534197000079439e+04,9.997699929463426116e-01
1.029537095957382189e+04,9.991700591453060998e-01
1.029539994914684758e+04,9.975701552236564407e-01
1.029542893871987144e+04,9.982701824711297522e-01
1.029545792829289894e+04,1.003570072634803800e+00
1.029548691786592826e+04,1.000670207459195771e+00
1.029551590743895213e+04,9.960703925537427450e-01
1.029554489701197963e+04,1.003970206286461719e+00
1.029557388658500531e+04,1.001870317070482130e+00
1.029560287615803099e+04,1.000270412882871440e+00
1.029563186573105850e+04,1.000770446548392867e+00
1.029566085530408782e+04,9.973705952604371427e-01
1.029568984487710986e+04,9.992705876690872735e-01
1.029571883445013555e+04,9.975706860665822795e-01
1.029574782402316487e+04,1.001770611237652986e+00
1.029577681359618873e+04,1.003070621770433934e+00
1.029580580316921987e+04,9.969708488179270800e-01
1.029583479274224374e+04,9.968709001516314894e-01
1.029586378231527124e+04,9.984709019551780695e-01
1.029589277188829510e+04,9.977709708490446472e-01
1.029592176146132442e+04,1.005470795721320032e+00
1.029595075103435011e+04,1.005970830133650518e+00
1.029597974060737761e+04,9.973711280351100772e-01
1.029600873018039965e+04,1.003870988751892401e+00
1.029603771975342534e+04,1.000071147275691352e+00
1.029606670932645648e+04,9.953713313708232313e-01
1.029609569889948398e+04,9.942714115197747171e-01
1.029612468847250784e+04,9.990713222306375485e-01
1.029615367804553534e+04,1.002371276412499013e+00
1.029618266761855921e+04,9.979714512032699103e-01
1.029621165719158853e+04,9.941716084506238005e-01
1.029624064676461603e+04,9.941716570155453292e-01
1.029626963633763989e+04,1.001071509230558876e+00
1.029629862591066922e+04,1.004671455895527865e+00
1.029632761548369308e+04,1.003171547577660805e+00
1.029635660505671876e+04,9.975717552158038792e-01
1.029638559462974627e+04,9.970718181809520297e-01
1.029641458420277195e+04,1.001671737222013192e+00
1.029644357377579945e+04,1.001071803196481147e+00
1.029647256334882513e+04,9.988719141195288032e-01
1.029650155292185264e+04,1.002571859247433306e+00
