wavelength_air_A,model_flux
8.677975999999855048e+03,9.953109452237463017e-01
8.677977999999855456e+03,9.954548748186825557e-01
8.677979999999854044e+03,9.955938075083482497e-01
8.677981999999854452e+03,9.957277989980931610e-01
8.677983999999853040e+03,9.958569148890653588e-01
8.677985999999853448e+03,9.959812294802352639e-01
8.677987999999852036e+03,9.961008249398244363e-01
8.677989999999852444e+03,9.962157907764733755e-01
8.677991999999851032e+03,9.963262234484412394e-01
8.677993999999851439e+03,9.964322259119907654e-01
8.677995999999850028e+03,9.965339069165720653e-01
8.677997999999850435e+03,9.966313800263842948e-01
8.677999999999849024e+03,9.967247626078317158e-01
8.678001999999849431e+03,9.968141751092821634e-01
8.678003999999848020e+03,9.968997406673928419e-01
8.678005999999848427e+03,9.969815847625046468e-01
8.678007999999847016e+03,9.970598346856482941e-01
8.678009999999847423e+03,9.971346188058992643e-01
8.678011999999846012e+03,9.972060657942429795e-01
8.678013999999846419e+03,9.972743039585297842e-01
8.678015999999845008e+03,9.973394607968302239e-01
8.678017999999845415e+03,9.974016628202608814e-01
8.678019999999844003e+03,9.974610355050450572e-01
8.678021999999844411e+03,9.975177030930025834e-01
8.678023999999842999e+03,9.975717880972020390e-01
8.678025999999843407e+03,9.976234106588640627e-01
8.678027999999841995e+03,9.976726880501709527e-01
8.678029999999842403e+03,9.977197344506212318e-01
8.678031999999840991e+03,9.977646608942246642e-01
8.678033999999841399e+03,9.978075752418198441e-01
8.678035999999839987e+03,9.978485820905970138e-01
8.678037999999840395e+03,9.978877826016755437e-01
8.678039999999838983e+03,9.979252742813353727e-01
8.678041999999839391e+03,9.979611508044532453e-01
8.678043999999837979e+03,9.979955019787325465e-01
8.678045999999838386e+03,9.980284138323656240e-01
8.678047999999836975e+03,9.980599686965392348e-01
8.678049999999837382e+03,9.980902451901109140e-01
8.678051999999835971e+03,9.981193181272599579e-01
8.678053999999836378e+03,9.981472584452819596e-01
8.678055999999834967e+03,9.981741332151090607e-01
8.678057999999835374e+03,9.982000057350070010e-01
8.678059999999833963e+03,9.982249356859207445e-01
8.678061999999834370e+03,9.982489793002997658e-01
8.678063999999832959e+03,9.982721894836946719e-01
8.678065999999833366e+03,9.982946158663791314e-01
8.678067999999831954e+03,9.983163048274130702e-01
8.678069999999832362e+03,9.983372995664173688e-01
8.678071999999830950e+03,9.983576402464003907e-01
8.678073999999831358e+03,9.983773641660809162e-01
8.678075999999829946e+03,9.983965059163264488e-01
8.678077999999830354e+03,9.984150975037765496e-01
8.678079999999828942e+03,9.984331684528641171e-01
8.678081999999829350e+03,9.984507459060919521e-01
8.678083999999827938e+03,9.984678547441493413e-01
8.678085999999828346e+03,9.984845177431648233e-01
8.678087999999826934e+03,9.985007557529002042e-01
8.678089999999827342e+03,9.985165878526587324e-01
8.678091999999825930e+03,9.985320314594565705e-01
8.678093999999826337e+03,9.985471024036384202e-01
8.678095999999824926e+03,9.985618150111033042e-01
8.678097999999825333e+03,9.985761822127550147e-01
8.678099999999823922e+03,9.985902156735345647e-01
