canonical_line_id,historical_source_class,historical_gf_grade,verified_source_class,reference_membership,codex_membership,deep_membership,replication_membership,disposition_reason
alphys_I_2073.4620_0085,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2073.5710_0086,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2073.6040_0087,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2073.7210_0088,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2073.7570_0089,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2073.8840_0090,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2073.9220_0091,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2074.0590_0092,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2074.1010_0093,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2074.2500_0094,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2074.2950_0095,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2074.4570_0096,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2074.5060_0097,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2074.6820_0098,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2074.7360_0099,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2074.9290_0100,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2074.9870_0101,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2075.1980_0102,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2075.2620_0103,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2075.4940_0104,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2075.5650_0105,FALLBACK,EXCLUDED-NO-HOME,UNRESOLVED,HOLD,NONMEMBER,NONMEMBER,NONMEMBER,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
