species,system,wavelength_air_A,j_lower,j_upper,branch,sym_lower,e_upper,e_lower,f_value,einstein_A,source
NH,A-X,3360.1674,6,6,qQ1(6),e,30240.13209,488.2591531,0.003925914,2317990.543,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3337.0601,6,6,rQ21(6),e,30446.14095,488.2591531,0.000250698,150077.2202,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3311.5831,6,6,sQ31(6),e,30676.60826,488.2591531,1.23E-06,746.2033414,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3408.4806,6,6,oQ13(6),e,30240.13209,909.9615691,1.79E-06,1029.457617,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3384.7064,6,6,pQ23(6),e,30446.14095,909.9615691,0.00016406,95466.82893,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3358.4996,6,6,qQ3(6),e,30676.60826,909.9615691,0.00401809,2374771.022,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3338.1113,6,7,rR1(6),e,30436.7066,488.2591531,0.0026072,1351815.355,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3312.3868,6,7,sR21(6),e,30669.28392,488.2591531,3.07E-05,16141.94346,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3385.7880,6,7,pR13(6),e,30436.7066,909.9615691,3.44E-06,1735.310858,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3359.3262,6,7,qR23(6),e,30669.28392,909.9615691,0.000180986,92658.34452,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3329.7431,6,7,rR3(6),e,30933.67226,909.9615691,0.002454589,1279092.097,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3401.2939,6,5,oP12(6),f,30076.23206,684.0903655,3.19E-05,21700.61414,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3381.0493,6,5,pP2(6),f,30252.21673,684.0903655,0.001431335,986465.4555,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3358.3659,6,5,qP32(6),f,30451.92263,684.0903655,0.000213278,148981.9811,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3382.3406,6,6,pQ12(6),f,30240.92883,684.0903655,0.000206637,120410.8894,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3359.2801,6,6,qQ2(6),f,30443.82186,684.0903655,0.003745505,2212639.234,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3333.1820,6,6,rQ32(6),f,30676.82669,684.0903655,0.000179824,107899.9686,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3360.2167,6,7,qR12(6),f,30435.52697,684.0903655,0.00023485,120171.2385,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3333.7151,6,7,rR2(6),f,30672.03036,684.0903655,0.002405904,1250736.632,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3304.9547,6,7,sR32(6),f,30932.9829,684.0903655,2.14E-05,11331.18482,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3408.5516,7,6,oP12(7),f,30240.13209,910.5721816,2.43E-05,16097.2915,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3384.7764,7,6,pP2(7),f,30446.14095,910.5721816,0.001528682,1026355.871,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3358.5685,7,6,qP32(7),f,30676.60826,910.5721816,0.000163708,111635.2248,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3385.8580,7,7,pQ12(7),f,30436.7066,910.5721816,0.00015785,91791.12722,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3359.3952,7,7,qQ2(7),f,30669.28392,910.5721816,0.003838186,2267234.713,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
