source_row,species,system,band,wavelength_vac_nm,lower_energy_eV,published_loggf,join_status,component_count,summed_loggf,subset_candidate_count,primary_wavelengths_A,primary_energies_eV,primary_loggfs,transition_labels,primary_source,primary_lines
331,OH,X-X,(2-2),11607.284,2.656,-1.459,PRIMARY_TUPLE_MATCH,1,,0,116072.84140,2.656375,-1.459383,rR2f(29.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,5258
332,OH,X-X,(0-0),11610.410,1.502,-1.500,PRIMARY_TUPLE_MATCH,1,,0,116103.24059,1.502139,-1.499768,rR1e(26.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,60
333,OH,X-X,(0-0),11614.847,1.505,-1.518,PRIMARY_TUPLE_MATCH,1,,0,116147.28703,1.504850,-1.517854,rR2f(25.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,695
334,OH,X-X,(2-2),11802.571,1.990,-1.492,UNMATCHED,0,,0,,,,,,
335,OH,X-X,(2-2),11808.606,1.992,-1.508,UNMATCHED,0,,0,,,,,,
336,OH,X-X,(0-0),11909.114,1.401,-1.528,PRIMARY_TUPLE_MATCH,1,,0,119090.57204,1.400839,-1.527986,rR1f(25.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,522
337,OH,X-X,(0-0),11916.281,1.403,-1.547,PRIMARY_TUPLE_MATCH,1,,0,119161.93634,1.402952,-1.546748,rR2e(24.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,231
338,OH,X-X,(0-0),11926.371,1.398,-1.529,PRIMARY_TUPLE_MATCH,1,,0,119262.82569,1.398180,-1.528604,rR1e(25.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,59
339,OH,X-X,(2-2),12072.425,2.451,-1.506,PRIMARY_TUPLE_MATCH,1,,0,120722.86524,2.451144,-1.505766,rR2e(27.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,4881
340,OH,X-X,(2-2),12085.045,2.449,-1.506,PRIMARY_TUPLE_MATCH,1,,0,120850.22211,2.449014,-1.506225,rR2f(27.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,5256
