element,ion,wavelength_air_A,instrument,instrument_provenance,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Fe,I,5353.96124,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),120.28,40.8,voigt,0.0084,False,
Fe,I,5354.13041,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),139.27,24.08,voigt,0.0088,False,
Fe,I,5358.44029,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),32.16,5.33,voigt,0.0003,False,
Fe,I,5362.27847,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),182.5,22.92,voigt,0.0103,False,
Cr,I,5367.3411,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),180.77,24.75,voigt,0.0386,False,
Cr,II,5369.356,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),237.58,134.94,voigt,0.0319,False,
Fe,I,5369.96066,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),285.06,28.71,voigt,0.0303,False,
Zr,II,5372.466,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),266.13,44.61,voigt,0.0383,False,
Fe,I,5374.14498,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),69.07,6.31,voigt,0.0035,False,
Fe,II,5376.46583,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),80.86,14.58,voigt,0.0031,False,
Ti,I,5376.59913,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),90.55,14.42,voigt,0.0029,False,
Fe,I,5379.57336,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),62.7,6.12,voigt,0.0055,False,
C,I,5380.337,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),149.5,49.55,voigt,0.0094,False,NLTE_flag
Fe,I,5386.07515,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),40.16,3.44,voigt,0.002,False,
Ni,I,5392.3309,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),220.8,66.67,voigt,0.0235,False,
Ti,I,5394.1582,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),182.6,41.78,voigt,0.0226,False,
Fe,I,5394.34583,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),90.87,12.0,voigt,0.0199,False,
Ti,II,5396.2466,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),272.48,141.51,voigt,0.032,False,
Fe,I,5396.89801,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),283.83,12.52,voigt,0.0081,False,
Fe,I,5400.07355,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),176.06,50.78,voigt,0.0174,False,
Fe,I,5401.26596,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),39.1,13.91,voigt,0.017,False,
