separation_A,depth_ratio,noise,catalogue_error_A,realisation,true_ew_A,ew_two_A,ew_one_A,err_two,err_one,interloper_depth,chi2_two,chi2_one
0.02,0.1,0.005,0.03,5,0.03871518746591226,0.04273704383975912,0.04287163255496941,0.10388316929597727,0.10735954960096207,0.0010000000000773886,2.4301663809946162e-05,2.4232895009770643e-05
0.02,0.1,0.005,0.03,6,0.03871518746591226,0.040906824139267564,0.042922177364484164,0.056609222809136245,0.10866510467697085,0.015365952725976934,2.3019883915514677e-05,2.3210137827483618e-05
0.02,0.1,0.005,0.03,7,0.03871518746591226,0.04145107306713487,0.042836147023569214,0.07066698575672639,0.10644297050828841,0.010406389624746335,2.7199545636577284e-05,2.72448886822577e-05
0.02,0.1,0.005,0.03,8,0.03871518746591226,0.041427955846503606,0.04242306191630275,0.0700698758847512,0.0957731240138041,0.007515881570649813,2.4317922308602566e-05,2.4306798492737118e-05
0.02,0.1,0.005,0.03,9,0.03871518746591226,0.04089475334914411,0.042698501127436034,0.05629743844456139,0.1028876242696999,0.013702743369687399,2.4249585388049813e-05,2.4381523800725154e-05
0.02,0.1,0.005,0.03,10,0.03871518746591226,0.04273606027981254,0.04287015182467257,0.10385776428024683,0.10732130284577987,0.001000037256313501,2.42084846852257e-05,2.4145621244966894e-05
0.02,0.1,0.005,0.03,11,0.03871518746591226,0.04242154561014399,0.04255649849427984,0.095733958346323,0.09921974500962333,0.0010000000014339144,2.4562567286225512e-05,2.448794866806722e-05
0.02,0.1,0.005,0.05,0,0.03871518746591226,0.04242693385653372,0.042568602996107305,0.09587313490060094,0.09953240013593842,0.0010001132409074493,2.4852101523297597e-05,2.4768210590876938e-05
0.02,0.1,0.005,0.05,1,0.03871518746591226,0.04210618994567387,0.042247675579945854,0.08758842980541684,0.09124295516181762,0.0010000687819158441,2.1482900456937193e-05,2.1402799976977903e-05
0.02,0.1,0.005,0.05,2,0.03871518746591226,0.042157779802127614,0.04264255709139447,0.08892097808505953,0.10144260902624233,0.0034264667306589097,2.4096249124126714e-05,2.409527652027198e-05
0.02,0.1,0.005,0.05,3,0.03871518746591226,0.042015340985339544,0.042477973129025764,0.0852418323515284,0.09719146178554718,0.003282737749436699,2.2740144758927663e-05,2.273540263785299e-05
0.02,0.1,0.005,0.05,4,0.03871518746591226,0.04266031476984339,0.04280272152764904,0.10190128376376105,0.10557960142478322,0.0010012713966021623,2.4892961057497644e-05,2.4815208476798947e-05
0.02,0.1,0.005,0.05,5,0.03871518746591226,0.04263639285760563,0.04283982745968107,0.10128338898386818,0.10653803490943833,0.0014247925548574087,2.7276706221600342e-05,2.721755735793498e-05
0.02,0.1,0.005,0.05,6,0.03871518746591226,0.04142634535681762,0.042540887674501135,0.07002827748909825,0.09881652289446638,0.007961324474252775,2.410386033891679e-05,2.436219377672049e-05
0.02,0.1,0.005,0.05,7,0.03871518746591226,0.04209887907126389,0.04270712224337916,0.08739959242947967,0.1031103047345876,0.004275323133795154,2.368320025623741e-05,2.3719037986049234e-05
0.02,0.1,0.005,0.05,8,0.03871518746591226,0.041984325285383914,0.042672639427232734,0.08444070747042226,0.10221962543265253,0.004854692391764024,2.5327962960962045e-05,2.5379160880134903e-05
0.02,0.1,0.005,0.05,9,0.03871518746591226,0.04221276982284126,0.04275301962799523,0.09034135144014302,0.10429581842108292,0.003805491295215197,2.558546320490531e-05,2.5589370223136878e-05
