src,instr,star,method,target
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210130.1175.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210125.1186.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210109.1197.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210203.1178.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210119.1184.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210107.1199.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210111.1191.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210128.1284.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210130.1164.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210106.1189.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210113.1183.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210114.1192.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210117.1201.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210108.1191.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210128.1288.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210118.1182.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi230521.1117.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
