wave,ew_ref,ew_synth,abundance,status,ratio,n_fe1_in_window,n_neighbours,target_strength,window_strength,predicted_ratio,half_A,corrected_ratio
5398.279,75.1,153.3075622133939,7.557,ok,2.0413789908574422,16,15,2.804386306522381e-05,0.0016621465999737883,59.26953059598115,2.0,0.03444230062783491
5472.709,46.1,59.71914262134515,7.458,ok,1.2954260872309142,7,6,6.757432321956413e-06,5.00476079461382e-05,7.406305466578229,2.0,0.17490854152271568
5491.832,14.8,13.545237079626874,7.398,ok,0.9152187215964104,16,15,1.4350428357348425e-06,2.664832752728824e-05,18.569708766667183,2.0,0.049285572170051334
5618.632,52.7,100.02990426169002,7.521,ok,1.8981006501269453,16,15,1.1188753468873587e-05,2.621792394347801e-05,2.343239040561099,2.0,0.8100328721360142
5753.122,81.9,92.14643597064996,7.548,ok,1.1251091083107443,11,10,3.9106547865049735e-05,4.816012451895872e-05,1.2315105052266795,2.0,0.9136009019294965
5855.076,24.8,32.84885497130175,7.413,ok,1.324550603681522,6,5,3.1505221433135683e-06,1.2447232958957923e-05,3.950847635010278,2.0,0.3352573235029541
5930.18,90.8,143.1262010293428,7.525,ok,1.576279747019194,33,32,5.104610129689959e-05,5.676165484476158e-05,1.111968463852285,2.0,1.4175579598349008
6085.258,45.1,22.350205663766456,7.463,ok,0.49556997037176176,7,6,3.132520854055378e-06,3.3332071016689256e-06,1.064065414713437,2.0,0.4657326171109729
6151.617,50.8,53.50934487092543,7.499,ok,1.0533335604512881,17,16,6.323513061622795e-06,6.420558086770271e-06,1.015346694820074,2.0,1.0374127042762922
6230.722,151.9,191.87769425281053,7.487,ok,1.2631842939618863,13,12,0.000305161784266585,0.00034899017034436256,1.143623442834145,2.0,1.1045456455766978
6408.017,100.0,118.59778432760928,7.547,ok,1.1859778432760928,10,9,5.80036470819217e-05,5.813382389116661e-05,1.0022442866232368,2.0,1.183322129250436
6494.98,157.2,325.7447821407421,7.538,ok,2.072167825322787,6,5,0.0004244955881120862,0.00045311812179091933,1.0674271640987596,2.0,1.9412732737341762
6793.258,14.6,22.500781350592256,7.676,ok,1.541149407574812,13,12,1.302911030685455e-06,1.6779230063457702e-06,1.2878262343538707,2.0,1.1967060201627582
