true_star,instrument,src_folder,raw_object,norm_reason,file,date_obs,exptime,snr35,specsys,sep_arcsec,tight_sep_flag,integrity,src_path
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:29.990.fits,2010-04-04T06:43:53.986,1.0066,160.2,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:29.990.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:50.193.fits,2010-04-04T06:44:27.408,1.0063,140.2,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:50.193.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:34.350.fits,2010-04-04T06:45:00.400,1.0073,162.6,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:34.350.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:43:40.313.fits,2010-04-04T06:45:33.482,1.0064,151.2,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:43:40.313.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:54.390.fits,2010-04-04T06:46:06.384,1.0,173.3,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:54.390.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:41:13.673.fits,2010-04-04T06:46:39.356,1.0008,149.4,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:41:13.673.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:01.013.fits,2010-04-04T06:47:12.418,1.0065,155.6,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:01.013.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:43:09.950.fits,2010-04-04T06:47:45.460,1.0074,152.4,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:43:09.950.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:43:36.067.fits,2010-04-04T06:48:18.411,1.0064,177.0,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:43:36.067.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:44:22.883.fits,2010-05-11T03:01:04.965,5.0004,165.6,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:44:22.883.fits
