line_id,species,wavelength_air_A,wavelength_vac_A,EP_eV,our_log_gf,our_tier,match,primary_log_gf,delta_dex,primary_label,primary_source,graded
gf_006292,CH,4261.7313,4262.9309,0.1237,-1.5346,VALD3,UNIQUE,-1.5352,+0.0006,R -0.00218,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006293,CH,4261.9815,4263.1811,0.1239,-1.4832,VALD3,AMBIGUOUS(2),,,,,NO
gf_006294,CH,4262.216,4263.4157,0.1235,-3.446,VALD3,ABSENT,,,,,NO
gf_006295,CH,4262.64,4263.8398,0.9065,-3.449,VALD3,ABSENT,,,,,NO
gf_006296,CH,4262.768,4263.9678,0.9067,-3.421,VALD3,AMBIGUOUS(2),,,,,NO
gf_006297,CH,4263.6515,4264.8516,0.9073,-3.1337,VALD3,AMBIGUOUS(2),,,,,NO
gf_006298,CH,4263.969,4265.1692,0.4579,-1.58,VALD3,UNIQUE,-1.5747,-0.0053,R  0.02203,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006299,CH,4264.149,4265.3492,0.4562,-3.529,VALD3,ABSENT,,,,,NO
gf_006300,CH,4264.2647,4265.4649,0.458,-1.5264,VALD3,AMBIGUOUS(2),,,,,NO
gf_006301,CH,4264.4657,4265.6660,0.4573,-1.5746,VALD3,UNIQUE,-1.5746,+0.0000,R  0.00115,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006302,CH,4264.7099,4265.9103,0.4577,-1.5228,VALD3,AMBIGUOUS(2),,,,,NO
gf_006303,CH,4264.881,4266.0814,0.4567,-3.486,VALD3,ABSENT,,,,,NO
gf_006304,CH,4265.3961,4266.5966,0.0195,-3.1774,VALD3,AMBIGUOUS(2),,,,,NO
gf_006305,CH,4266.551,4267.7518,0.3576,-3.1784,VALD3,AMBIGUOUS(2),,,,,NO
gf_006306,CH,4266.7455,4267.9464,0.8704,-1.5221,VALD3,UNIQUE,-1.5223,+0.0002,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006307,CH,4266.9409,4268.1418,0.8705,-3.095,VALD3,AMBIGUOUS(2),,,,,NO
