line_id,species,wavelength_air_A,EP_eV,match,nist_grade,gf_sigma_dex,our_log_gf,nist_log_gf,delta_dex,action
gf_001728,C I,5158.213,8.643,ABSENT,,,-2.792,,,no evidence attached
gf_001729,C I,5159.606,8.771,ABSENT,,,-4.444,,,no evidence attached
gf_001730,C I,5159.922,8.643,ABSENT,,,-2.573,,,no evidence attached
gf_001731,C I,5160.79,8.643,ABSENT,,,-2.04,,,no evidence attached
gf_001732,C I,5161.39,8.643,ABSENT,,,-3.866,,,no evidence attached
gf_001733,C I,5162.601,8.64,ABSENT,,,-2.357,,,no evidence attached
gf_001734,C I,5163.255,7.685,ABSENT,,,-4.499,,,no evidence attached
gf_001735,C I,5168.126,7.685,ABSENT,,,-5.15,,,no evidence attached
gf_001736,C I,5168.258,8.643,ABSENT,,,-2.98,,,no evidence attached
gf_001737,C I,5169.695,8.647,ABSENT,,,-3.797,,,no evidence attached
gf_001738,C I,5170.296,8.647,ABSENT,,,-3.132,,,no evidence attached
gf_001739,C I,5177.118,8.771,ABSENT,,,-2.753,,,no evidence attached
gf_001740,C I,5177.188,8.647,ABSENT,,,-4.295,,,no evidence attached
gf_001741,C I,5179.9103,10.725,ABSENT,,,-7.9589,,,no evidence attached
gf_001742,C I,5198.488,8.771,ABSENT,,,-1.24,,,no evidence attached
gf_001743,C I,5200.733,8.771,ABSENT,,,-1.515,,,no evidence attached
gf_001744,C I,5217.101,8.771,ABSENT,,,-1.941,,,no evidence attached
gf_001745,C I,5227.788,7.685,ABSENT,,,-4.02,,,no evidence attached
gf_001746,C I,5250.831,8.771,ABSENT,,,-2.5,,,no evidence attached
gf_001747,C I,5253.698,8.771,ABSENT,,,-2.557,,,no evidence attached
gf_001748,C I,5265.137,8.537,ABSENT,,,-3.618,,,no evidence attached
gf_001749,C I,5268.292,8.537,ABSENT,,,-4.193,,,no evidence attached
gf_001750,C I,5268.948,8.537,UNIQUE,C,0.1249,-1.8,-1.7986,-0.0014,evidence attached; log_gf UNCHANGED
gf_001751,C I,5269.402,8.771,ABSENT,,,-3.432,,,no evidence attached
gf_001752,C I,5272.898,8.64,ABSENT,,,-4.056,,,no evidence attached
gf_001753,C I,5275.703,8.64,ABSENT,,,-3.23,,,no evidence attached
gf_001754,C I,5279.636,8.643,ABSENT,,,-4.257,,,no evidence attached
gf_001755,C I,5280.232,8.537,ABSENT,,,-2.722,,,no evidence attached
gf_001756,C I,5282.222,8.643,ABSENT,,,-3.245,,,no evidence attached
gf_001757,C I,5284.849,8.537,ABSENT,,,-4.179,,,no evidence attached
gf_001758,C I,5285.261,8.64,ABSENT,,,-3.451,,,no evidence attached
gf_001759,C I,5285.525,8.643,ABSENT,,,-3.023,,,no evidence attached
gf_001760,C I,5288.319,8.643,ABSENT,,,-2.922,,,no evidence attached
gf_001761,C I,5290.263,8.537,ABSENT,,,-3.109,,,no evidence attached
gf_001762,C I,5290.748,8.643,ABSENT,,,-2.625,,,no evidence attached
gf_001763,C I,5290.993,8.64,UNIQUE,D,0.3010,-3.796,-3.8239,+0.0279,evidence attached; log_gf UNCHANGED
gf_001764,C I,5291.19,8.643,ABSENT,,,-4.269,,,no evidence attached
gf_001765,C I,5294.866,8.647,ABSENT,,,-3.512,,,no evidence attached
gf_001766,C I,5295.425,8.537,ABSENT,,,-3.476,,,no evidence attached
gf_001767,C I,5296.932,8.643,UNIQUE,D,0.3010,-2.62,-2.6021,-0.0179,evidence attached; log_gf UNCHANGED
gf_001768,C I,5298.174,8.64,ABSENT,,,-5.02,,,no evidence attached
gf_001769,C I,5300.107,8.647,ABSENT,,,-2.423,,,no evidence attached
gf_001770,C I,5300.128,8.537,ABSENT,,,-2.865,,,no evidence attached
gf_001771,C I,5300.551,8.647,ABSENT,,,-2.139,,,no evidence attached
gf_001772,C I,5300.868,8.64,UNIQUE,D,0.3010,-2.622,-2.6198,-0.0022,evidence attached; log_gf UNCHANGED
gf_001773,C I,5302.358,8.64,UNIQUE,D,0.3010,-2.496,-2.4815,-0.0145,evidence attached; log_gf UNCHANGED
gf_001774,C I,5302.87,8.647,ABSENT,,,-1.708,,,no evidence attached
gf_001775,C I,5303.008,8.64,ABSENT,,,-2.281,,,no evidence attached
gf_001776,C I,5303.038,8.537,ABSENT,,,-3.012,,,no evidence attached
gf_001777,C I,5304.132,8.643,ABSENT,,,-2.725,,,no evidence attached
gf_001778,C I,5306.315,8.647,UNIQUE,D,0.3010,-1.874,-1.8761,+0.0021,evidence attached; log_gf UNCHANGED
gf_001779,C I,5306.83,8.643,UNIQUE,D,0.3010,-2.145,-2.1549,+0.0099,evidence attached; log_gf UNCHANGED
gf_001780,C I,5308.005,8.643,ABSENT,,,-1.979,,,no evidence attached
gf_001781,C I,5308.281,10.782,ABSENT,,,-4.429,,,no evidence attached
gf_001782,C I,5308.977,8.643,ABSENT,,,-4.702,,,no evidence attached
gf_001783,C I,5312.173,7.685,ABSENT,,,-4.056,,,no evidence attached
gf_001784,C I,5315.083,8.64,ABSENT,,,-2.449,,,no evidence attached
gf_001785,C I,5317.425,8.647,ABSENT,,,-3.686,,,no evidence attached
gf_001786,C I,5317.495,7.685,ABSENT,,,-3.174,,,no evidence attached
gf_001787,C I,5318.4,8.647,ABSENT,,,-3.218,,,no evidence attached
gf_001788,C I,5321.08,8.643,ABSENT,,,-3.025,,,no evidence attached
gf_001789,C I,5322.883,8.771,ABSENT,,,-2.81,,,no evidence attached
