wavelength_air_A,flux_normalized
1.501820980802880695e+04,9.900487335260788058e-01
1.501826183483335990e+04,9.862314778682418348e-01
1.501831386067149469e+04,9.847629370748254285e-01
1.501836588554318587e+04,9.939993305627259357e-01
1.501841790944838795e+04,9.791567208567153457e-01
1.501846993238707728e+04,9.845790551000365154e-01
1.501852195435920294e+04,9.940312283263004201e-01
1.501857397536475037e+04,9.897394311859918359e-01
1.501862599540367046e+04,9.837951631267153330e-01
1.501867801447593229e+04,9.872698965171926577e-01
1.501873003258149765e+04,9.916838709839589372e-01
1.501878204972033745e+04,9.975790486172826377e-01
1.501883406589240622e+04,1.008437018228005577e+00
1.501888608109767847e+04,1.005081548005495984e+00
1.501893809533611602e+04,9.979013773953832045e-01
1.501899010860768249e+04,9.962050998644480515e-01
1.501904212091234513e+04,9.930856120341078341e-01
1.501909413225005846e+04,9.966048319536994216e-01
1.501914614262080431e+04,1.003497209192719009e+00
1.501919815202453537e+04,1.007032993359273876e+00
1.501925016046122255e+04,1.003165607052799224e+00
1.501930216793082764e+04,9.988029916917592343e-01
1.501935417443331244e+04,9.982684090878624072e-01
1.501940617996864967e+04,9.966233805860453820e-01
1.501945818453679567e+04,1.000895655990764022e+00
1.501951018813772134e+04,9.949291383178208159e-01
1.501956219077139031e+04,9.964378592453311256e-01
1.501961419243776436e+04,9.869739730068468608e-01
1.501966619313681076e+04,9.851239385657578618e-01
1.501971819286849313e+04,9.758861039901912671e-01
1.501977019163278055e+04,9.829737133408513738e-01
1.501982218942963118e+04,9.849868686165598186e-01
1.501987418625901228e+04,9.908910909459770489e-01
1.501992618212088928e+04,9.786422150566148614e-01
1.501997817701522217e+04,9.827085013105462119e-01
1.502003017094199095e+04,9.861437786728077803e-01
1.502008216390114831e+04,9.898971468987658451e-01
1.502013415589265605e+04,9.806149541854506380e-01
1.502018614691648509e+04,9.894541356145084565e-01
1.502023813697260084e+04,9.920807248387670807e-01
1.502029012606096148e+04,9.846452911407237440e-01
1.502034211418154155e+04,9.812520812717034913e-01
1.502039410133429737e+04,9.816446267073383192e-01
1.502044608751919623e+04,9.802181170042958414e-01
1.502049807273620900e+04,9.925916006314998707e-01
1.502055005698528657e+04,9.918181915022127315e-01
1.502060204026641077e+04,9.839046502591046739e-01
1.502065402257953065e+04,9.829361509748366643e-01
1.502070600392462438e+04,9.881135735451136437e-01
1.502075798430165196e+04,9.774142870528710336e-01
1.502080996371057154e+04,9.764717854945079711e-01
1.502086194215135401e+04,9.794558853626894601e-01
1.502091391962396665e+04,9.723437137570271060e-01
1.502096589612836760e+04,9.623917722132104835e-01
1.502101787166452777e+04,9.457110036189702029e-01
1.502106984623241078e+04,9.397458642950936580e-01
1.502112181983197661e+04,9.301868393166825566e-01
1.502117379246319433e+04,9.133654169583074189e-01
1.502122576412602757e+04,9.220386617241483895e-01
1.502127773482043995e+04,9.296629518725920693e-01
1.502132970454639872e+04,9.338523099714038933e-01
1.502138167330386932e+04,9.152439204753562985e-01
1.502143364109281538e+04,9.291727541782645039e-01
1.502148560791319869e+04,9.285211759922152863e-01
