species,element,ion,wavelength_air_A,excitation_potential_eV,log_gf,hfs_n_components,reference_code,gf_tier
Ti I,Ti,1,13764.6761,4.6692,-0.438,1,K16,KURUCZ
Fe I,Fe,1,13765.186,5.6531,-2.787,1,K14,KURUCZ
C I,C,1,13765.300000000001,7.9461,-1.941,1,VALD3,VALD3
Ni I,Ni,1,13768.3215,6.0694,-1.805,1,K08,KURUCZ
Si I,Si,1,13772.5134,7.0055,-2.061,1,K07,KURUCZ
Fe I,Fe,1,13772.7202,5.5188,-2.663,1,K14,KURUCZ
Mn I,Mn,1,13774.5507,2.9532,-3.353,1,VALD3,VALD3
Mn I,Mn,1,13774.6526,2.9532,-3.24,1,VALD3,VALD3
Mn I,Mn,1,13774.8074,2.9532,-3.337,1,VALD3,VALD3
Mn I,Mn,1,13774.9409,2.9532,-3.784,1,VALD3,VALD3
Mn I,Mn,1,13775.0957,2.9532,-3.24,1,VALD3,VALD3
Mn I,Mn,1,13775.3057,2.9532,-2.876,1,VALD3,VALD3
S I,S,1,13776.554,7.8663,-0.21999999999999997,1,BQZ,OTHER
Fe I,Fe,1,13776.8369,5.7203,-2.759,1,K14,KURUCZ
Ti I,Ti,1,13777.1198,2.2393,-2.699,1,K16,KURUCZ
Ni I,Ni,1,13778.3882,6.04,-0.818,1,K08,KURUCZ
Fe I,Fe,1,13779.5903,6.2057,-2.738,1,K14,KURUCZ
Si I,Si,1,13782.4094,7.1343,-1.375,1,K07,KURUCZ
Ni I,Ni,1,13783.3614,6.0859,0.619,1,K08,KURUCZ
Fe I,Fe,1,13784.114000000001,4.1864,-4.702,1,K14,KURUCZ
Fe I,Fe,1,13784.534,6.2222,-2.674,1,K14,KURUCZ
Cr I,Cr,1,13784.534,5.1341,-1.493,1,K16,KURUCZ
Fe I,Fe,1,13784.8895,5.8517,-2.951,1,K14,KURUCZ
V I,V,1,13786.972608101301,1.8675499999999998,-3.2806560909049898,6,VALD3,VALD3
V I,V,1,13787.331925493492,1.867552380952381,-0.9497196882929808,21,VALD3,VALD3
V I,V,1,13787.7371739159,1.8675466666666665,-0.8870803170230912,15,K09,KURUCZ
Fe I,Fe,1,13788.6502,6.1751,-2.564,1,K14,KURUCZ
Fe I,Fe,1,13790.7977,6.4258,-2.194,1,K14,KURUCZ
Ni I,Ni,1,13792.3369,6.2915,0.12700000000000003,1,K08,KURUCZ
Fe I,Fe,1,13792.7346,5.7066,-2.767,1,K14,KURUCZ
Ni I,Ni,1,13797.2578,5.868,-1.862,1,K08,KURUCZ
K I,K,1,13797.51,3.3968,-1.31,1,KP,OTHER
S I,S,1,13797.616,7.8677,0.009999999999999986,1,BQZ,OTHER
Ni I,Ni,1,13799.6799,6.3658,-1.453,1,K08,KURUCZ
S I,S,1,13800.3923,9.7248,0.121,1,K04,KURUCZ
Si I,Si,1,13800.4514,5.8625,-3.559,1,K07,KURUCZ
Fe I,Fe,1,13803.26,5.5188,-3.096,1,K14,KURUCZ
C I,C,1,13807.86,10.0854,-1.924,1,VALD3,VALD3
Si I,Si,1,13808.392400000002,7.0399,-2.821,1,K07,KURUCZ
Fe I,Fe,1,13809.1649,5.7934,-3.024,1,K14,KURUCZ
Ni I,Ni,1,13815.9072,6.0424,-1.135,1,K08,KURUCZ
Fe I,Fe,1,13816.7932,5.5869,-3.058,1,K14,KURUCZ
Ni I,Ni,1,13818.4417,5.8799,-2.059,1,K08,KURUCZ
Fe I,Fe,1,13818.5846,6.3705,-1.726,1,K14,KURUCZ
Si I,Si,1,13819.2474,6.6192,-2.115,1,K07,KURUCZ
Al I,Al,1,13823.917997678413,4.672899999999999,-1.8148160962029187,6,K75,KURUCZ
Si I,Si,1,13824.2751,6.2694,-3.519,1,K07,KURUCZ
Ni I,Ni,1,13824.850499999999,5.4692,-0.19,1,K08,KURUCZ
Ni I,Ni,1,13825.343800000002,5.7681,-2.174,1,K08,KURUCZ
Fe I,Fe,1,13826.102800000002,5.8151,-2.511,1,K14,KURUCZ
Fe I,Fe,1,13826.6822,3.0469,-5.434,1,K14,KURUCZ
Al I,Al,1,13827.01699091096,4.6729,-2.116661315844732,4,K75,KURUCZ
Ni I,Ni,1,13827.4893,6.0091,0.816,1,K08,KURUCZ
Cr I,Cr,1,13828.0784,4.6969,-1.385,1,K16,KURUCZ
Ni I,Ni,1,13828.2103,6.3611,0.17600000000000002,1,K08,KURUCZ
Fe II,Fe,2,13828.6369,6.7303,-2.675,1,RU,OTHER
Ni I,Ni,1,13829.778899999998,6.2881,-0.69,1,K08,KURUCZ
Fe I,Fe,1,13831.7459,6.4433,-1.725,1,K14,KURUCZ
S I,S,1,13831.804,7.8699,0.15000000000000002,1,BQZ,OTHER
Fe I,Fe,1,13834.3357,6.4534,-2.419,1,K14,KURUCZ
Fe I,Fe,1,13834.787499999999,5.4457,-3.149,1,K14,KURUCZ
Fe I,Fe,1,13835.5265,6.484,-2.271,1,K14,KURUCZ
Fe I,Fe,1,13836.4323,6.2003,-2.262,1,K14,KURUCZ
Cr I,Cr,1,13840.3361,5.9495,-0.812,1,K16,KURUCZ
P I,P,1,13842.655,8.1315,-0.5,1,GUES,OTHER
Mn I,Mn,1,13847.460008533246,2.1782,-1.9799793046615037,12,VALD3,VALD3
Si I,Si,1,13847.529,7.1252,-1.927,1,K07,KURUCZ
Fe I,Fe,1,13848.1217,5.5237,-2.77,1,K14,KURUCZ
Ni I,Ni,1,13849.312599999997,2.7403,-4.427,1,K08,KURUCZ
Ni I,Ni,1,13849.535404646964,2.7403,-2.9023360081920138,3,K08,KURUCZ
Ni I,Ni,1,13849.6751,2.7403,-2.561,1,K08,KURUCZ
Cr I,Cr,1,13849.7773,3.5558,-2.951,1,K16,KURUCZ
Fe I,Fe,1,13850.308800000003,6.2517,-2.258,1,K14,KURUCZ
Fe I,Fe,1,13851.613799999997,4.2176,-4.644,1,K14,KURUCZ
S I,S,1,13852.4621,9.7282,0.24500000000000002,1,K04,KURUCZ
