wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,intensity
4256.325,23494.4465,23488.0365,1.005729
4256.33,23494.4189,23488.0089,1.005879
4256.335,23494.3913,23487.9813,1.005953
4256.34,23494.3637,23487.9538,1.005926
4256.345,23494.3361,23487.9262,1.005784
4256.35,23494.3085,23487.8986,1.005517
4256.355,23494.2809,23487.871,1.005125
4256.36,23494.2533,23487.8434,1.004614
4256.365,23494.2257,23487.8158,1.004006
4256.37,23494.1981,23487.7882,1.003323
4256.375,23494.1705,23487.7606,1.002601
4256.38,23494.1429,23487.733,1.001878
4256.385,23494.1153,23487.7054,1.001192
4256.39,23494.0877,23487.6778,1.000575
4256.395,23494.0601,23487.6502,1.000063
4256.4,23494.0325,23487.6227,0.999671
4256.405,23494.0049,23487.5951,0.999418
4256.41,23493.9773,23487.5675,0.999304
4256.415,23493.9497,23487.5399,0.999328
4256.42,23493.9221,23487.5123,0.999477
4256.425,23493.8945,23487.4847,0.999725
4256.43,23493.8669,23487.4571,1.000042
4256.435,23493.8393,23487.4295,1.000394
4256.44,23493.8117,23487.4019,1.000735
4256.445,23493.7841,23487.3743,1.001025
4256.45,23493.7565,23487.3467,1.001231
4256.455,23493.7289,23487.3192,1.00132
4256.46,23493.7013,23487.2916,1.001283
4256.465,23493.6737,23487.264,1.00112
4256.47,23493.6461,23487.2364,1.000845
4256.475,23493.6185,23487.2088,1.000488
4256.48,23493.5909,23487.1812,1.000078
4256.485,23493.5634,23487.1536,0.999655
4256.49,23493.5358,23487.126,0.999256
4256.495,23493.5082,23487.0984,0.998905
4256.5,23493.4806,23487.0708,0.998627
4256.505,23493.453,23487.0433,0.99843
4256.51,23493.4254,23487.0157,0.998309
4256.515,23493.3978,23486.9881,0.998245
4256.52,23493.3702,23486.9605,0.998216
4256.525,23493.3426,23486.9329,0.998188
4256.53,23493.315,23486.9053,0.998126
4256.535,23493.2874,23486.8777,0.998002
4256.54,23493.2598,23486.8501,0.9978
4256.545,23493.2322,23486.8225,0.997514
4256.55,23493.2046,23486.795,0.997161
4256.555,23493.177,23486.7674,0.996771
4256.56,23493.1494,23486.7398,0.996397
4256.565,23493.1218,23486.7122,0.996092
4256.57,23493.0942,23486.6846,0.995927
4256.575,23493.0666,23486.657,0.995961
4256.58,23493.039,23486.6294,0.996247
4256.585,23493.0114,23486.6018,0.996818
4256.59,23492.9838,23486.5742,0.997677
4256.595,23492.9562,23486.5467,0.998805
4256.6,23492.9286,23486.5191,1.000144
4256.605,23492.901,23486.4915,1.001611
4256.61,23492.8734,23486.4639,1.003104
4256.615,23492.8458,23486.4363,1.004511
4256.62,23492.8182,23486.4087,1.005728
4256.625,23492.7906,23486.3811,1.006666
4256.63,23492.7631,23486.3535,1.00727
4256.635,23492.7355,23486.326,1.00752
4256.64,23492.7079,23486.2984,1.00744
4256.645,23492.6803,23486.2708,1.007082
4256.65,23492.6527,23486.2432,1.006527
4256.655,23492.6251,23486.2156,1.005871
