wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,solar,atmospheric,total
4258.38037,23483.1066,23476.6997,0.99543,0.90114,0.89154
4258.39014,23483.0527,23476.6458,0.9955,0.90274,0.89324
4258.39941,23483.0016,23476.5947,0.99111,0.91002,0.89665
4258.40869,23482.9504,23476.5435,0.99286,0.91086,0.89952
4258.41846,23482.8965,23476.4897,0.99463,0.90663,0.89706
4258.42773,23482.8454,23476.4386,0.98951,0.90191,0.88745
4258.4375,23482.7915,23476.3847,0.99046,0.89217,0.87859
4258.44678,23482.7403,23476.3336,0.99248,0.87753,0.86613
4258.45654,23482.6865,23476.2798,0.97596,0.86317,0.83836
4258.46582,23482.6353,23476.2286,0.95576,0.8431,0.80322
4258.4751,23482.5842,23476.1774,0.94169,0.81042,0.76133
4258.48486,23482.5304,23476.1236,0.91064,0.76862,0.696
4258.49414,23482.4792,23476.0725,0.9184,0.68909,0.62375
4258.50391,23482.4253,23476.0186,0.92616,0.62192,0.56039
4258.51318,23482.3742,23475.9675,0.93392,0.51632,0.46145
4258.52246,23482.323,23475.9163,0.94168,0.37922,0.33463
4258.53223,23482.2691,23475.8625,0.94944,0.34668,0.30738
4258.5415,23482.218,23475.8114,0.9572,0.47015,0.42926
4258.55127,23482.1642,23475.7575,0.96496,0.61412,0.57363
4258.56055,23482.113,23475.7064,0.97272,0.68077,0.64626
4258.56982,23482.0619,23475.6553,0.98048,0.71347,0.68555
4258.57959,23482.008,23475.6014,0.99886,0.73415,0.71967
4258.58887,23481.9568,23475.5503,0.99255,0.7487,0.73016
4258.59863,23481.903,23475.4965,0.98102,0.75562,0.72911
4258.60791,23481.8518,23475.4453,0.99214,0.74632,0.72758
4258.61719,23481.8007,23475.3941,0.99255,0.72578,0.70568
4258.62695,23481.7469,23475.3403,0.99279,0.6888,0.66703
4258.63623,23481.6957,23475.2892,0.99303,0.64741,0.62451
4258.646,23481.6418,23475.2353,0.99326,0.58103,0.55807
4258.65527,23481.5907,23475.1842,0.9935,0.48591,0.46189
4258.66504,23481.5368,23475.1304,0.99374,0.3805,0.35451
4258.67432,23481.4857,23475.0792,0.99398,0.25105,0.22844
4258.68359,23481.4346,23475.0281,0.99422,0.11488,0.10115
4258.69336,23481.3807,23474.9743,0.99445,0.077554,0.067009
4258.70264,23481.3295,23474.9231,0.99469,0.19219,0.17512
4258.7124,23481.2757,23474.8693,0.99493,0.36164,0.33883
4258.72168,23481.2245,23474.8182,0.99517,0.48434,0.46254
4258.73096,23481.1734,23474.767,0.99541,0.56791,0.54825
4258.74072,23481.1196,23474.7132,0.99565,0.6379,0.61839
4258.75,23481.0684,23474.6621,0.99588,0.67892,0.66014
4258.75977,23481.0145,23474.6082,0.99612,0.69569,0.67815
4258.76904,23480.9634,23474.5571,0.99636,0.70851,0.69097
4258.77832,23480.9122,23474.506,0.99932,0.70076,0.68442
4258.78809,23480.8584,23474.4521,0.9985,0.66883,0.65105
4258.79736,23480.8073,23474.401,0.99769,0.63222,0.61285
4258.80713,23480.7534,23474.3472,0.99687,0.57212,0.55095
4258.81641,23480.7022,23474.296,0.99606,0.45632,0.43335
4258.82568,23480.6511,23474.2449,0.99524,0.36231,0.33872
4258.83545,23480.5973,23474.1911,0.99443,0.39966,0.37718
4258.84473,23480.5461,23474.1399,0.99361,0.51003,0.48817
4258.85449,23480.4923,23474.0861,0.9928,0.55231,0.52908
4258.86377,23480.4411,23474.035,0.99198,0.54761,0.52351
4258.87354,23480.3873,23473.9811,0.99117,0.60529,0.5822
4258.88281,23480.3361,23473.93,0.99035,0.69067,0.66836
4258.89209,23480.285,23473.8789,0.98954,0.71138,0.68899
4258.90186,23480.2311,23473.825,0.99223,0.69728,0.67731
4258.91113,23480.18,23473.7739,0.99493,0.68351,0.66453
4258.9209,23480.1262,23473.7201,0.99762,0.59843,0.5781
4258.93018,23480.075,23473.6689,1.0003,0.46537,0.44409
4258.93945,23480.0239,23473.6178,1.003,0.45036,0.43173
4258.94922,23479.97,23473.564,1.0057,0.58835,0.57539
4258.9585,23479.9189,23473.5128,1.0084,0.72643,0.71939
4258.96826,23479.8651,23473.459,0.99635,0.79449,0.78077
4258.97754,23479.8139,23473.4079,0.98519,0.83729,0.81581
4258.98682,23479.7627,23473.3568,0.99687,0.86421,0.85368
