wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,telluric_ratio
4304.71401,23230.347,23224.0089,0.87651
4304.723488,23230.2958,23223.9578,0.85354
4304.732965,23230.2447,23223.9066,0.84424
4304.742442,23230.1935,23223.8555,0.85051
4304.751919,23230.1424,23223.8044,0.86783
4304.761396,23230.0912,23223.7532,0.89333
4304.770873,23230.0401,23223.7021,0.91577
4304.78035,23229.989,23223.651,0.92478
4304.789827,23229.9378,23223.5999,0.92602
4304.799304,23229.8867,23223.5487,0.91781
4304.808781,23229.8355,23223.4976,0.88957
4304.818259,23229.7844,23223.4465,0.85249
4304.827736,23229.7333,23223.3954,0.80961
4304.837213,23229.6821,23223.3442,0.73617
4304.84669,23229.631,23223.2931,0.66088
4304.856167,23229.5798,23223.242,0.66738
4304.865644,23229.5287,23223.1908,0.75606
4304.875121,23229.4776,23223.1397,0.83691
4304.884598,23229.4264,23223.0886,0.87361
4304.894075,23229.3753,23223.0375,0.89821
4304.903552,23229.3241,23222.9864,0.91945
4304.913029,23229.273,23222.9352,0.92868
4304.922507,23229.2219,23222.8841,0.93594
4304.931984,23229.1707,23222.833,0.94381
4304.941461,23229.1196,23222.7819,0.9445
4304.950938,23229.0684,23222.7307,0.94154
4304.960415,23229.0173,23222.6796,0.93799
4304.969892,23228.9662,23222.6285,0.93108
4304.979369,23228.915,23222.5774,0.91979
4304.988846,23228.8639,23222.5262,0.89782
4304.998323,23228.8128,23222.4751,0.86442
4305.0078,23228.7616,23222.424,0.83355
4305.017277,23228.7105,23222.3729,0.80744
4305.026755,23228.6594,23222.3217,0.78297
4305.036232,23228.6082,23222.2706,0.78325
4305.045709,23228.5571,23222.2195,0.82267
4305.055186,23228.5059,23222.1684,0.86958
4305.064663,23228.4548,23222.1173,0.89133
4305.07414,23228.4037,23222.0661,0.89011
4305.083617,23228.3525,23222.015,0.87809
4305.093094,23228.3014,23221.9639,0.86294
4305.102571,23228.2503,23221.9128,0.8521
4305.112048,23228.1991,23221.8617,0.85075
4305.121526,23228.148,23221.8105,0.86256
4305.131003,23228.0969,23221.7594,0.88051
4305.14048,23228.0457,23221.7083,0.88736
4305.149957,23227.9946,23221.6572,0.88366
4305.159434,23227.9435,23221.6061,0.87347
4305.168911,23227.8923,23221.5549,0.83231
4305.178388,23227.8412,23221.5038,0.76448
4305.187865,23227.7901,23221.4527,0.73722
4305.197342,23227.739,23221.4016,0.77431
4305.206819,23227.6878,23221.3505,0.81038
4305.216296,23227.6367,23221.2994,0.80788
4305.225774,23227.5856,23221.2482,0.80213
4305.235251,23227.5344,23221.1971,0.81419
4305.244728,23227.4833,23221.146,0.82738
4305.254205,23227.4322,23221.0949,0.83398
4305.263682,23227.381,23221.0438,0.8348
4305.273159,23227.3299,23220.9927,0.82627
4305.282636,23227.2788,23220.9415,0.81498
4305.292113,23227.2276,23220.8904,0.81283
4305.30159,23227.1765,23220.8393,0.81861
4305.311067,23227.1254,23220.7882,0.82156
4305.320545,23227.0743,23220.7371,0.81281
4305.330022,23227.0231,23220.686,0.78722
4305.339499,23226.972,23220.6349,0.74306
4305.348976,23226.9209,23220.5837,0.68673
4305.358453,23226.8697,23220.5326,0.63074
4305.36793,23226.8186,23220.4815,0.57557
4305.377407,23226.7675,23220.4304,0.51071
4305.386884,23226.7164,23220.3793,0.4483
4305.396361,23226.6652,23220.3282,0.42421
4305.405838,23226.6141,23220.2771,0.45295
4305.415315,23226.563,23220.226,0.51456
4305.424793,23226.5119,23220.1748,0.58413
4305.43427,23226.4607,23220.1237,0.65002
4305.443747,23226.4096,23220.0726,0.7109
4305.453224,23226.3585,23220.0215,0.7616
4305.462701,23226.3074,23219.9704,0.79069
4305.472178,23226.2562,23219.9193,0.80337
4305.481655,23226.2051,23219.8682,0.81268
4305.491132,23226.154,23219.8171,0.80688
4305.500609,23226.1029,23219.7659,0.78099
4305.510086,23226.0517,23219.7148,0.75641
4305.519563,23226.0006,23219.6637,0.71463
