element,ion,wavelength_air_A,instrument,ew_mA,rew,log_gf,ep_eV,predicted_depth,ew_method,panel
Fe,I,7285.2753,kpno_solar_atlas,30.930882500045684,-5.372053656584661,-1.7,4.607,0.14,"integrated over +/-0.221 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.221 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_21.png
Fe,I,7288.7357,kpno_solar_atlas,67.55608850003995,-5.032987706413174,-1.035,4.2204,0.414,"integrated over +/-0.153 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.153 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_22.png
Fe,I,7292.8293,kpno_solar_atlas,59.514088000326936,-5.088276265530826,-1.103,4.5585,0.316,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.9263, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_22.png
Fe,I,7293.0427,kpno_solar_atlas,71.92452900023652,-5.006031729736804,-0.897,4.2562,0.433,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.9336, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_22.png
Fe,I,7300.5292,kpno_solar_atlas,57.897183999946904,-5.1006969013046906,-1.026,4.988,0.215,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_22.png
Fe,I,7306.5617,kpno_solar_atlas,50.980612000016855,-5.156308011346796,-1.74,4.1777,0.248,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_22.png
Fe,I,7307.9306,kpno_solar_atlas,55.86990599997691,-5.116616473739633,-1.531,4.1426,0.318,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_22.png
Fe,I,7311.0742,kpno_solar_atlas,67.80666349984743,-5.032708816602526,-0.967,4.2833,0.414,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.9130, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_22.png
Fe,I,7320.6685,kpno_solar_atlas,54.092067499885005,-5.131417159944487,-1.155,3.8916,0.301,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728,lm0732; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_22.png
Fe,I,7330.1371,kpno_solar_atlas,24.869777000013546,-5.4694402064938705,-2.03,4.6382,0.072,"integrated over +/-0.369 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0732; half-width 0.369 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_22.png
