band,element,ion,treatment,deck,n_lines,n_ep_joined,tol_A,use_ep,n_unique,n_absent,n_ambiguous,baseline_n_unique,baseline_kept,baseline_reidentified,src
red-optical,Fe,I,ENGINE-A,,44,44,0.03,True,42,1,1,38,38,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,,44,44,0.05,False,35,0,9,38,34,4,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,,44,44,0.05,True,41,1,2,38,37,1,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-B-NLTE,,77,77,0.005,False,68,8,1,68,68,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,I,ENGINE-B-NLTE,,77,77,0.005,True,69,8,0,68,68,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,I,ENGINE-B-NLTE,,77,77,0.01,False,68,7,2,68,68,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,I,ENGINE-B-NLTE,,77,77,0.01,True,70,7,0,68,68,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,I,ENGINE-B-NLTE,,77,77,0.02,False,66,0,11,68,65,3,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,I,ENGINE-B-NLTE,,77,77,0.02,True,76,0,1,68,68,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,I,ENGINE-B-NLTE,,77,77,0.03,False,65,0,12,68,64,4,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,I,ENGINE-B-NLTE,,77,77,0.03,True,76,0,1,68,68,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,I,ENGINE-B-NLTE,,77,77,0.05,False,61,0,16,68,60,8,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,I,ENGINE-B-NLTE,,77,77,0.05,True,75,0,2,68,67,1,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
