element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Cr 1	16922.132	1692.2132	-2.291	4.4016	35501.298	3.0	5.1341	41409.309	2.0	5.0	1.500	1.500	GA	1.62E+08	8.210	-5.760	-7.640	-7.640	-7.640	1.000	0.002	0.000	X	X	F	0	1	24.0	24.000000	24.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16922.456	1692.2456	-2.273	6.4270	51837.251	3.0	7.1595	57745.262	3.0	7.0	1.660	1.030	GA	1.10E+08	8.040	-4.740	-7.320	-7.320	-7.320	1.000	0.004	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16922.599	1692.2599	-2.125	6.6844	53913.322	2.0	7.4168	59820.526	3.0	7.0	1.240	1.410	GA	1.02E+08	8.010	-3.520	-7.130	-7.130	-7.130	1.000	0.004	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16923.433	1692.3433	-2.941	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16923.516	1692.3516	-2.531	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16923.591	1692.3591	-2.309	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16923.658	1692.3658	-2.184	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16923.720	1692.3720	-2.133	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16923.741	1692.3741	-1.827	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16923.773	1692.3773	-1.631	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16923.778	1692.3778	-2.163	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16923.796	1692.3796	-1.577	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16923.812	1692.3812	-1.599	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16923.823	1692.3823	-1.690	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16923.829	1692.3829	-1.878	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16923.894	1692.3894	-1.830	6.7288	54271.432	1.0	7.4612	60178.636	1.0	3.0	2.460	2.160	GA	2.88E+08	8.460	-3.430	-7.100	-7.100	-7.100	1.000	0.006	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16923.932	1692.3932	-2.133	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16923.977	1692.3977	-1.745	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16924.017	1692.4017	-1.490	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16924.053	1692.4053	-1.292	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16924.081	1692.4081	-1.128	5.3079	42811.101	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	16924.101	1692.4101	-0.987	5.3080	42811.907	3.5	6.0403	48718.305	2.5	6.0	1.000	1.040	GA	7.41E+08	8.870	-5.430	-7.550	-7.550	-7.550	1.000	0.013	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16924.742	1692.4742	-1.662	5.9947	48350.516	1.0	6.7271	54257.721	2.0	5.0	0.230	0.760	GA	2.19E+08	8.340	-4.390	-7.520	-7.520	-7.520	1.000	0.040	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
