wavelength_air_A,flux
8.626852125280562177e+03,9.938663840293884277e-01
8.626863757067352708e+03,9.939974546432495117e-01
8.626874661895959434e+03,9.941491484642028809e-01
8.626886293743526039e+03,9.941377639770507812e-01
8.626897198629105333e+03,9.938473105430603027e-01
8.626908830537446192e+03,9.933427572250366211e-01
8.626919735480001691e+03,9.934116005897521973e-01
8.626930640450129431e+03,9.937440752983093262e-01
8.626942272448646690e+03,9.934380650520324707e-01
8.626953177475748817e+03,9.933876395225524902e-01
8.626964809535045788e+03,9.942026734352111816e-01
8.626975714619122300e+03,9.943670630455017090e-01
8.626986619730772873e+03,9.938997626304626465e-01
8.626998251880246244e+03,9.938811659812927246e-01
8.627009157048871202e+03,9.941042661666870117e-01
8.627020789259124285e+03,9.942193627357482910e-01
8.627031694484727268e+03,9.940505027770996094e-01
8.627043326755756425e+03,9.940053224563598633e-01
8.627054232038335613e+03,9.939350485801696777e-01
8.627065137348488861e+03,9.939121007919311523e-01
8.627076769709703512e+03,9.942213892936706543e-01
8.627087675076831147e+03,9.943132400512695312e-01
8.627099307498825510e+03,9.944789409637451172e-01
8.627110212922931169e+03,9.945198297500610352e-01
8.627121845405703425e+03,9.941905140876770020e-01
8.627132750886790745e+03,9.940723776817321777e-01
8.627143656395448488e+03,9.941719174385070801e-01
8.627155288968408058e+03,9.939862489700317383e-01
8.627166194534045644e+03,9.934354424476623535e-01
8.627177827167781288e+03,9.932695031166076660e-01
8.627188732790402355e+03,9.937337636947631836e-01
8.627200365484921349e+03,9.939156174659729004e-01
8.627211271164520440e+03,9.934716224670410156e-01
8.627222176871691772e+03,9.930505156517028809e-01
8.627233809656399899e+03,9.926738739013671875e-01
8.627244715420554712e+03,9.922478795051574707e-01
8.627256348266042551e+03,9.918258786201477051e-01
8.627267254087180845e+03,9.912082552909851074e-01
8.627278886993448396e+03,9.906300306320190430e-01
8.627289792871568352e+03,9.902219176292419434e-01
8.627300698777258731e+03,9.896708130836486816e-01
8.627312331773719052e+03,9.887809753417968750e-01
8.627323237736394731e+03,9.875503182411193848e-01
8.627334870793638402e+03,9.867411255836486816e-01
8.627345776813297562e+03,9.865376353263854980e-01
8.627357409931326401e+03,9.862264394760131836e-01
8.627368316007969042e+03,9.862684607505798340e-01
8.627379222112185744e+03,9.865564703941345215e-01
8.627390855320409173e+03,9.871060848236083984e-01
8.627401761481609356e+03,9.881753325462341309e-01
8.627413394750614316e+03,9.887456893920898438e-01
8.627424300968799798e+03,9.891687035560607910e-01
8.627435934298591746e+03,9.900544285774230957e-01
8.627446840573764348e+03,9.911416172981262207e-01
8.627457746876512829e+03,9.921949505805969238e-01
8.627469380296501186e+03,9.925396442413330078e-01
8.627480286656233147e+03,9.925097823143005371e-01
8.627491920137004854e+03,9.927646517753601074e-01
8.627502826553725754e+03,9.931706786155700684e-01
8.627514460095288086e+03,9.933431148529052734e-01
