wavelength_air_A,status,A0,ew_lo,ew_mid,ew_hi,rew,d_rew_dA,recovered_from_ceiling
6216.3553,ok,7.45,46.34353640977609,49.037430906926765,52.04016593679937,-5.103008119674685,0.2517475078959497,False
6217.683,ok,7.45,21.730267994905844,23.480756076228843,25.58980610995107,-5.4229164993589745,0.3550095644953899,False
6220.7793,ok,7.45,74.98157707747319,80.81307904406904,87.16860074752614,-4.886363139718527,0.3270275199860895,False
6226.7338,ok,7.45,37.20518062035301,41.4114773479007,45.95220315290324,-5.177139575366203,0.4585146048855182,False
6229.2255,ok,7.45,53.916774304201994,59.6338666810917,65.56158995715558,-5.018941082693816,0.424627878111119,False
6232.6399,ok,7.45,102.17204744038055,108.63042559811176,115.25638132705244,-4.758720554567768,0.2616644183845518,True
6240.6458,ok,7.45,76.39750104842972,84.38926704766249,92.68429790834887,-4.868942319160389,0.41963505683906055,False
6256.3607,ok,7.45,104.73101074961549,107.7677496518857,111.05631890285176,-4.763832965046439,0.12733989631767084,True
6267.656,ok,7.45,40.45733051134362,46.27736030866048,53.022510773058734,-5.131736573677993,0.5873153280424614,False
6267.7652,ok,7.45,39.27731433450803,45.09348665741564,51.835832537714055,-5.142998902236902,0.6024414689065738,False
6267.8249,ok,7.45,39.36019293574415,45.1780365946326,51.919866289041806,-5.1421895025088915,0.6013817337603289,False
6270.223,ok,7.45,70.61714772396058,76.33020873532773,82.15994032331538,-4.914586536734824,0.32874971508702777,False
6271.2775,ok,7.45,41.240606284991806,45.296256361619875,49.7227931735294,-5.141293708463222,0.40615237907775104,False
6277.3335,ok,7.45,20.6366043372991,22.61647226525354,25.04056054060507,-5.443350338025836,0.4200290443984023,False
6279.7443,ok,7.45,45.01857998585571,45.25357056629947,45.54199696626221,-5.1422891091000915,0.025101390167334703,False
6280.6166,ok,7.45,92.29167708187914,99.83301318095025,107.583120038807,-4.798728103445116,0.3329079866419893,True
6280.7693,ok,7.45,92.53485606484608,100.07210633684116,107.81963069159495,-4.797699800558564,0.3319624308141156,False
6282.8044,ok,7.45,29.931095183137458,29.927294325096444,29.923494325095653,-5.322086084410299,-0.0005515050307991487,False
6286.1328,ok,7.45,13.30642493618934,13.618779019944794,14.009811811967277,-5.664245378606064,0.11185456623417966,False
6290.9647,ok,7.45,98.46492596686171,103.99689100046524,109.70897695014517,-4.781696892061861,0.23480303261377955,True
6293.9237,ok,7.45,42.876424396288826,48.944952754897145,55.9334441273092,-5.109213560110216,0.5772650052949824,False
6297.7922,ok,7.45,84.50433657407994,89.16688372446745,93.82688680369449,-4.848984737854421,0.2272415501731495,True
6302.4931,ok,7.45,117.07200428900403,124.81907106067219,132.87001118007427,-4.7032314327682485,0.2748695897363984,True
6311.4991,ok,7.45,41.134488816715916,45.11128869502236,49.37778951768245,-5.145847290848376,0.39662769720229196,False
6315.3055,ok,7.45,164.88739321818807,178.66746698367464,192.6638375841412,-4.548348883853923,0.33806377227932005,True
6315.4112,ok,7.45,138.76578092412728,152.76571146071132,167.01893615407403,-4.616375745973285,0.4024166449861921,True
6318.0031,ok,7.45,129.13875069484067,135.82483601819501,142.80410364610313,-4.667600645279894,0.21842053460216948,True
6322.6846,ok,7.45,99.93645215428903,104.60027401094658,109.23718408321149,-4.7813686958516115,0.19323284440937116,True
6330.8474,ok,7.45,25.33957251936183,28.084679299374617,31.239186406866917,-5.352992376321476,0.4545021528209281,False
6336.823,ok,7.45,126.3427761861058,134.2463035402444,142.4297721300713,-4.673969240313609,0.2602518193123249,True
6344.1474,ok,7.45,75.88408313055773,80.6193058670589,85.27236761058928,-4.895934210276416,0.2532881516142427,True
6350.5439,ok,7.45,33.59432030580112,37.15614705774021,41.3851664765521,-5.232780249486075,0.45289423924304906,False
