wavelength_air_A,flux_normalized,n_frames,min_mtrans
19513.3091,0.993115,1,0.7201
19513.3767,0.990286,1,0.692
19513.4442,0.984387,1,0.6783
19513.5118,0.999717,1,0.6837
19513.5794,1.008956,1,0.7016
19513.647,1.014987,1,0.7202
19513.7146,1.006461,1,0.7321
19513.7822,1.00385,1,0.7358
19513.8497,1.010354,1,0.7318
19513.9173,1.002161,1,0.7208
19513.9849,0.998567,1,0.7039
19514.0525,0.994842,1,0.6813
19514.1201,0.997356,1,0.6523
19514.1876,0.99889,1,0.6157
19514.2552,0.989649,1,0.5705
19514.3228,0.986022,1,0.5161
19515.8096,1.000021,1,0.5555
19515.8772,0.997185,1,0.6035
19515.9448,0.993922,1,0.643
19516.0123,0.998449,1,0.6752
19516.0799,1.001493,1,0.7019
19516.1475,0.998707,1,0.7243
19516.2151,0.996121,1,0.743
19516.2827,0.996843,1,0.7581
19516.3502,1.0006,1,0.7697
19516.4178,1.007496,1,0.7775
19516.4854,1.011177,1,0.7803
19516.553,1.004131,1,0.7763
19516.6206,1.008008,1,0.7644
19516.6882,1.006766,1,0.7473
19516.7557,1.019511,1,0.7317
19516.8233,1.023483,1,0.7204
19516.8909,1.025151,1,0.7046
19516.9585,1.027811,1,0.6776
19517.0261,1.004541,1,0.6558
19517.0936,1.003807,1,0.6622
19517.1612,1.019722,1,0.6977
19517.2288,1.018207,1,0.741
19517.2964,1.015869,1,0.7736
19517.364,1.007807,1,0.7918
19517.4315,1.006698,1,0.7994
19517.4991,1.002636,1,0.8001
19517.5667,1.007553,1,0.7956
19517.6343,1.00312,1,0.7865
19517.7019,1.003551,1,0.7737
19517.7695,1.007067,1,0.758
19517.837,1.010496,1,0.7391
19517.9046,1.009036,1,0.7152
19517.9722,1.001628,1,0.6865
19518.0398,0.997663,1,0.6591
19518.1074,1.000419,1,0.641
19518.1749,0.997323,1,0.633
19518.2425,1.01263,1,0.6262
19518.3101,0.999986,1,0.6112
19518.3777,1.000053,1,0.5826
19518.4453,0.999549,1,0.5387
19520.4051,1.006647,1,0.5322
19520.4727,1.002925,1,0.584
19520.5403,1.005725,1,0.6255
19520.6079,1.009238,1,0.6576
19520.6755,1.006972,1,0.6824
19520.743,1.003106,1,0.7005
19520.8106,1.000768,1,0.7115
19520.8782,1.006057,1,0.7139
19520.9458,1.008129,1,0.7056
19521.0134,0.999992,1,0.689
19521.0809,1.003992,1,0.677
19521.1485,1.004937,1,0.6849
19521.2161,1.012934,1,0.7124
19521.2837,1.012948,1,0.7441
19521.3513,1.006934,1,0.7697
19521.4188,1.004903,1,0.789
19521.4864,1.009577,1,0.8036
19521.554,1.006798,1,0.8145
19521.6216,1.005872,1,0.8223
19521.6892,1.014356,1,0.8279
19521.7568,1.008954,1,0.8319
19521.8243,1.010277,1,0.8347
19521.8919,1.005513,1,0.8364
19521.9595,1.007557,1,0.8374
19522.0271,1.007862,1,0.8376
19522.0947,1.005103,1,0.8372
19522.1622,1.010621,1,0.8363
19522.2298,1.01093,1,0.8347
19522.2974,1.002834,1,0.8326
19522.365,1.009903,1,0.8301
19522.4326,1.00479,1,0.8272
19522.5002,1.007752,1,0.8238
19522.5677,1.013387,1,0.8197
19522.6353,1.017448,1,0.8149
19522.7029,1.01067,1,0.8093
19522.7705,1.004929,1,0.8027
19522.8381,1.004881,1,0.795
19522.9056,1.014624,1,0.7862
19522.9732,1.012266,1,0.776
19523.0408,1.009118,1,0.7639
19523.1084,1.008577,1,0.7495
19523.176,1.008813,1,0.7321
19523.2435,1.005633,1,0.7111
19523.3111,1.008665,1,0.6862
19523.3787,1.003403,1,0.6582
19523.4463,0.998653,1,0.6283
19523.5139,0.98603,1,0.5985
19523.5815,0.992052,1,0.5701
19523.649,0.993907,1,0.5428
19523.7166,1.002271,1,0.5137
19527.6363,0.982593,1,0.5023
19527.7039,0.979389,1,0.5282
19527.7715,0.982782,1,0.5494
19527.8391,0.982425,1,0.5669
19527.9067,0.982933,1,0.5809
19527.9742,0.987194,1,0.5913
19528.0418,0.989557,1,0.5976
19528.1094,0.983645,1,0.5995
19528.177,0.985869,1,0.5971
19528.2446,0.989846,1,0.5906
19528.3122,0.98731,1,0.5804
19528.3797,0.997934,1,0.5667
19528.4473,0.984133,1,0.5484
19528.5149,0.984396,1,0.5231
19530.1368,1.013114,1,0.5001
19530.4072,1.00896,1,0.543
19530.4748,1.014631,1,0.5992
19530.5423,1.013118,1,0.6447
19530.6099,1.004296,1,0.6739
19530.6775,1.003468,1,0.6891
19530.7451,1.006364,1,0.6914
19530.8127,1.024542,1,0.6822
19530.8802,1.0272,1,0.6669
19530.9478,1.01432,1,0.6564
19531.0154,1.018345,1,0.6614
19531.083,1.0157,1,0.6834
19531.1506,1.007836,1,0.714
19531.2182,1.013002,1,0.7433
19531.2857,1.012711,1,0.766
19531.3533,1.001618,1,0.782
19531.4209,0.999417,1,0.7931
19531.4885,1.010166,1,0.8007
19531.5561,1.005217,1,0.8057
19531.6236,1.002072,1,0.8085
19531.6912,1.00477,1,0.8093
19531.7588,1.007357,1,0.8086
19531.8264,1.0103,1,0.8073
19531.894,1.005719,1,0.8065
19531.9615,1.003288,1,0.806
19532.0291,1.003688,1,0.8051
19532.0967,1.000198,1,0.8036
19532.1643,1.003696,1,0.8018
19532.2319,0.995598,1,0.8001
19532.2995,1.001937,1,0.798
19532.367,0.997638,1,0.7951
19532.4346,0.989223,1,0.7908
19532.5022,0.987019,1,0.785
19532.5698,0.994257,1,0.7776
19532.6374,0.993672,1,0.7686
19532.7049,0.994779,1,0.758
19532.7725,0.986224,1,0.7456
19532.8401,0.977968,1,0.7311
19532.9077,0.971118,1,0.714
19532.9753,0.960059,1,0.6933
19533.0428,0.938655,1,0.6681
19533.1104,0.917893,1,0.637
19533.178,0.896848,1,0.5978
19533.2456,0.865872,1,0.5476
19537.706,0.988303,1,0.5162
19537.7735,0.99954,1,0.5304
19537.8411,1.003535,1,0.54
