species,lam_nm,e_low,log_gf,vturb,clean,corr
Fe1,252.9134,0.087286,-0.3220,1.50,no,-0.0113
Fe1,252.9134,0.087286,-0.3220,3.00,no,-0.0333
Fe1,252.9835,0.110115,-0.9560,0.75,no,-0.0058
Fe1,252.9835,0.110115,-0.9560,1.50,no,-0.0139
Fe1,252.9835,0.110115,-0.9560,3.00,no,-0.0296
Fe1,253.0687,0.087286,-2.3660,0.75,no,-0.0071
Fe1,253.0687,0.087286,-2.3660,1.50,no,-0.0139
Fe1,253.0687,0.087286,-2.3660,3.00,no,-0.0264
Fe1,253.2876,0.958165,-2.1620,0.75,no,-0.0093
Fe1,253.2876,0.958165,-2.1620,1.50,no,-0.0158
Fe1,253.2876,0.958165,-2.1620,3.00,no,-0.0280
Fe1,253.3141,2.432715,-0.6591,0.75,no,-0.0134
Fe1,253.3141,2.432715,-0.6591,1.50,no,-0.0204
Fe1,253.3141,2.432715,-0.6591,3.00,no,-0.0338
Fe1,253.5606,0.121267,-0.5571,0.75,no,-0.0072
Fe1,253.5606,0.121267,-0.5571,1.50,no,-0.0141
Fe1,253.5606,0.121267,-0.5571,3.00,no,-0.0277
Fe1,253.7174,2.404094,0.7291,0.75,no,-0.0197
Fe1,253.7174,2.404094,0.7291,1.50,no,-0.0300
Fe1,253.7174,2.404094,0.7291,3.00,no,-0.0487
Fe1,253.7458,1.484877,-1.4700,0.75,no,-0.0121
Fe1,253.7458,1.484877,-1.4700,1.50,no,-0.0187
Fe1,253.7458,1.484877,-1.4700,3.00,no,-0.0317
Fe1,253.9356,0.914610,-1.7869,0.75,no,-0.0097
Fe1,253.9356,0.914610,-1.7869,1.50,no,-0.0164
Fe1,253.9356,0.914610,-1.7869,3.00,no,-0.0291
Fe1,254.0660,0.087286,-2.1659,0.75,no,-0.0072
Fe1,254.0660,0.087286,-2.1659,1.50,no,-0.0143
Fe1,254.0660,0.087286,-2.1659,3.00,no,-0.0282
Fe1,254.0972,0.110115,-0.3331,0.75,no,-0.0068
Fe1,254.0972,0.110115,-0.3331,1.50,no,-0.0166
Fe1,254.0972,0.110115,-0.3331,3.00,no,-0.0361
Fe1,254.2101,2.432715,0.7520,0.75,no,-0.0135
Fe1,254.2101,2.432715,0.7520,1.50,no,-0.0213
Fe1,254.2101,2.432715,0.7520,3.00,no,-0.0364
Fe1,254.3922,2.453451,0.7020,0.75,no,-0.0153
Fe1,254.3922,2.453451,0.7020,1.50,no,-0.0238
Fe1,254.3922,2.453451,0.7020,3.00,no,-0.0401
Fe1,254.4656,0.990119,-2.0791,0.75,no,-0.0119
Fe1,254.4656,0.990119,-2.0791,1.50,no,-0.0194
Fe1,254.4656,0.990119,-2.0791,3.00,no,-0.0342
Fe1,254.5978,0.087286,-0.3120,0.75,no,-0.0060
Fe1,254.5978,0.087286,-0.3120,1.50,no,-0.0131
Fe1,254.5978,0.087286,-0.3120,3.00,no,-0.0270
Fe1,254.9525,0.990119,-2.4900,0.75,no,-0.0058
Fe1,254.9525,0.990119,-2.4900,1.50,no,-0.0127
Fe1,254.9525,0.990119,-2.4900,3.00,no,-0.0262
Fe1,254.9613,0.051570,-0.6930,0.75,no,-0.0063
Fe1,254.9613,0.051570,-0.6930,1.50,no,-0.0129
Fe1,254.9613,0.051570,-0.6930,3.00,no,-0.0256
Fe1,255.2605,0.110115,-2.5190,0.75,no,-0.0106
Fe1,255.2605,0.110115,-2.5190,1.50,no,-0.0177
Fe1,255.2605,0.110115,-2.5190,3.00,no,-0.0293
Fe1,255.2830,0.958165,-2.1560,0.75,no,-0.0135
Fe1,255.2830,0.958165,-2.1560,1.50,no,-0.0210
Fe1,255.2830,0.958165,-2.1560,3.00,no,-0.0351
Fe1,255.6303,1.557370,-1.6480,0.75,no,-0.0143
Fe1,255.6303,1.557370,-1.6480,1.50,no,-0.0215
Fe1,255.6303,1.557370,-1.6480,3.00,no,-0.0346
Fe1,255.6862,0.859003,-2.0190,0.75,no,-0.0139
Fe1,255.6862,0.859003,-2.0190,1.50,no,-0.0213
Fe1,255.6862,0.859003,-2.0190,3.00,no,-0.0344
Fe1,256.0557,1.011064,-2.1071,0.75,no,-0.0146
Fe1,256.0557,1.011064,-2.1071,1.50,no,-0.0220
Fe1,256.0557,1.011064,-2.1071,3.00,no,-0.0354
Fe1,256.1854,1.011064,-2.3070,0.75,no,-0.0131
Fe1,256.1854,1.011064,-2.3070,1.50,no,-0.0199
Fe1,256.1854,1.011064,-2.3070,3.00,no,-0.0323
Fe1,256.3399,0.958165,-2.2580,0.75,no,-0.0139
Fe1,256.3399,0.958165,-2.2580,1.50,no,-0.0212
Fe1,256.3399,0.958165,-2.2580,3.00,no,-0.0345
Fe1,256.4559,1.011064,-2.1520,0.75,no,-0.0131
Fe1,256.4559,1.011064,-2.1520,1.50,no,-0.0201
Fe1,256.4559,1.011064,-2.1520,3.00,no,-0.0329
Fe1,256.8864,0.990119,-2.2179,0.75,no,-0.0135
Fe1,256.8864,0.990119,-2.2179,1.50,no,-0.0208
Fe1,256.8864,0.990119,-2.2179,3.00,no,-0.0342
Fe1,256.9596,0.859003,-2.0460,0.75,no,-0.0136
Fe1,256.9596,0.859003,-2.0460,1.50,no,-0.0210
Fe1,256.9596,0.859003,-2.0460,3.00,no,-0.0340
Fe1,256.9743,0.990119,-2.2369,0.75,no,-0.0142
Fe1,256.9743,0.990119,-2.2369,1.50,no,-0.0217
Fe1,256.9743,0.990119,-2.2369,3.00,no,-0.0363
Fe1,257.2753,1.607909,-1.7620,0.75,no,-0.0144
Fe1,257.2753,1.607909,-1.7620,1.50,no,-0.0215
Fe1,257.2753,1.607909,-1.7620,3.00,no,-0.0341
Fe1,257.6690,0.859003,-0.9071,0.75,no,-0.0132
Fe1,257.6690,0.859003,-0.9071,1.50,no,-0.0209
Fe1,257.6690,0.859003,-0.9071,3.00,no,-0.0359
Fe1,257.9270,0.914610,-2.4610,0.75,no,-0.0133
Fe1,257.9270,0.914610,-2.4610,1.50,no,-0.0199
Fe1,257.9270,0.914610,-2.4610,3.00,no,-0.0314
Fe1,258.4535,0.859003,-0.3870,0.75,yes,-0.0132
Fe1,258.4535,0.859003,-0.3870,1.50,yes,-0.0209
Fe1,258.4535,0.859003,-0.3870,3.00,yes,-0.0362
Fe1,259.4151,0.914610,-1.8811,0.75,yes,-0.0132
Fe1,259.4151,0.914610,-1.8811,1.50,yes,-0.0205
Fe1,259.4151,0.914610,-1.8811,3.00,yes,-0.0336
Fe1,259.6617,0.859003,-3.2770,0.75,no,-0.0100
Fe1,259.6617,0.859003,-3.2770,1.50,no,-0.0152
Fe1,259.6617,0.859003,-3.2770,3.00,no,-0.0255
Fe1,259.9566,0.914610,-0.8729,0.75,no,-0.0133
Fe1,259.9566,0.914610,-0.8729,1.50,no,-0.0210
Fe1,259.9566,0.914610,-0.8729,3.00,no,-0.0361
Fe1,260.5657,0.859003,-1.7889,0.75,no,-0.0136
Fe1,260.5657,0.859003,-1.7889,1.50,no,-0.0212
Fe1,260.5657,0.859003,-1.7889,3.00,no,-0.0352
Fe1,260.6826,0.914610,-0.5650,0.75,no,-0.0124
Fe1,260.6826,0.914610,-0.5650,1.50,no,-0.0199
Fe1,260.6826,0.914610,-0.5650,3.00,no,-0.0344
Fe1,261.0750,0.087286,-2.9560,0.75,no,-0.0089
Fe1,261.0750,0.087286,-2.9560,1.50,no,-0.0153
Fe1,261.0750,0.087286,-2.9560,3.00,no,-0.0261
Fe1,261.2772,0.051570,-2.5860,0.75,no,-0.0092
Fe1,261.2772,0.051570,-2.5860,1.50,no,-0.0163
Fe1,261.2772,0.051570,-2.5860,3.00,no,-0.0289
Fe1,261.4494,0.958165,-2.0350,0.75,no,-0.0132
Fe1,261.4494,0.958165,-2.0350,1.50,no,-0.0204
Fe1,261.4494,0.958165,-2.0350,3.00,no,-0.0329
Fe1,261.8018,0.958165,-0.9671,0.75,no,-0.0124
