element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,observed_depth,rew,n_contaminants,worst_contaminant_depth,drop_reason,detail
Cr,I,3812.2571,7.87,22.57,0.1807,0.7455,-5.6852,7,0.387,EW_ERR_EXCESS,err/EW 2.87 > 0.5
Ti,I,3817.6416,278.47,125.76,0.2238,0.9567,-4.137,65,0.883,SATURATED_REW,REW -4.137 > -4.9
V,I,3819.049,40.84,31.4,0.2055,0.7802,-4.9709,8,0.333,EW_ERR_EXCESS,err/EW 0.77 > 0.5
Fe,I,3819.1024,40.84,32.12,0.2082,0.7802,-4.9709,6,0.333,EW_ERR_EXCESS,err/EW 0.79 > 0.5
Sc,I,3819.165,268.43,262.97,0.2067,0.755,-4.1531,8,0.823,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
Fe,I,3819.4926,29.11,34.73,0.2093,0.7619,-5.118,35,0.837,EW_ERR_EXCESS,err/EW 1.19 > 0.5
Cr,I,3819.5175,28.44,34.43,0.2092,0.7619,-5.1281,35,0.823,EW_ERR_EXCESS,err/EW 1.21 > 0.5
Cr,I,3819.5651,24.97,32.04,0.2043,0.7515,-5.1846,46,0.823,EW_ERR_EXCESS,err/EW 1.28 > 0.5
Eu,II,3819.5768,23.09,30.74,0.2017,0.7326,-5.2186,18,0.837,SYNTH_ROUTED,Eu: synthesis is the reporting channel (HFS_sum (problem-children registry))
Fe,I,3819.6255,19.55,28.32,0.1969,0.7021,-5.2909,47,0.837,EW_ERR_EXCESS,err/EW 1.45 > 0.5
Eu,II,3819.6512,16.84,26.4,0.1941,0.6495,-5.3557,21,0.837,SYNTH_ROUTED,Eu: synthesis is the reporting channel (HFS_sum (problem-children registry))
V,I,3819.9643,168.78,152.18,0.1961,0.6627,-4.3547,43,0.699,SATURATED_REW,REW -4.355 > -4.9
Cr,I,3819.9676,165.42,147.5,0.198,0.6685,-4.3635,59,0.699,SATURATED_REW,REW -4.363 > -4.9
Ti,I,3821.6186,161.14,66.44,0.1705,0.7299,-4.375,8,0.913,SATURATED_REW,REW -4.375 > -4.9
Ti,I,3821.7195,165.72,67.79,0.1694,0.8504,-4.3629,30,0.913,SATURATED_REW,REW -4.363 > -4.9
Fe,I,3821.8343,172.62,70.22,0.1678,0.9297,-4.3452,29,0.719,SATURATED_REW,REW -4.345 > -4.9
Fe,I,3821.8989,173.45,71.22,0.1685,0.9297,-4.3431,28,0.719,SATURATED_REW,REW -4.343 > -4.9
Fe,II,3821.9225,173.54,71.06,0.1678,0.9142,-4.3429,29,0.719,SATURATED_REW,REW -4.343 > -4.9
V,I,3821.9848,176.93,70.96,0.1659,0.857,-4.3345,12,0.913,SATURATED_REW,REW -4.334 > -4.9
