wavelength_air_A,model_flux
8.210955999999843698e+03,9.968495655409066458e-01
8.210957999999844105e+03,9.968167138716649278e-01
8.210959999999842694e+03,9.967823823788134474e-01
8.210961999999843101e+03,9.967465388380603031e-01
8.210963999999841690e+03,9.967091473857084827e-01
8.210965999999842097e+03,9.966701684715263410e-01
8.210967999999840686e+03,9.966295589125718779e-01
8.210969999999841093e+03,9.965872720407573659e-01
8.210971999999839682e+03,9.965432578456890900e-01
8.210973999999840089e+03,9.964974630240822639e-01
8.210975999999838677e+03,9.964498308935211268e-01
8.210977999999839085e+03,9.964003012638734669e-01
8.210979999999837673e+03,9.963488103656344963e-01
8.210981999999838081e+03,9.962952908987675604e-01
8.210983999999836669e+03,9.962396721655911724e-01
8.210985999999837077e+03,9.961818802423394459e-01
8.210987999999835665e+03,9.961218381798656596e-01
8.210989999999836073e+03,9.960594662834298951e-01
8.210991999999834661e+03,9.959946825446999163e-01
8.210993999999835069e+03,9.959274032316661751e-01
8.210995999999833657e+03,9.958575435700998124e-01
8.210997999999834065e+03,9.957850183614106454e-01
8.210999999999832653e+03,9.957097424548229103e-01
8.211001999999833060e+03,9.956316310706405659e-01
8.211003999999831649e+03,9.955506001164983187e-01
8.211005999999832056e+03,9.954665666039655969e-01
8.211007999999830645e+03,9.953794492117223891e-01
8.211009999999831052e+03,9.952891689306406775e-01
8.211011999999829641e+03,9.951956497370395560e-01
8.211013999999830048e+03,9.950988193101012458e-01
8.211015999999828637e+03,9.949986098796484990e-01
8.211017999999829044e+03,9.948949592820464094e-01
8.211019999999827633e+03,9.947878121505518978e-01
8.211021999999828040e+03,9.946771210639270278e-01
8.211023999999826628e+03,9.945628474394150320e-01
8.211025999999827036e+03,9.944449621492238434e-01
8.211027999999825624e+03,9.943234459628224053e-01
8.211029999999826032e+03,9.941982900150980740e-01
8.211031999999824620e+03,9.940694963862487521e-01
8.211033999999825028e+03,9.939370787820890341e-01
8.211035999999823616e+03,9.938010632165367175e-01
8.211037999999824024e+03,9.936614886378501987e-01
