key,species,wl,gf_ll,gf_synth,dgf,ep,n_comp_ll,n_comp_synth,nist_grade,ll_source,synth_ref,hfs
"(20, 1)",Ca I,4386.9685899999995,-2.2347651861695566,-2.2347651861695566,0.0,4.5347,2,2,,VALD3,K07,True
"(20, 1)",Ca I,4387.85529,-0.82,-0.82,0.0,4.7435,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4389.9351,-1.871,-1.871,0.0,4.7386,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4391.55614,-2.112,-2.112,0.0,4.7435,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4391.69775,-1.885,-1.885,0.0,4.769,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4393.40486,-1.473,-1.473,0.0,4.7632,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4402.54967,-1.647,-1.647,0.0,4.769,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4408.49825,-1.909,-1.909,0.0,4.7798,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4412.25485,-2.511,-2.511,0.0,4.5541,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4417.30434,-2.102,-2.102,0.0,4.5541,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4421.2451,-2.496,-2.496,0.0,4.6244,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4425.437,-0.358,-0.358,0.0,1.8793,1,1,,VALD3,SN,False
"(20, 1)",Ca I,4427.7071,-2.315,-2.315,0.0,4.6244,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4432.1545,-2.434,-2.434,0.0,4.7632,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4433.77247,-2.562,-2.562,0.0,2.9325,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4434.957,-0.007000000000000016,-0.007000000000000016,0.0,1.8858,1,1,,VALD3,SN,False
"(20, 1)",Ca I,4435.679,-0.517,-0.517,0.0,1.8858,1,1,,VALD3,SN,False
"(20, 1)",Ca I,4450.29391,-2.12,-2.12,0.0,4.8775,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4452.74846,-2.294,-2.294,0.0,4.7632,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4454.779,0.258,0.258,0.0,1.8989,1,1,,VALD3,SN,False
"(20, 1)",Ca I,4455.887,-0.518,-0.518,0.0,1.8989,1,1,,VALD3,SN,False
"(20, 1)",Ca I,4456.616,-1.66,-1.66,0.0,1.8989,1,1,,VALD3,SN,False
"(20, 1)",Ca I,4457.6162,-2.22,-2.1442537935898356,0.07574620641016461,4.8775,1,2,,VALD3,K07,True
"(20, 1)",Ca I,4462.14224,-2.184,-2.184,0.0,4.769,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4462.62209,-2.341,-2.341,0.0,4.6802,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4463.3533,-2.057,-2.057,0.0,4.6806,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4463.92629,-1.75,-1.75,0.0,4.8767,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4464.31302,-2.042,-2.042,0.0,4.877,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4465.07889,-2.146,-2.146,0.0,4.7632,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4478.53267,-2.197,-2.197,0.0,4.877,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4479.48708,-2.057,-2.057,0.0,4.7798,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4481.56467,-1.91,-1.91,0.0,4.7435,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4484.65651,-2.233,-2.233,0.0,4.7632,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4496.17366,-1.66,-1.66,0.0,2.9325,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4498.08217,-1.501,-1.501,0.0,4.769,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4500.27408,-1.112,-1.112,0.0,4.7632,1,1,,VALD3,K07,False
"(20, 1)",Ca I,4503.63159,-2.219,-2.219,0.0,4.7435,1,1,,VALD3,K07,False
