element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Fe,I,6533.9276,kpno_solar_atlas,54.95578266313138,"PROFILE-FIT (voigt); gap 1.080 A; model integrated; chi2_red=0.0001209; sigma_fit=0.0370 A (init 0.0375, floor 0.0055); ew_err=4.43 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0652",,-5.07516092057812,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6597.5588,kpno_solar_atlas,51.07664651462294,"PROFILE-FIT (voigt); gap 1.011 A; model integrated; chi2_red=3.619e-05; sigma_fit=0.0374 A (init 0.0378, floor 0.0056); ew_err=5.69 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0656",7.70440625,-5.111160893996235,ENGINE-A,True,,,,,,True,,,,
Fe,I,6608.0246,kpno_solar_atlas,21.991978913475307,"PROFILE-FIT (voigt); gap 0.927 A; model integrated; chi2_red=2.401e-05; sigma_fit=0.0274 A (init 0.0379, floor 0.0056); ew_err=12.61 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0660",,-5.4778073406616565,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6609.1093,kpno_solar_atlas,76.49428173404979,"PROFILE-FIT (voigt); gap 0.158 A; model integrated; chi2_red=0.0007732; sigma_fit=0.0338 A (init 0.0379, floor 0.0056); ew_err=4.71 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0660",,-4.936513963149867,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6625.0211,kpno_solar_atlas,20.57867039708616,"PROFILE-FIT (voigt); gap 0.471 A; model integrated; chi2_red=3.44e-05; sigma_fit=0.0107 A (init 0.0380, floor 0.0056); ew_err=0.76 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0660",,-5.5077699545441785,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6627.5434,kpno_solar_atlas,32.177172688690646,"PROFILE-FIT (voigt); gap 2.051 A; model integrated; chi2_red=2.1e-05; sigma_fit=0.0359 A (init 0.0380, floor 0.0056); ew_err=0.44 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0660",,-5.31380469907065,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6653.8509,kpno_solar_atlas,14.351526986337603,"PROFILE-FIT (voigt); gap 5.772 A; model integrated; chi2_red=1.791e-05; sigma_fit=0.0117 A (init 0.0382, floor 0.0057); ew_err=0.43 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0664",7.402578125,-5.666174952964765,ENGINE-A,True,,,,,,True,,,,
Fe,I,6703.5655,kpno_solar_atlas,41.55838201400832,"PROFILE-FIT (voigt); gap 1.551 A; model integrated; chi2_red=2.054e-05; sigma_fit=0.0366 A (init 0.0384, floor 0.0057); ew_err=1.37 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0668",7.581359375,-5.207647226298178,ENGINE-A,True,,,,,,True,,,,
Fe,I,6705.1169,kpno_solar_atlas,52.52055955339996,"PROFILE-FIT (voigt); gap 1.551 A; model integrated; chi2_red=4.903e-05; sigma_fit=0.0399 A (init 0.0384, floor 0.0057); ew_err=1.46 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0668",7.334265625,-5.106077009527216,ENGINE-A,True,,,,,,True,,,,
Fe,I,6710.3176,kpno_solar_atlas,20.380864712521745,"PROFILE-FIT (voigt); gap 1.502 A; model integrated; chi2_red=5.028e-05; sigma_fit=0.0200 A (init 0.0385, floor 0.0057); ew_err=0.57 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0668",7.655671875,-5.517520469693958,ENGINE-A,True,,,,,,True,,,,
