# RYA-373 conditioned CRIRES+ Vesta K-band CO (PROVISIONAL) — snapshot @ rya-373 2eadc4d, input to RYA-390 Part B validation.
# wave_vac_A: VACUUM wavelength (Angstrom; CRIRES IDP / molecfit WAVELENGTH_FRAME=VAC). flux_norm: continuum-normalized. err.
# RYA = RYA-373
# PROVIS = True
# TELL = molecfit
# CONTNORM = True
# RESTFRM = False
# SPECSYS = TOPOCENT
# WLEN = K2217
# GATE = 0.0653
# SNRFRAME = 78.8
# RVSTATUS = RV-INSUFFICIENT: ADP.2025-06-06T16:14:11.206.fits: frame-RV INSUFFIC
# GAP1 = FTS solar IR atlas (RYA-162) absent - telluric-gate final cal pending
# GAP2 = revalidate after RYA-387 0.001 re-extraction (anchors from RYA-381)
wave_vac_A,flux_norm,err
22878.99415,0.975069,191.1120
22879.06321,0.978961,191.3820
22879.13227,0.980176,192.8254
22879.20133,0.981704,193.2287
22879.27038,0.986680,193.3171
22879.33944,0.980777,193.8640
22879.40849,0.985924,194.6970
22879.47755,0.984110,195.2706
22879.54660,0.985019,196.2805
22879.61565,0.980123,196.1510
22879.68469,0.985599,196.0478
22879.75374,0.986437,196.8175
22879.82278,0.992311,195.8443
22879.89183,0.985225,196.1326
22879.96087,0.991943,196.3366
22880.02991,0.988291,196.4791
22880.09895,0.990191,196.8773
22880.16799,0.989881,196.3035
22880.23702,0.982087,196.7311
22880.30605,0.990985,196.5662
22880.37509,0.979422,196.7767
22880.44412,0.986488,196.1555
22880.51315,0.984432,196.7347
22880.58218,0.984006,196.8200
22880.65120,0.988016,197.3613
22880.72023,0.995073,196.6219
22880.78925,0.987443,197.2466
22880.85827,1.000811,196.9456
22880.92729,0.995080,197.0497
22880.99631,0.993213,197.1130
22881.06533,0.992838,196.2336
22881.13435,0.992779,197.0916
22881.20336,0.993759,195.9600
22881.27238,0.989595,196.5220
22881.34139,0.983277,196.2763
22881.41040,0.989107,196.2791
22881.47941,0.985767,196.5225
22881.54841,0.978312,197.2806
22881.61742,0.976599,196.5525
22881.68642,0.964917,197.6265
22881.75542,0.961706,197.0902
22881.82443,0.956349,196.9556
22881.89343,0.952707,196.8237
22881.96242,0.958477,196.7783
22882.03142,0.966208,196.9456
22882.10042,0.972614,196.4940
22882.16941,0.973801,195.9480
22882.23840,0.973445,196.3454
22882.30739,0.982037,195.9941
22882.37638,0.978564,195.4308
22882.44537,0.975164,195.1835
