wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
3872.16490,3873.26260,0.38525,80.52000
3872.16950,3873.26720,0.37839,79.09000
3872.17410,3873.27180,0.37515,78.41000
3872.17830,3873.27600,0.37595,78.58000
3872.18290,3873.28060,0.38072,79.58000
3872.18750,3873.28520,0.38888,81.28000
3872.19180,3873.28950,0.39938,83.48000
3872.19640,3873.29410,0.41082,85.87000
3872.20090,3873.29860,0.42160,88.12000
3872.20520,3873.30290,0.43020,89.92000
3872.20980,3873.30750,0.43533,90.99000
3872.21410,3873.31180,0.43621,91.17000
3872.21860,3873.31630,0.43262,90.42000
3872.22320,3873.32090,0.42494,88.82000
3872.22750,3873.32520,0.41402,86.54000
3872.23210,3873.32980,0.40100,83.81000
3872.23660,3873.33430,0.38713,80.92000
3872.24090,3873.33860,0.37355,78.08000
3872.24550,3873.34320,0.36120,75.50000
3872.25010,3873.34780,0.35068,73.30000
3872.25430,3873.35200,0.34230,71.54000
3872.25890,3873.35660,0.33609,70.25000
3872.26350,3873.36120,0.33190,69.37000
3872.26780,3873.36550,0.32943,68.85000
3872.27230,3873.37000,0.32835,68.63000
3872.27660,3873.37430,0.32835,68.63000
3872.28120,3873.37890,0.32919,68.80000
3872.28580,3873.38350,0.33073,69.13000
3872.29000,3873.38770,0.33290,69.58000
3872.29460,3873.39230,0.33568,70.16000
3872.29920,3873.39690,0.33904,70.86000
3872.30350,3873.40120,0.34290,71.67000
3872.30800,3873.40570,0.34709,72.55000
3872.31260,3873.41030,0.35138,73.44000
3872.31690,3873.41460,0.35548,74.30000
3872.32150,3873.41920,0.35912,75.06000
3872.32600,3873.42370,0.36202,75.67000
3872.33030,3873.42800,0.36394,76.07000
3872.33490,3873.43270,0.36471,76.23000
3872.33920,3873.43700,0.36418,76.12000
3872.34380,3873.44160,0.36226,75.72000
3872.34830,3873.44610,0.35897,75.03000
3872.35260,3873.45040,0.35436,74.06000
3872.35720,3873.45500,0.34857,72.85000
3872.36180,3873.45960,0.34178,71.43000
3872.36600,3873.46380,0.33419,69.85000
3872.37060,3873.46840,0.32598,68.13000
3872.37520,3873.47300,0.31731,66.32000
3872.37950,3873.47730,0.30834,64.45000
3872.38400,3873.48180,0.29918,62.53000
3872.38860,3873.48640,0.28995,60.60000
3872.39290,3873.49070,0.28076,58.68000
3872.39750,3873.49530,0.27166,56.78000
3872.40170,3873.49950,0.26268,54.90000
3872.40630,3873.50410,0.25378,53.04000
3872.41090,3873.50870,0.24493,51.19000
3872.41520,3873.51300,0.23602,49.33000
3872.41970,3873.51750,0.22698,47.44000
3872.42430,3873.52210,0.21769,45.50000
3872.42860,3873.52640,0.20807,43.49000
