wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
3351.41970,3352.38310,0.80660,128.64000
3351.42360,3352.38700,0.81194,129.49000
3351.42760,3352.39100,0.81924,130.66000
3351.43160,3352.39500,0.82780,132.02000
3351.43550,3352.39890,0.83677,133.45000
3351.43950,3352.40290,0.84520,134.80000
3351.44350,3352.40690,0.85208,135.90000
3351.44740,3352.41080,0.85647,136.60000
3351.45140,3352.41480,0.85749,136.76000
3351.45540,3352.41880,0.85434,136.26000
3351.45940,3352.42280,0.84619,134.96000
3351.46330,3352.42670,0.83219,132.73000
3351.46730,3352.43070,0.81146,129.42000
3351.47130,3352.43470,0.78321,124.92000
3351.47520,3352.43860,0.74693,119.13000
3351.47920,3352.44260,0.70257,112.06000
3351.48320,3352.44660,0.65068,103.78000
3351.48710,3352.45050,0.59250,94.50000
3351.49110,3352.45450,0.52993,84.52000
3351.49510,3352.45850,0.46536,74.22000
3351.49900,3352.46240,0.40153,64.04000
3351.50300,3352.46640,0.34119,54.42000
3351.50700,3352.47040,0.28680,45.74000
3351.51090,3352.47430,0.24022,38.32000
3351.51490,3352.47830,0.20262,32.32000
3351.51890,3352.48230,0.17451,27.83000
3351.52280,3352.48620,0.15600,24.88000
3351.52680,3352.49020,0.14708,23.46000
3351.53080,3352.49420,0.14780,23.57000
3351.53470,3352.49810,0.15807,25.21000
3351.53870,3352.50210,0.17742,28.30000
3351.54270,3352.50610,0.20454,32.63000
3351.54660,3352.51000,0.23721,37.84000
3351.55060,3352.51400,0.27243,43.45000
3351.55460,3352.51800,0.30694,48.96000
3351.55850,3352.52190,0.33791,53.90000
3351.56250,3352.52590,0.36344,57.97000
3351.56650,3352.52990,0.38274,61.05000
3351.57040,3352.53380,0.39611,63.18000
3351.57440,3352.53780,0.40459,64.54000
3351.57840,3352.54180,0.40971,65.35000
3351.58230,3352.54570,0.41328,65.92000
3351.58630,3352.54970,0.41727,66.56000
3351.59030,3352.55370,0.42367,67.58000
3351.59420,3352.55760,0.43429,69.28000
3351.59820,3352.56160,0.45047,71.86000
3351.60220,3352.56560,0.47283,75.42000
3351.60610,3352.56950,0.50111,79.94000
3351.61010,3352.57350,0.53422,85.22000
3351.61410,3352.57750,0.57049,91.00000
3351.61800,3352.58140,0.60805,97.00000
3351.62200,3352.58540,0.64507,102.90000
3351.62600,3352.58940,0.68005,108.48000
3351.62990,3352.59330,0.71193,113.57000
3351.63390,3352.59730,0.74000,118.05000
3351.63790,3352.60130,0.76392,121.86000
3351.64180,3352.60520,0.78358,125.00000
3351.64580,3352.60920,0.79903,127.46000
3351.64980,3352.61320,0.81039,129.28000
3351.65370,3352.61710,0.81778,130.46000
3351.65770,3352.62110,0.82129,131.02000
3351.66170,3352.62510,0.82094,130.96000
3351.66560,3352.62900,0.81670,130.29000
3351.66960,3352.63300,0.80853,128.98000
3351.67360,3352.63700,0.79635,127.04000
3351.67760,3352.64100,0.78010,124.45000
3351.68150,3352.64490,0.75963,121.18000
3351.68550,3352.64890,0.73474,117.21000
3351.68950,3352.65300,0.70520,112.50000
3351.69340,3352.65690,0.67080,107.01000
3351.69740,3352.66090,0.63156,100.75000
3351.70140,3352.66490,0.58776,93.77000
3351.70530,3352.66880,0.54004,86.15000
3351.70930,3352.67280,0.48944,78.08000
3351.71330,3352.67680,0.43727,69.76000
3351.71720,3352.68070,0.38507,61.43000
3351.72120,3352.68470,0.33454,53.37000
3351.72520,3352.68870,0.28734,45.84000
3351.72910,3352.69260,0.24504,39.09000
3351.73310,3352.69660,0.20891,33.33000
3351.73710,3352.70060,0.17984,28.69000
3351.74100,3352.70450,0.15841,25.27000
3351.74500,3352.70850,0.14508,23.15000
3351.74900,3352.71250,0.14047,22.41000
3351.75290,3352.71640,0.14552,23.22000
3351.75690,3352.72040,0.16142,25.75000
3351.76060,3352.72410,0.18914,30.18000
3351.76480,3352.72830,0.22883,36.51000
3351.76850,3352.73200,0.27937,44.57000
3351.77250,3352.73600,0.33820,53.96000
3351.77640,3352.73990,0.40172,64.09000
3351.78040,3352.74390,0.46606,74.36000
3351.78440,3352.74790,0.52788,84.22000
3351.78830,3352.75180,0.58488,93.32000
3351.79230,3352.75580,0.63593,101.46000
3351.79630,3352.75980,0.68078,108.62000
3351.80020,3352.76370,0.71973,114.83000
3351.80420,3352.76770,0.75322,120.18000
3351.80820,3352.77170,0.78176,124.73000
3351.81210,3352.77560,0.80587,128.58000
3351.81610,3352.77960,0.82608,131.80000
3351.82010,3352.78360,0.84293,134.49000
3351.82400,3352.78750,0.85687,136.72000
3351.82800,3352.79150,0.86818,138.52000
3351.83200,3352.79550,0.87704,139.94000
3351.83590,3352.79940,0.88360,140.98000
3351.83990,3352.80340,0.88806,141.70000
3351.84390,3352.80740,0.89065,142.11000
3351.84780,3352.81130,0.89167,142.27000
3351.85180,3352.81530,0.89127,142.21000
3351.85580,3352.81930,0.88947,141.92000
3351.85970,3352.82320,0.88616,141.40000
3351.86370,3352.82720,0.88117,140.60000
3351.86770,3352.83120,0.87437,139.52000
3351.87160,3352.83510,0.86566,138.13000
3351.87560,3352.83910,0.85502,136.43000
3351.87960,3352.84310,0.84242,134.42000
3351.88350,3352.84700,0.82789,132.10000
3351.88750,3352.85100,0.81147,129.48000
3351.89150,3352.85500,0.79335,126.59000
3351.89540,3352.85890,0.77374,123.46000
3351.89940,3352.86290,0.75293,120.14000
3351.90340,3352.86690,0.73115,116.67000
3351.90730,3352.87080,0.70853,113.06000
3351.91130,3352.87480,0.68506,109.31000
3351.91530,3352.87880,0.66049,105.39000
3351.91930,3352.88280,0.63439,101.23000
3351.92320,3352.88670,0.60610,96.72000
3351.92720,3352.89070,0.57496,91.75000
3351.93120,3352.89470,0.54046,86.24000
3351.93510,3352.89860,0.50258,80.20000
3351.93910,3352.90260,0.46198,73.72000
3351.94310,3352.90660,0.42002,67.02000
3351.94700,3352.91050,0.37869,60.43000
3351.95100,3352.91450,0.34027,54.30000
3351.95500,3352.91850,0.30706,49.00000
3351.95890,3352.92240,0.28116,44.87000
3351.96290,3352.92640,0.26423,42.17000
3351.96690,3352.93040,0.25731,41.06000
3351.97080,3352.93430,0.26052,41.57000
3351.97480,3352.93830,0.27285,43.54000
3351.97880,3352.94230,0.29194,46.59000
3351.98270,3352.94620,0.31435,50.16000
3351.98670,3352.95020,0.33604,53.63000
3351.99070,3352.95420,0.35320,56.36000
3351.99460,3352.95810,0.36297,57.92000
3351.99860,3352.96210,0.36400,58.09000
3352.00260,3352.96610,0.35642,56.88000
3352.00650,3352.97000,0.34153,54.50000
3352.01050,3352.97400,0.32128,51.27000
