wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
10581.82010,10584.71960,0.97416,66.32000
10581.83350,10584.73300,0.97495,66.37000
10581.84690,10584.74640,0.97519,66.39000
10581.85910,10584.75860,0.97515,66.38000
10581.87260,10584.77210,0.97476,66.36000
10581.88480,10584.78430,0.97374,66.29000
10581.89820,10584.79770,0.97203,66.17000
10581.91160,10584.81110,0.96993,66.03000
10581.92380,10584.82330,0.96770,65.88000
10581.93730,10584.83680,0.96527,65.71000
10581.94950,10584.84900,0.96248,65.52000
10581.96290,10584.86240,0.95940,65.31000
10581.97630,10584.87580,0.95617,65.09000
10581.98850,10584.88800,0.95262,64.85000
10582.00200,10584.90150,0.94827,64.55000
10582.01420,10584.91370,0.94276,64.18000
10582.02760,10584.92710,0.93611,63.72000
10582.03980,10584.93930,0.92860,63.21000
10582.05320,10584.95270,0.92040,62.65000
10582.06670,10584.96620,0.91156,62.05000
10582.07890,10584.97840,0.90218,61.41000
10582.09230,10584.99180,0.89251,60.75000
10582.10450,10585.00400,0.88285,60.10000
10582.11790,10585.01740,0.87355,59.46000
10582.13130,10585.03080,0.86498,58.88000
10582.14360,10585.04310,0.85766,58.38000
10582.15700,10585.05650,0.85217,58.01000
10582.16920,10585.06870,0.84893,57.79000
10582.18260,10585.08220,0.84804,57.73000
10582.19600,10585.09560,0.84944,57.82000
10582.20830,10585.10790,0.85306,58.07000
10582.22170,10585.12130,0.85887,58.46000
10582.23390,10585.13350,0.86667,58.99000
10582.24730,10585.14690,0.87588,59.62000
10582.26070,10585.16030,0.88574,60.29000
10582.27290,10585.17250,0.89572,60.97000
10582.28640,10585.18600,0.90564,61.65000
10582.29860,10585.19820,0.91540,62.31000
10582.31200,10585.21160,0.92469,62.94000
10582.32540,10585.22500,0.93312,63.52000
10582.33760,10585.23720,0.94048,64.02000
10582.35110,10585.25070,0.94684,64.45000
10582.36330,10585.26290,0.95242,64.83000
10582.37670,10585.27630,0.95734,65.16000
10582.38890,10585.28850,0.96164,65.46000
10582.40230,10585.30190,0.96533,65.71000
10582.41580,10585.31540,0.96840,65.92000
10582.42800,10585.32760,0.97088,66.09000
10582.44140,10585.34100,0.97284,66.22000
10582.45360,10585.35320,0.97439,66.32000
10582.46700,10585.36660,0.97564,66.41000
10582.48050,10585.38010,0.97667,66.48000
10582.49270,10585.39230,0.97758,66.54000
10582.50610,10585.40570,0.97843,66.60000
10582.51830,10585.41790,0.97922,66.65000
10582.53170,10585.43130,0.97986,66.70000
10582.54520,10585.44480,0.98029,66.72000
10582.55740,10585.45710,0.98057,66.74000
10582.57080,10585.47050,0.98087,66.76000
10582.58300,10585.48270,0.98125,66.79000
10582.59640,10585.49610,0.98160,66.81000
10582.60990,10585.50960,0.98179,66.83000
10582.62210,10585.52180,0.98171,66.82000
10582.63550,10585.53520,0.98137,66.80000
10582.64770,10585.54740,0.98088,66.76000
10582.66110,10585.56080,0.98047,66.74000
10582.67330,10585.57300,0.98029,66.72000
10582.68680,10585.58650,0.98025,66.72000
10582.70020,10585.59990,0.98010,66.71000
10582.71240,10585.61210,0.97981,66.69000
10582.72580,10585.62550,0.97965,66.68000
10582.73800,10585.63770,0.97984,66.69000
10582.75150,10585.65120,0.98025,66.72000
10582.76490,10585.66460,0.98057,66.74000
10582.77710,10585.67680,0.98073,66.75000
10582.79050,10585.69020,0.98091,66.76000
10582.80270,10585.70240,0.98120,66.78000
10582.81620,10585.71590,0.98148,66.80000
10582.82960,10585.72930,0.98165,66.81000
10582.84180,10585.74150,0.98186,66.83000
10582.85520,10585.75490,0.98228,66.86000
10582.86740,10585.76710,0.98271,66.88000
10582.88090,10585.78060,0.98285,66.89000
10582.89430,10585.79400,0.98272,66.89000
10582.90650,10585.80620,0.98266,66.88000
10582.91990,10585.81970,0.98285,66.89000
10582.93210,10585.83190,0.98315,66.91000
10582.94560,10585.84540,0.98338,66.93000
10582.95900,10585.85880,0.98356,66.94000
10582.97120,10585.87100,0.98369,66.95000
10582.98460,10585.88440,0.98366,66.95000
10582.99680,10585.89660,0.98342,66.93000
10583.01030,10585.91010,0.98323,66.92000
10583.02370,10585.92350,0.98329,66.92000
10583.03590,10585.93570,0.98341,66.93000
10583.04930,10585.94910,0.98323,66.92000
