wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
7467.32360,7469.38020,0.99007,130.32000
7467.33400,7469.39060,0.99009,130.33000
7467.34380,7469.40040,0.99051,130.38000
7467.35410,7469.41070,0.99045,130.37000
7467.36390,7469.42050,0.99028,130.35000
7467.37430,7469.43090,0.99063,130.40000
7467.38460,7469.44120,0.99116,130.47000
7467.39440,7469.45100,0.99139,130.50000
7467.40480,7469.46140,0.99157,130.52000
7467.41460,7469.47120,0.99202,130.58000
7467.42490,7469.48150,0.99239,130.63000
7467.43530,7469.49190,0.99232,130.62000
7467.44510,7469.50170,0.99208,130.59000
7467.45540,7469.51200,0.99186,130.56000
7467.46520,7469.52180,0.99145,130.50000
7467.47560,7469.53220,0.99102,130.45000
7467.48600,7469.54260,0.99063,130.39000
7467.49570,7469.55240,0.98968,130.27000
7467.50610,7469.56280,0.98865,130.13000
7467.51590,7469.57260,0.98882,130.15000
7467.52620,7469.58290,0.98944,130.24000
7467.53600,7469.59270,0.98913,130.19000
7467.54640,7469.60310,0.98896,130.17000
7467.55680,7469.61350,0.98993,130.30000
7467.56650,7469.62320,0.99051,130.38000
7467.57690,7469.63360,0.99035,130.35000
7467.58670,7469.64340,0.99116,130.46000
7467.59700,7469.65370,0.99252,130.64000
7467.60740,7469.66410,0.99263,130.65000
7467.61720,7469.67390,0.99245,130.63000
7467.62760,7469.68430,0.99354,130.77000
7467.63730,7469.69400,0.99444,130.89000
7467.64770,7469.70440,0.99375,130.80000
7467.65810,7469.71480,0.99294,130.69000
7467.66780,7469.72450,0.99322,130.73000
7467.67820,7469.73490,0.99358,130.78000
7467.68800,7469.74470,0.99341,130.75000
7467.69840,7469.75510,0.99356,130.77000
7467.70810,7469.76480,0.99437,130.88000
7467.71850,7469.77520,0.99507,130.97000
7467.72890,7469.78560,0.99506,130.97000
7467.73860,7469.79530,0.99457,130.90000
7467.74900,7469.80570,0.99430,130.87000
7467.75880,7469.81550,0.99471,130.92000
7467.76920,7469.82590,0.99527,131.00000
7467.77950,7469.83620,0.99525,130.99000
7467.78930,7469.84600,0.99486,130.94000
7467.79970,7469.85640,0.99450,130.89000
7467.80940,7469.86610,0.99416,130.85000
7467.81980,7469.87650,0.99427,130.86000
7467.83020,7469.88690,0.99515,130.98000
7467.84000,7469.89670,0.99592,131.08000
7467.85030,7469.90700,0.99590,131.08000
7467.86010,7469.91690,0.99567,131.05000
7467.87050,7469.92730,0.99560,131.04000
7467.88090,7469.93770,0.99557,131.03000
7467.89060,7469.94740,0.99562,131.04000
7467.90100,7469.95780,0.99537,131.01000
7467.91080,7469.96760,0.99481,130.93000
7467.92110,7469.97790,0.99523,130.99000
7467.93090,7469.98770,0.99638,131.14000
7467.94130,7469.99810,0.99591,131.08000
7467.95170,7470.00850,0.99429,130.86000
7467.96140,7470.01820,0.99434,130.87000
7467.97180,7470.02860,0.99548,131.02000
7467.98160,7470.03840,0.99518,130.98000
7467.99190,7470.04870,0.99422,130.85000
7468.00230,7470.05910,0.99416,130.84000
7468.01210,7470.06890,0.99428,130.86000
7468.02250,7470.07930,0.99451,130.89000
7468.03220,7470.08900,0.99549,131.02000
7468.04260,7470.09940,0.99591,131.07000
7468.05300,7470.10980,0.99507,130.96000
7468.06270,7470.11950,0.99487,130.93000
7468.07310,7470.12990,0.99573,131.05000
7468.08290,7470.13970,0.99597,131.08000
7468.09330,7470.15010,0.99542,131.01000
7468.10360,7470.16040,0.99487,130.93000
7468.11340,7470.17020,0.99409,130.83000
7468.12380,7470.18060,0.99355,130.76000
7468.13350,7470.19030,0.99378,130.79000
7468.14390,7470.20070,0.99326,130.72000
7468.15370,7470.21050,0.99147,130.48000
7468.16410,7470.22090,0.99048,130.35000
7468.17440,7470.23120,0.99030,130.33000
7468.18420,7470.24100,0.98850,130.09000
7468.19460,7470.25140,0.98597,129.76000
7468.20430,7470.26110,0.98529,129.67000
7468.21470,7470.27150,0.98488,129.62000
7468.22510,7470.28190,0.98260,129.32000
7468.23490,7470.29180,0.98057,129.05000
7468.24520,7470.30210,0.98006,128.98000
7468.25500,7470.31190,0.97876,128.81000
7468.26540,7470.32230,0.97660,128.52000
7468.27580,7470.33270,0.97625,128.48000
7468.28550,7470.34240,0.97717,128.60000
7468.29590,7470.35280,0.97723,128.61000
7468.30570,7470.36260,0.97738,128.63000
7468.31600,7470.37290,0.97886,128.82000
7468.32640,7470.38330,0.98042,129.03000
7468.33620,7470.39310,0.98147,129.16000
7468.34660,7470.40350,0.98281,129.34000
7468.35630,7470.41320,0.98409,129.51000
7468.36670,7470.42360,0.98476,129.60000
7468.37710,7470.43400,0.98562,129.71000
7468.38680,7470.44370,0.98712,129.91000
7468.39720,7470.45410,0.98835,130.07000
7468.40700,7470.46390,0.98879,130.12000
7468.41740,7470.47430,0.98917,130.17000
7468.42770,7470.48460,0.99012,130.30000
7468.43750,7470.49440,0.99122,130.44000
7468.44790,7470.50480,0.99189,130.53000
7468.45760,7470.51450,0.99246,130.61000
7468.46800,7470.52490,0.99316,130.70000
7468.47780,7470.53470,0.99347,130.74000
7468.48820,7470.54510,0.99349,130.74000
7468.49850,7470.55540,0.99391,130.80000
7468.50830,7470.56520,0.99463,130.89000
7468.51870,7470.57560,0.99517,130.96000
7468.52840,7470.58530,0.99541,130.99000
7468.53880,7470.59570,0.99520,130.96000
7468.54920,7470.60610,0.99505,130.94000
7468.55900,7470.61590,0.99579,131.04000
7468.56930,7470.62620,0.99648,131.13000
7468.57910,7470.63600,0.99589,131.05000
7468.58950,7470.64640,0.99544,130.99000
7468.59990,7470.65680,0.99622,131.10000
7468.60960,7470.66660,0.99649,131.13000
7468.62000,7470.67700,0.99564,131.02000
7468.62980,7470.68680,0.99537,130.98000
7468.64010,7470.69710,0.99560,131.01000
7468.65050,7470.70750,0.99495,130.93000
7468.66030,7470.71730,0.99426,130.84000
7468.67070,7470.72770,0.99431,130.84000
7468.68040,7470.73740,0.99359,130.75000
7468.69080,7470.74780,0.99186,130.52000
7468.70120,7470.75820,0.99101,130.41000
7468.71090,7470.76790,0.99095,130.40000
7468.72130,7470.77830,0.98994,130.27000
7468.73110,7470.78810,0.98874,130.11000
7468.74150,7470.79850,0.98889,130.13000
7468.75180,7470.80880,0.98918,130.17000
7468.76160,7470.81860,0.98851,130.08000
7468.77200,7470.82900,0.98851,130.08000
7468.78170,7470.83870,0.98960,130.22000
7468.79210,7470.84910,0.98969,130.23000
7468.80190,7470.85890,0.98875,130.11000
7468.81230,7470.86930,0.98851,130.08000
7468.82260,7470.87960,0.98839,130.06000
7468.83240,7470.88940,0.98727,129.91000
7468.84280,7470.89980,0.98607,129.75000
7468.85250,7470.90950,0.98481,129.59000
7468.86290,7470.91990,0.98258,129.29000
7468.87330,7470.93030,0.98042,129.01000
7468.88310,7470.94010,0.97898,128.82000
7468.89340,7470.95040,0.97694,128.55000
7468.90320,7470.96020,0.97499,128.29000
7468.91360,7470.97060,0.97513,128.31000
7468.92400,7470.98100,0.97584,128.41000
7468.93370,7470.99070,0.97530,128.33000
7468.94410,7471.00110,0.97575,128.39000
7468.95390,7471.01090,0.97886,128.80000
