reference_line_set,adopted_solar_value_lineage,use_status,source_row,species,system,delta_nu,band,wavelength_vac_nm,source_band,lower_energy_eV,published_loggf,equivalent_width_pm,element_parameter,abundance_3d,abundance_mean_3d,abundance_atmo,abundance_marcs,abundance_hm74,transition_identity_status,canonical_join_status
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,71,CH,X-X,1,(1-0),3527.370,IR,0.021,-3.878,0.490,logepsC,8.458,8.502,8.444,8.437,8.575,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,72,CH,X-X,1,(2-1),3568.989,IR,0.458,-3.210,0.820,logepsC,8.455,8.490,8.434,8.424,8.563,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,73,CH,X-X,1,(2-1),3569.319,IR,0.458,-3.148,0.990,logepsC,8.477,8.513,8.453,8.448,8.584,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,74,CH,X-X,1,(2-1),3590.970,IR,0.431,-3.281,0.720,logepsC,8.442,8.479,8.418,8.412,8.547,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,75,CH,X-X,1,(3-2),3644.955,IR,1.091,-2.329,1.740,logepsC,8.541,8.569,8.510,8.505,8.634,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,76,CH,X-X,1,(3-2),3650.817,IR,1.041,-2.691,0.760,logepsC,8.482,8.510,8.452,8.447,8.573,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,77,CH,X-X,1,(3-2),3650.937,IR,1.041,-2.646,0.760,logepsC,8.438,8.465,8.406,8.401,8.531,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,78,CH,X-X,1,(3-2),3652.374,IR,1.442,-2.128,1.050,logepsC,8.459,8.480,8.424,8.420,8.544,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,79,CH,X-X,1,(3-2),3661.034,IR,1.507,-2.099,0.970,logepsC,8.459,8.479,8.423,8.418,8.542,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,80,CH,X-X,1,(2-1),3666.597,IR,0.370,-3.567,0.480,logepsC,8.487,8.528,8.467,8.462,8.599,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,81,CH,X-X,1,(3-2),3668.813,IR,0.950,-2.729,0.870,logepsC,8.490,8.519,8.464,8.457,8.584,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,82,CH,X-X,1,(3-2),3680.588,IR,0.910,-2.815,0.750,logepsC,8.471,8.499,8.443,8.437,8.566,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,83,CH,X-X,1,(3-2),3680.762,IR,0.910,-2.769,0.790,logepsC,8.448,8.477,8.419,8.417,8.541,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,84,CH,X-X,1,(3-2),3693.757,IR,0.872,-2.865,0.710,logepsC,8.459,8.491,8.432,8.426,8.560,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,85,CH,X-X,1,(3-2),3693.976,IR,0.872,-2.817,0.890,logepsC,8.511,8.542,8.485,8.479,8.610,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,86,CH,X-X,1,(3-2),3694.527,IR,0.872,-2.864,0.720,logepsC,8.465,8.492,8.436,8.435,8.566,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,87,CH,X-X,1,(3-2),3710.490,IR,0.837,-2.916,0.670,logepsC,8.451,8.484,8.421,8.417,8.548,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
