wavelength_air_A,model_flux
8.211329999999750726e+03,9.398253415466221172e-01
8.211331999999749314e+03,9.401623452893193011e-01
8.211333999999749722e+03,9.405437097500892740e-01
8.211335999999748310e+03,9.409682989528533881e-01
8.211337999999748718e+03,9.414348542834081179e-01
8.211339999999747306e+03,9.419419998714584352e-01
8.211341999999747713e+03,9.424882478529743590e-01
8.211343999999746302e+03,9.430720035787980571e-01
8.211345999999746709e+03,9.436915709994471158e-01
8.211347999999745298e+03,9.443451585060229636e-01
8.211349999999745705e+03,9.450308855672129305e-01
8.211351999999744294e+03,9.457467904039319473e-01
8.211353999999744701e+03,9.464908386570856091e-01
8.211355999999743290e+03,9.472609327927461464e-01
8.211357999999743697e+03,9.480549216994361705e-01
8.211359999999742286e+03,9.488706101044999119e-01
8.211361999999742693e+03,9.497057674260335203e-01
8.211363999999741281e+03,9.505581361212102065e-01
8.211365999999741689e+03,9.514254395447331314e-01
8.211367999999740277e+03,9.523053896020847731e-01
8.211369999999740685e+03,9.531956942719936876e-01
8.211371999999739273e+03,9.540940651696188102e-01
8.211373999999739681e+03,9.549982251143255274e-01
8.211375999999738269e+03,9.559059156866924756e-01
8.211377999999738677e+03,9.568149046473656272e-01
8.211379999999737265e+03,9.577229930548882830e-01
8.211381999999737673e+03,9.586280219574573325e-01
8.211383999999736261e+03,9.595278784892293800e-01
8.211385999999736669e+03,9.604205014063145196e-01
8.211387999999735257e+03,9.613038860257898666e-01
8.211389999999735664e+03,9.621760887915475902e-01
8.211391999999734253e+03,9.630352315300755306e-01
8.211393999999734660e+03,9.638795056190512245e-01
8.211395999999733249e+03,9.647071760172175603e-01
8.211397999999733656e+03,9.655165851428958446e-01
8.211399999999732245e+03,9.663061563391539543e-01
8.211401999999732652e+03,9.670743967365185156e-01
8.211403999999731241e+03,9.678198993126063687e-01
8.211405999999731648e+03,9.685413441235809495e-01
8.211407999999730237e+03,9.692374988216009291e-01
8.211409999999730644e+03,9.699072186541908280e-01
8.211411999999729233e+03,9.705494462141875944e-01
8.211413999999729640e+03,9.711632111240516840e-01
8.211415999999728228e+03,9.717476298689003977e-01
8.211417999999728636e+03,9.723019058289320560e-01
8.211419999999727224e+03,9.728253295714878179e-01
8.211421999999727632e+03,9.733172792105485582e-01
8.211423999999726220e+03,9.737772206299744049e-01
8.211425999999726628e+03,9.742047072048105605e-01
8.211427999999725216e+03,9.745993788181686046e-01
8.211429999999725624e+03,9.749609600737513260e-01
8.211431999999724212e+03,9.752892578862242257e-01
8.211433999999724620e+03,9.755841587203024634e-01
8.211435999999723208e+03,9.758456258389357485e-01
8.211437999999723615e+03,9.760736968091627830e-01
8.211439999999722204e+03,9.762684814558791890e-01
8.211441999999722611e+03,9.764301603351163150e-01
8.211443999999721200e+03,9.765589837133569207e-01
8.211445999999721607e+03,9.766552709513786068e-01
8.211447999999720196e+03,9.767194100240584875e-01
8.211449999999720603e+03,9.767518568682932445e-01
8.211451999999719192e+03,9.767531342096542613e-01
8.211453999999719599e+03,9.767238297330991248e-01
8.211455999999718188e+03,9.766645936236078018e-01
8.211457999999718595e+03,9.765761357826795441e-01
8.211459999999717184e+03,9.764592230083242175e-01
8.211461999999717591e+03,9.763146764736705396e-01
8.211463999999716179e+03,9.761433695948995570e-01
8.211465999999716587e+03,9.759462263676099703e-01
8.211467999999715175e+03,9.757242200741308435e-01
8.211469999999715583e+03,9.754783722938280555e-01
