band,species,wavelength_A,depth,unsaturated,purity,gof,robust,canonical_line_id,action
Y,TiI,10551.756, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10552.965,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10555.649,Y,Y,Y,Y,Y,gf_167413,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10557.523,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10558.272,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CaI,10558.425,Y,Y,U,Y,N,gf_167414,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10565.953, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10577.139,Y,Y,Y,Y,Y,gf_167415,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CrI,10580.25,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,PI,10581.577, , , , , ,gf_167416,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10582.16, , , , , ,gf_167417,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10584.023, , , , , ,gf_167418,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10584.634, , , , , ,gf_167419,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10585.141, , , , , ,gf_167420,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,PI,10596.903, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10602.816, , , , , ,gf_167421,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10603.425, , , , , ,gf_167422,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,YII,10605.152, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
