line_id,physical_id,key_z,ion,species,wavelength_air_A,excitation_potential_eV,hfs_n_components,log_gf,loggf_reference,nist_grade,seed_source,adjudication_status,gf_synth_ges,gf_regions_vald,gf_linelist_vald,in_synth,in_regions,in_linelist,delta_synth_minus_ew,lab_source_tag,gf_sigma_dex,gf_source_doi,is_diagnostic,gf_tier,diagnostic_excluded_by_registry,w,band,depth,tier,ionx
gf_055943,pk_ab7545a77fb9,26,1.0,Fe I,4581.508,3.241,1,-1.83,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-1.83,,-1.83,True,False,True,,RU14,0.03,10.1093/mnras/stu780,True,LAB,False,4581.508,VIS,0.676,DEEPGRADED,1.0
gf_068331,pk_ff7e68c486e3,26,2.0,Fe II,4583.829,2.807,1,-1.94,PRIMARY LAB DenHartog2019,,synth(GES),lab_rya945,-1.86,,-1.86,True,False,True,,DH19,0.05,10.3847/1538-4365/ab322e,True,LAB,False,4583.829,VIS,0.818,DEEPGRADED,2.0
gf_055983,pk_f1470fa17fd5,26,1.0,Fe I,4595.358,3.301,1,-1.73,PRIMARY LAB Belmonte2017,,synth(GES),lab_rya945,-1.758,,-1.758,True,False,True,,BEL17,0.03,10.3847/1538-4357/aa8cd3,True,LAB,False,4595.358,VIS,0.676,DEEPGRADED,1.0
gf_056041,pk_14e0a6d6c84d,26,1.0,Fe I,4607.646,3.266,1,-1.33,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.33,,-1.462,True,False,True,,DH14,0.03,10.1088/0067-0049/215/2/23,True,LAB,False,4607.646,VIS,0.728,DEEPGRADED,1.0
gf_056047,pk_10bfbb2dea98,26,1.0,Fe I,4611.184,2.851,1,-2.62,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-2.693,,-2.72,True,False,True,,RU14,0.15,10.1093/mnras/stu780,True,LAB,False,4611.184,VIS,0.534,GRADED,1.0
gf_056078,pk_94ae849b8d51,26,1.0,Fe I,4619.288,3.603,1,-1.06,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.07,,-1.12,True,False,True,,DH14,0.03,10.1088/0067-0049/215/2/23,True,LAB,False,4619.288,VIS,0.721,DEEPGRADED,1.0
gf_056096,pk_011325f9b4a8,26,1.0,Fe I,4625.045,3.241,1,-1.27,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.3,,-1.34,True,False,True,,DH14,0.02,10.1088/0067-0049/215/2/23,True,LAB,False,4625.045,VIS,0.746,DEEPGRADED,1.0
gf_056114,pk_3ad0c04f60ca,26,1.0,Fe I,4630.12,2.279,1,-2.58,PRIMARY LAB Belmonte2017,,synth(GES),lab_rya945,-2.587,,-2.587,True,False,True,,BEL17,0.05,10.3847/1538-4357/aa8cd3,True,LAB,False,4630.12,VIS,0.723,DEEPGRADED,1.0
gf_056148,pk_28cd1b480e49,26,1.0,Fe I,4637.503,3.283,1,-1.29,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.29,,-1.39,True,False,True,,DH14,0.03,10.1088/0067-0049/215/2/23,True,LAB,False,4637.503,VIS,0.732,DEEPGRADED,1.0
gf_056207,pk_ba0f432bd208,26,1.0,Fe I,4654.605,3.603,1,-1.14,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.198,,-1.077,True,False,True,,DH14,0.03,10.1088/0067-0049/215/2/23,True,LAB,False,4654.605,VIS,0.723,DEEPGRADED,1.0
gf_056208,pk_36366d5b58a1,26,1.0,Fe I,4654.631,3.211,1,-1.34,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-1.34,,-1.559,True,False,True,,RU14,0.02,10.1093/mnras/stu780,True,LAB,False,4654.631,VIS,0.723,DEEPGRADED,1.0
gf_056255,pk_a063a61f59a5,26,1.0,Fe I,4667.453,3.603,1,-0.71,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-0.716,,-0.751,True,False,True,,DH14,0.03,10.1088/0067-0049/215/2/23,True,LAB,False,4667.453,VIS,0.763,DEEPGRADED,1.0
gf_056258,pk_b8c8d5727ca5,26,1.0,Fe I,4668.134,3.266,1,-1.08,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.13,,-1.204,True,False,True,,DH14,0.03,10.1088/0067-0049/215/2/23,True,LAB,False,4668.134,VIS,0.755,DEEPGRADED,1.0
gf_056264,pk_c47b9de06967,26,1.0,Fe I,4669.171,3.654,1,-1.25,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.242,,-1.211,True,False,True,,DH14,0.03,10.1088/0067-0049/215/2/23,True,LAB,False,4669.171,VIS,0.694,DEEPGRADED,1.0
gf_056291,pk_3c387626d5d9,26,1.0,Fe I,4678.846,3.603,1,-0.68,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-0.705,,-0.833,True,False,True,,DH14,0.02,10.1088/0067-0049/215/2/23,True,LAB,False,4678.846,VIS,0.752,DEEPGRADED,1.0
