key_z,ion,element_raw,wavelength_air_A,excitation_potential_eV,gf_linelist_vald,reference_code,hfs_n_components,lab_log_gf,lab_sigma_dex,lab_source,lab_wavelength_A,n_lab_candidates,adjudicated,delta_lab_minus_vald,nist_log_gf,nist_grade,nist_ref_tp,delta_nist_minus_vald
38,2,Sr 2,10036.653,1.8047,-1.189,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10041.472,5.0117,-1.772,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10057.64,5.0331,-1.435,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,10057.728,2.1747,-0.99,VALD3,1,,,,,0,False,,,,,
28,1,Ni 1,10061.245,5.4943,-0.401,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10065.045,4.8349,-0.2889999999999999,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,10068.329,6.0986,-1.318,VALD3,1,,,,,0,False,,,,,
27,1,Co 1,10078.69905687407,2.700414285714286,-1.6411361218316671,VALD3,21,,,,,0,False,,,,,
26,1,Fe 1,10085.071,4.5844,-2.128,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10089.775,5.4457,-1.247,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10114.013999999997,2.7586,-3.692,VALD3,1,,,,,0,False,,,,,
6,1,C 1,10123.87,8.5371,-0.03099999999999999,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10137.1,5.0856,-1.708,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10142.844,5.0638,-1.51,VALD3,1,-1.63,0.05,DenHartog2014,10142.843,1,True,-0.11999999999999988,,,,
28,1,Ni 1,10145.337,4.2661,-1.471,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10145.561,4.7955,-0.17700000000000002,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10153.305,5.4457,-1.187,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10155.162,2.1759,-4.226,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10156.505,4.5931,-1.711,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10167.468,2.1979,-4.117,VALD3,1,,,,,0,False,,,,,
28,1,Ni 1,10193.22593949609,4.0893,-0.6814002538729019,VALD3,2,,,,,0,False,,,,,
26,1,Fe 1,10195.105,2.7275,-3.58,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10216.313,4.7331,-0.06300000000000003,VALD3,1,-0.13,0.02,Ruffoni2014,10216.314,1,True,-0.06699999999999998,,,,
26,1,Fe 1,10218.407,3.0713,-2.76,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10227.994,6.1189,-0.354,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10230.795,6.1189,-0.339,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10252.551,5.8279,-1.026,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10265.217,2.2227,-4.537,VALD3,1,,,,,0,False,,,,,
20,1,Ca 1,10273.684000000001,4.5347,-0.636,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,10288.944,4.9201,-1.511,VALD3,1,,,,,0,False,,,,,
28,1,Ni 1,10302.611,4.2661,-0.881,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10307.453,4.5931,-2.067,VALD3,1,,,,,0,False,,,,,
12,1,Mg 1,10312.531,6.1182,-1.73,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,10313.197,6.3991,-0.886,VALD3,1,,,,,0,False,,,,,
38,2,Sr 2,10327.311,1.8395,-0.24700000000000003,VALD3,1,,,,,0,False,,,,,
28,1,Ni 1,10330.233810390951,4.1054,-1.0074002538729019,VALD3,2,,,,,0,False,,,,,
26,1,Fe 1,10331.221,6.1445,-0.472,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10332.327,3.6352,-2.938,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10340.885,2.1979,-3.577,VALD3,1,,,,,0,False,,,,,
20,1,Ca 1,10343.819,2.9325,-0.30000000000000004,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10347.965,5.3933,-0.551,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10353.804,5.3933,-0.819,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10362.704,5.4781,-1.343,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10364.061999999998,5.4457,-0.96,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,10371.263,4.9296,-0.705,VALD3,1,,,,,0,False,,,,,
28,1,Ni 1,10378.616245838382,4.0882,-0.8184002538729019,VALD3,2,,,,,0,False,,,,,
26,1,Fe 1,10378.999,2.2227,-4.148,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,10384.927,5.8708,-1.639,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10395.794,2.1759,-3.393,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,10396.8,0.8484,-1.539,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,10407.037,6.6161,-0.597,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,10414.913,6.6192,-1.137,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10423.027,2.6924,-3.616,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10423.743,3.0713,-2.918,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10435.355,4.7331,-1.945,VALD3,1,-2.07,0.09,DenHartog2014,10435.356,1,True,-0.12499999999999978,,,,
26,1,Fe 1,10455.403,5.3933,-0.908,VALD3,1,,,,,0,False,,,,,
16,1,S 1,10455.47,6.8601,0.25,VALD3,1,,,,,0,False,,,,,
16,1,S 1,10456.79,6.8601,-0.447,VALD3,1,,,,,0,False,,,,,
16,1,S 1,10459.46,6.8601,0.03,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10469.652,3.8835,-1.184,VALD3,1,,,,,0,False,,,,,
24,1,Cr 1,10486.251,3.0106,-0.953,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,10496.116,0.836,-1.651,VALD3,1,,,,,0,False,,,,,
26,2,Fe 2,10501.503,5.5488,-2.086,VALD3,1,,,,,0,False,,,,,
24,1,Cr 1,10510.013,3.0133,-1.539,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,10517.511,6.7271,-1.038,VALD3,1,,,,,0,False,,,,,
28,1,Ni 1,10530.520253935694,4.1054,-1.214400253872902,VALD3,2,,,,,0,False,,,,,
26,1,Fe 1,10532.234,3.9286,-1.48,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10535.709,6.2057,-0.10800000000000001,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10555.649,5.4457,-1.108,VALD3,1,,,,,0,False,,,,,
20,1,Ca 1,10558.425,4.5541,-0.731,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10577.139,3.3014,-3.136,VALD3,1,,,,,0,False,,,,,
15,1,P 1,10581.577,6.9852,0.45,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,10582.16,6.2227,-1.169,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10584.022999999997,6.2529,-0.622,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,10584.634,0.8259,-1.775,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,10585.141,4.9538,0.012000000000000016,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,10602.816,5.8708,-0.942,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,10603.425,4.9296,-0.305,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10611.686,6.1692,0.021000000000000005,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10616.721,3.2671,-3.127,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,10617.877,6.2368,-0.336,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,10627.648,5.8625,-0.866,VALD3,1,,,,,0,False,,,,,
16,1,S 1,10633.08,8.5844,0.46,VALD3,1,,,,,0,False,,,,,
24,1,Cr 1,10647.642,3.0106,-1.585,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,10660.973,4.9201,-0.26600000000000007,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,10661.623,0.8181,-1.915,VALD3,1,,,,,0,False,,,,,
24,1,Cr 1,10667.517,3.0128,-1.487,VALD3,1,,,,,0,False,,,,,
24,1,Cr 1,10672.142,3.0133,-1.358,VALD3,1,,,,,0,False,,,,,
