band,species,wavelength_A,lower_ep_eV,elgueta_loggf,gd_depth,gd_saturation,gd_purity,gd_gof,gd_robust,elgueta_status,failure_reasons,canonical_match,canonical_line_id,canonical_grade,canonical_gf_source,gf_sigma_dex,gradeable_currently,in_current_main_rya904,in_recent_rya1054_commit,implementation_artifact,conditioned_spectrum_reaches,coverage_note,gap_class,recommended_next_action
Y,FeI,10331.221,6.144,-0.472, , , , , ,unassessed,,True,gf_167381,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10332.327,3.635,-2.938, , , , , ,unassessed,,True,gf_167382,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10333.184,4.593,-2.585, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10336.337,6.066,-1.024, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10340.885,2.198,-3.577, , , , , ,unassessed,,True,gf_167383,VALD3,VALD3,,False,True,False,data/results/rya904/FeI_10280_10680_crires_plus_SYNTH_1D-LTE_lines.csv,True,Y wide derivative exists only on RYA-1054 commit 622c954,IMPLEMENTED_CANDIDATE_OR_REJECTED,preserve_existing
Y,FeI,10347.965,5.393,-0.551, , , , , ,unassessed,,True,gf_167385,VALD3,VALD3,,False,True,False,data/results/rya904/FeI_10280_10680_crires_plus_SYNTH_1D-LTE_lines.csv,True,Y wide derivative exists only on RYA-1054 commit 622c954,IMPLEMENTED_CANDIDATE_OR_REJECTED,preserve_existing
Y,FeI,10350.77,6.144,-0.791, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10353.804,5.393,-0.819, , , , , ,unassessed,,True,gf_167386,VALD3,VALD3,,False,True,False,data/results/rya904/FeI_10280_10680_crires_plus_SYNTH_1D-LTE_lines.csv,True,Y wide derivative exists only on RYA-1054 commit 622c954,IMPLEMENTED_CANDIDATE_OR_REJECTED,preserve_existing
Y,FeI,10360.578,5.519,-1.403, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10362.704,5.478,-1.343, , , , , ,unassessed,,True,gf_167387,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10364.062,5.446,-0.96, , , , , ,unassessed,,True,gf_167388,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeII,10366.167,6.724,-1.825, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10371.686,3.64,-3.554, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10378.999,2.223,-4.148, , , , , ,unassessed,,True,gf_167391,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10387.483,5.539,-1.509, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10388.745,5.446,-1.468, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
