element,ion,band,holding,tier,route,treatment,line_set,product_A,wavelength_air_A,line_A,red_chi2,in_aggregate,excluded_reason,nlte_delta_dex,nlte_source,perline_artifact
Fe,II,VIS,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.556,4385.377,8.366,182.67,True,,0.0,"none — LTE, no departure applied",FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,VIS,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.556,4416.819,7.551,29.014,True,,0.0,"none — LTE, no departure applied",FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,VIS,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.556,4508.28,7.56,16.931,True,,0.0,"none — LTE, no departure applied",FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,VIS,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.556,4522.628,7.931,77.229,True,,0.0,"none — LTE, no departure applied",FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,VIS,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.556,4549.466,7.67,42.08,True,,0.0,"none — LTE, no departure applied",FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,VIS,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.556,4583.829,7.176,38.184,True,,0.0,"none — LTE, no departure applied",FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,near-UV,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,1D-LTE,,7.617,3002.644,7.47,33.97,True,,0.0,"none — LTE, no departure applied",FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe,II,near-UV,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,1D-LTE,,7.617,3170.337,7.758,222.585,True,,0.0,"none — LTE, no departure applied",FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe,II,near-UV,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,1D-LTE,,7.617,3183.114,7.599,123.186,True,,0.0,"none — LTE, no departure applied",FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe,II,near-UV,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,1D-LTE,,7.617,3186.737,7.709,76.104,True,,0.0,"none — LTE, no departure applied",FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
