# host=Mac machine=arm64 python=3.12.13 numpy=2.2.6 ncalls=2 nlines=473
call_seq,wave,element,normal_abund
1,584.117400,Ti 1,4.9249999999999998
1,584.254300,Cr 1,6.1630000000000003
1,584.305300,Si 1,8.1489999999999991
1,585.366700,Ba 2,2.4660000000000002
1,586.344800,Cr 1,8.1630000000000003
1,586.402800,Cr 1,6.9390000000000001
1,586.605400,Si 1,8.1790000000000003
1,586.756200,Ca 1,6.4320000000000004
1,586.919800,Ti 1,6.181
1,587.655400,Cr 1,7.1139999999999999
1,588.443500,Cr 1,8.468
1,590.331500,Ti 1,5.5709999999999997
1,590.578300,Ti 1,7.4699999999999998
1,590.823400,Cr 1,7.0119999999999996
1,591.372700,Ti 1,8.8819999999999997
1,592.393300,Ni 1,7.6029999999999998
1,593.096500,Ca 1,nan
1,594.442400,Si 1,7.6909999999999998
1,594.466000,Ti 1,5.8609999999999998
1,595.009200,Si 1,9.0220000000000002
1,595.316000,Ti 1,6.4429999999999996
1,595.735600,Ti 1,7.7759999999999998
1,595.942800,Si 1,8.5280000000000005
1,596.121100,S 1,8.1419999999999995
1,596.913800,Ti 1,6.6559999999999997
1,597.069000,Cr 1,7.0439999999999996
1,597.225800,Cr 1,7.1779999999999999
1,598.253200,Ti 1,7.0309999999999997
1,599.796800,Si 1,8.9179999999999993
1,600.085500,Si 1,6.9470000000000001
1,600.207700,Si 1,8.8049999999999997
1,602.222900,Si 1,8.9380000000000006
1,602.515300,Cr 1,8.4109999999999996
1,604.239900,Si 1,7.9770000000000003
1,605.346600,Cr 2,6.8490000000000002
1,606.399300,Si 1,9.4060000000000006
1,606.762300,Si 1,8.1379999999999999
1,607.205800,Ni 1,7.5700000000000003
1,607.692500,Si 1,8.0600000000000005
1,608.002200,Si 1,8.9060000000000006
1,608.352200,Mg 1,9.2639999999999993
1,609.191900,Si 1,7.9550000000000001
1,609.279200,Ti 1,6.9269999999999996
1,609.535300,Ni 1,7.9400000000000004
1,611.975700,Ni 1,7.3330000000000002
1,612.221700,Ca 1,5.5129999999999999
1,612.349400,Si 1,9.7629999999999999
1,613.157300,Si 1,8.0559999999999992
1,614.203400,Ni 1,9.3650000000000002
1,614.220400,Si 1,10.291
1,614.972400,Ti 1,7.4880000000000004
1,615.229200,Si 1,8.1630000000000003
1,615.569300,Si 1,9.7420000000000009
1,616.375500,Ca 1,7.0860000000000003
1,616.643900,Ca 1,6.4219999999999997
1,617.204000,Cr 1,7.4889999999999999
1,617.475100,Ti 1,7.8499999999999996
1,619.171800,Y 1,5.9050000000000002
1,619.441600,Si 1,8.2249999999999996
1,619.488400,Si 1,8.7629999999999999
1,620.475700,Ca 1,nan
1,621.087100,Ca 1,nan
1,621.221200,Ti 1,6.8659999999999997
1,622.047400,Ti 1,6.8460000000000001
1,622.268200,Si 1,8.8140000000000001
1,623.731900,Si 1,7.798
1,624.381500,Si 1,7.8920000000000003
1,624.496500,Ni 1,9.0790000000000006
1,625.359800,Si 1,10
1,625.549200,Si 1,10.300000000000001
1,625.810200,Ti 1,5.1580000000000004
1,626.481000,Ti 1,7.9909999999999997
1,626.852500,Ti 1,6.3049999999999997
1,627.261600,Ni 1,7.4589999999999996
1,627.934300,Si 1,9.827
1,628.042100,Si 1,10.377000000000001
1,628.693300,V 1,6.0190000000000001
1,630.162500,Si 1,10.173
1,630.375700,Ti 1,4.9299999999999997
1,630.492900,Mn 1,6.9630000000000001
1,630.636500,Mn 1,6.7039999999999997
