element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,vald_proximity_flag,blend_flag,priority,notes
Ni,II,1173.29758,1.3222,-1.547,VALD3,,7.6,-6.61,-7.94,0.158,0.44322,False,1,
S,I,1173.46176,0.0491,-2.877,VALD3,,8.59,-5.58,-7.5,0.817,0.502273,False,1,
Ni,II,1173.47657,1.2542,-1.497,VALD3,,7.57,-6.62,-7.94,0.211,1.0,False,1,
Cu,I,1173.54694,0.0,-0.753,VALD3,,8.34,-3.88,-7.21,0.452,0.712226,False,2,
Fe,II,1173.9213,1.0969,-1.985,VALD3,,8.67,-6.47,-7.929,0.396,1.0,False,1,
Cu,I,1173.94398,0.0,-1.558,VALD3,,7.84,-3.4,-6.79,0.12,1.0,False,2,
S,I,1174.04803,1.1454,-2.094,VALD3,,7.52,-3.88,-7.04,0.547,1.0,False,1,
S,I,1174.04803,1.1454,-2.447,VALD3,,8.45,-4.56,-7.07,0.367,1.0,False,1,
Fe,II,1174.05948,0.9863,-2.264,VALD3,,8.6,-6.5,-7.745,0.326,1.0,False,1,
Fe,II,1174.26113,1.0762,-2.145,VALD3,,8.59,-6.44,-7.932,0.324,0.419521,False,1,
S,I,1175.00032,0.0711,-1.253,VALD3,,8.29,-4.98,-7.42,0.908,0.18394,False,1,
Fe,II,1175.14754,1.0405,-1.358,VALD3,,8.6,-6.5,-7.742,0.728,0.22942,False,1,
Fe,II,1175.68131,0.2322,-1.434,VALD3,,8.62,-6.68,-7.707,0.894,0.040909,False,1,
S,I,1176.00095,0.0491,-0.811,VALD3,,8.88,-5.63,-7.5,0.909,0.048266,False,1,
Fe,II,1176.42281,1.0405,-1.864,VALD3,,8.61,-6.5,-7.748,0.496,0.474773,False,1,
N,I,1176.51,2.3835,-1.15,VALD3,,0.0,0.0,0.0,0.58,0.44328,False,2,
N,I,1176.63,2.3846,-2.085,VALD3,,0.0,0.0,0.0,0.165,0.44117,False,2,
Ni,II,1177.109,1.1568,-1.869,VALD3,,7.53,-6.6,-7.94,0.132,1.0,False,1,
