# linelist_alpha_cen_a.csv — alpha Cen A per-system VALD3 linelist (RYA-300)
# Generated: 2026-06-15  by scripts/intake_build_alpha_cen.py
# Stellar params: Teff=5792 K, logg=4.3, [Fe/H]=+0.20, vmic=1.1 km/s
#   (Heiter+2015 GBS Paper I / Jofre+2014 GBS Paper III)
# HFS splitting: ON (Codex permanent convention — all extractions, RYA-300)
# Detection threshold (central_depth): 0.05
# Extractions merged (all HFS-ON):
#   uv1     : vald_alpha_cen_a_uv1_raw.txt (RyanSchmitt.019551.gz), 1150-2000 A
#   uv2     : vald_alpha_cen_a_uv2_raw.txt (RyanSchmitt.019552.gz), 2000-3780 A
#   optical : vald_alpha_cen_a_optical_raw.txt (RyanSchmitt.019553.gz), 3780-6910 A
#   nir     : vald_alpha_cen_a_nir_raw.txt (RyanSchmitt.019554.gz), 6910-17000 A
# Wavelength convention: 'vacuum' for lambda < 2000 A (VALD delivers vacuum
#   below 2000 A despite the WL_air label), 'air' for lambda >= 2000 A.
#   NO vacuum->air conversion at build — done at the spectrum-matching boundary.
# Seam duplicates dropped at band endpoints: 102
# nist_grade empty pending NIST cross-validation; blend_flag=False everywhere.
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,blend_flag,priority,notes,extraction_source,wavelength_convention
Fe,II,1166.0211,2.5827,-0.924,VALD3,,8.52,-6.54,-7.942,0.052,False,0,,uv1_019551,vacuum
Cu,I,1166.13493,0.0,-1.894,VALD3,,7.22,-5.34,-7.81,0.051,False,0,,uv1_019551,vacuum
S,I,1166.69744,0.0491,-3.413,VALD3,,8.56,-4.91,-7.42,0.544,False,0,,uv1_019551,vacuum
Fe,II,1167.11595,0.107,-4.155,VALD3,,8.6,-6.54,-7.781,0.055,False,0,,uv1_019551,vacuum
S,I,1167.13352,0.0,-0.603,VALD3,,8.3,-4.99,-7.42,0.839,False,0,,uv1_019551,vacuum
S,I,1167.13352,0.0,-1.27,VALD3,,8.3,-4.99,-7.42,0.837,False,0,,uv1_019551,vacuum
S,I,1167.13352,0.0,-2.409,VALD3,,8.29,-4.98,-7.42,0.812,False,0,,uv1_019551,vacuum
Cl,I,1167.148,0.0,-0.09,VALD3,,0.0,0.0,0.0,0.834,False,0,,uv1_019551,vacuum
Cu,I,1167.35301,0.0,-1.714,VALD3,,7.4,-5.1,-7.76,0.085,False,0,,uv1_019551,vacuum
N,I,1167.448,2.3835,-0.743,VALD3,,0.0,0.0,0.0,0.662,False,0,,uv1_019551,vacuum
S,I,1168.03327,0.0,-2.923,VALD3,,8.59,-5.58,-7.5,0.746,False,0,,uv1_019551,vacuum
Ni,II,1168.04091,1.8592,-1.097,VALD3,,7.84,-6.54,-7.93,0.06,False,0,,uv1_019551,vacuum
N,I,1168.334,2.3846,-1.817,VALD3,,0.0,0.0,0.0,0.198,False,0,,uv1_019551,vacuum
N,I,1168.417,2.3835,-2.382,VALD3,,0.0,0.0,0.0,0.065,False,0,,uv1_019551,vacuum
N,I,1168.536,2.3846,-0.941,VALD3,,0.0,0.0,0.0,0.585,False,0,,uv1_019551,vacuum
Cu,I,1168.91008,0.0,-1.501,VALD3,,7.61,-4.4,-7.58,0.128,False,0,,uv1_019551,vacuum
Ca,II,1169.02937,0.0,-2.809,VALD3,,6.57,-4.14,-7.12,0.683,False,0,,uv1_019551,vacuum
Fe,II,1169.1485,0.9863,-2.106,VALD3,,8.6,-6.5,-7.742,0.312,False,0,,uv1_019551,vacuum
Fe,II,1169.16794,1.0762,-2.854,VALD3,,8.53,-6.49,-7.923,0.056,False,0,,uv1_019551,vacuum
Fe,II,1169.19021,0.9863,-1.096,VALD3,,8.62,-6.5,-7.753,0.738,False,0,,uv1_019551,vacuum
Ca,II,1169.1979,0.0,-3.11,VALD3,,6.57,-4.13,-7.12,0.559,False,0,,uv1_019551,vacuum
N,I,1169.69,2.3835,-2.34,VALD3,,0.0,0.0,0.0,0.065,False,0,,uv1_019551,vacuum
Fe,II,1170.02469,0.2322,-3.982,VALD3,,8.78,-6.48,-7.848,0.058,False,0,,uv1_019551,vacuum
N,I,1170.28,2.3846,-2.423,VALD3,,0.0,0.0,0.0,0.062,False,0,,uv1_019551,vacuum
Fe,II,1170.29178,2.5827,-0.537,VALD3,,8.62,-6.36,-7.85,0.122,False,0,,uv1_019551,vacuum
Fe,II,1170.29624,1.0405,-1.763,VALD3,,8.59,-6.44,-7.932,0.45,False,0,,uv1_019551,vacuum
Fe,II,1170.41078,0.9863,-2.864,VALD3,,8.61,-6.5,-7.748,0.078,False,0,,uv1_019551,vacuum
Fe,II,1170.4256,1.0405,-2.084,VALD3,,8.62,-6.45,-7.929,0.291,False,0,,uv1_019551,vacuum
S,I,1170.54899,0.0,-0.592,VALD3,,8.88,-5.63,-7.5,0.837,False,0,,uv1_019551,vacuum
Cu,I,1170.90411,0.0,-1.227,VALD3,,7.88,-4.64,-7.49,0.218,False,0,,uv1_019551,vacuum
N,I,1171.084,2.3835,-1.987,VALD3,,0.0,0.0,0.0,0.138,False,0,,uv1_019551,vacuum
Ni,II,1171.29086,1.1568,-1.367,VALD3,,7.56,-6.58,-7.94,0.232,False,0,,uv1_019551,vacuum
Fe,II,1171.63382,1.0762,-1.913,VALD3,,8.67,-6.47,-7.929,0.346,False,0,,uv1_019551,vacuum
Cu,I,1172.04879,0.0,-1.613,VALD3,,7.5,-3.36,-6.96,0.1,False,0,,uv1_019551,vacuum
S,I,1172.55364,0.0491,-0.9,VALD3,,8.3,-4.99,-7.42,0.836,False,0,,uv1_019551,vacuum
S,I,1172.55364,0.0491,-1.324,VALD3,,8.29,-4.98,-7.42,0.834,False,0,,uv1_019551,vacuum
Ni,II,1173.29758,1.3222,-1.547,VALD3,,7.6,-6.61,-7.94,0.1,False,0,,uv1_019551,vacuum
S,I,1173.46176,0.0491,-2.877,VALD3,,8.59,-5.58,-7.5,0.738,False,0,,uv1_019551,vacuum
Ni,II,1173.47657,1.2542,-1.497,VALD3,,7.57,-6.62,-7.94,0.14,False,0,,uv1_019551,vacuum
Cu,I,1173.54694,0.0,-0.753,VALD3,,8.34,-3.88,-7.21,0.439,False,0,,uv1_019551,vacuum
Fe,II,1173.9213,1.0969,-1.985,VALD3,,8.67,-6.47,-7.929,0.302,False,0,,uv1_019551,vacuum
Cu,I,1173.94398,0.0,-1.558,VALD3,,7.84,-3.4,-6.79,0.114,False,0,,uv1_019551,vacuum
S,I,1174.04803,1.1454,-2.094,VALD3,,7.52,-3.88,-7.04,0.461,False,0,,uv1_019551,vacuum
S,I,1174.04803,1.1454,-2.447,VALD3,,8.45,-4.56,-7.07,0.288,False,0,,uv1_019551,vacuum
Fe,II,1174.05948,0.9863,-2.264,VALD3,,8.6,-6.5,-7.745,0.243,False,0,,uv1_019551,vacuum
Fe,II,1174.26113,1.0762,-2.145,VALD3,,8.59,-6.44,-7.932,0.239,False,0,,uv1_019551,vacuum
S,I,1175.00032,0.0711,-1.253,VALD3,,8.29,-4.98,-7.42,0.833,False,0,,uv1_019551,vacuum
Fe,II,1175.14754,1.0405,-1.358,VALD3,,8.6,-6.5,-7.742,0.633,False,0,,uv1_019551,vacuum
Fe,II,1175.68131,0.2322,-1.434,VALD3,,8.62,-6.68,-7.707,0.816,False,0,,uv1_019551,vacuum
S,I,1176.00095,0.0491,-0.811,VALD3,,8.88,-5.63,-7.5,0.834,False,0,,uv1_019551,vacuum
Fe,II,1176.42281,1.0405,-1.864,VALD3,,8.61,-6.5,-7.748,0.394,False,0,,uv1_019551,vacuum
N,I,1176.51,2.3835,-1.15,VALD3,,0.0,0.0,0.0,0.487,False,0,,uv1_019551,vacuum
N,I,1176.63,2.3846,-2.085,VALD3,,0.0,0.0,0.0,0.114,False,0,,uv1_019551,vacuum
Ni,II,1177.109,1.1568,-1.869,VALD3,,7.53,-6.6,-7.94,0.085,False,0,,uv1_019551,vacuum
Cu,I,1177.12091,0.0,-1.278,VALD3,,7.82,-2.03,-6.7,0.195,False,0,,uv1_019551,vacuum
S,I,1177.28235,1.1454,-1.446,VALD3,,8.64,-4.12,-7.19,0.717,False,0,,uv1_019551,vacuum
S,I,1177.28235,1.1454,-3.204,VALD3,,8.6,-4.34,-7.23,0.064,False,0,,uv1_019551,vacuum
Fe,II,1177.34878,1.0405,-2.913,VALD3,,8.62,-6.5,-7.759,0.053,False,0,,uv1_019551,vacuum
Cu,I,1177.64394,0.0,-1.743,VALD3,,7.37,-2.14,-6.69,0.075,False,0,,uv1_019551,vacuum
Cu,I,1177.64394,0.0,-0.999,VALD3,,8.39,-2.54,-6.69,0.311,False,0,,uv1_019551,vacuum
N,I,1177.695,2.3846,-1.369,VALD3,,0.0,0.0,0.0,0.377,False,0,,uv1_019551,vacuum
S,I,1178.46205,0.0711,-1.284,VALD3,,8.88,-5.63,-7.5,0.832,False,0,,uv1_019551,vacuum
Cl,I,1179.293,0.1094,-0.39,VALD3,,0.0,0.0,0.0,0.817,False,0,,uv1_019551,vacuum
S,I,1179.29547,1.1454,-1.018,VALD3,,8.01,-3.44,-7.06,0.789,False,0,,uv1_019551,vacuum
S,I,1180.00518,1.1454,-2.491,VALD3,,8.39,-3.91,-7.09,0.268,False,0,,uv1_019551,vacuum
Fe,II,1180.10916,1.0405,-1.706,VALD3,,8.6,-6.5,-7.745,0.472,False,0,,uv1_019551,vacuum
Fe,II,1180.42939,1.0762,-1.366,VALD3,,8.61,-6.5,-7.748,0.604,False,0,,uv1_019551,vacuum
Fe,II,1181.36168,1.0762,-1.892,VALD3,,8.62,-6.5,-7.759,0.35,False,0,,uv1_019551,vacuum
Fe,II,1181.37131,0.9863,-2.522,VALD3,,8.63,-6.5,-7.755,0.146,False,0,,uv1_019551,vacuum
S,I,1181.59466,1.1454,-1.339,VALD3,,8.1,-3.0,-7.14,0.741,False,0,,uv1_019551,vacuum
Fe,II,1181.89395,0.2322,-2.292,VALD3,,8.6,-6.57,-7.799,0.685,False,0,,uv1_019551,vacuum
Cu,I,1181.99901,0.0,-1.89,VALD3,,7.21,-4.7,-7.81,0.058,False,0,,uv1_019551,vacuum
Ni,II,1182.16906,1.2542,-1.893,VALD3,,7.56,-6.58,-7.94,0.061,False,0,,uv1_019551,vacuum
Cu,I,1183.25901,0.0,-1.67,VALD3,,7.42,-4.36,-7.67,0.086,False,0,,uv1_019551,vacuum
