# air_wavelength_A  corrected_residual_flux  transmission
# RYA-940 telluric-corrected 1984 Kitt Peak atlas. NaN = quarantined (transmission < T_min=0.0873), never divided.
  6250.34850       0.999275   0.992580
  6250.35580       0.998711   0.992579
  6250.36250       0.998409   0.992579
  6250.36990       0.997412   0.992578
  6250.37660       0.996476   0.992578
  6250.38390       0.996476   0.992577
  6250.39120       0.996729   0.992577
  6250.39790       0.996558   0.992576
  6250.40530       0.996508   0.992576
  6250.41260       0.997043   0.992575
  6250.41930       0.997497   0.992575
  6250.42660       0.997366   0.992574
  6250.43330       0.997518   0.992574
  6250.44070       0.998485   0.992573
  6250.44800       0.999191   0.992573
  6250.45470       0.999202   0.992572
  6250.46200       0.999424   0.992572
  6250.46940       0.999686   0.992571
  6250.47610       0.999264   0.992571
  6250.48340       0.998972   0.992570
  6250.49010       0.999386   0.992570
  6250.49740       0.999537   0.992569
  6250.50480       0.999296   0.992569
  6250.51150       0.999286   0.992568
  6250.51880       0.999085   0.992568
  6250.52610       0.998582   0.992567
  6250.53280       0.998693   0.992567
  6250.54020       0.999178   0.992566
  6250.54690       0.999249   0.992566
  6250.55420       0.999340   0.992565
  6250.56150       0.999673   0.992565
  6250.56820       0.999673   0.992564
  6250.57560       0.999633   0.992564
  6250.58230       1.000057   0.992563
  6250.58960       1.000451   0.992563
  6250.59690       1.000552   0.992562
  6250.60360       1.000532   0.992562
  6250.61100       1.000341   0.992561
  6250.61830       1.000382   0.992561
  6250.62500       1.001148   0.992560
  6250.63230       1.002025   0.992560
  6250.63900       1.002459   0.992559
  6250.64640       1.002812   0.992559
  6250.65370       1.002944   0.992558
  6250.66040       1.002541   0.992558
