wavelength_air_A,elo_eV,eup_eV,loggf,ew_mA,network,a_1dlte,delta_nlte,a_1dnlte,aberr,a_3dnlte,term_3d_atmosphere,in_domain
5809.1552,3.6946,5.8283,-3.135,67.00975554864553,gt02,7.7265625,0.0019299999999999999,7.7284925,0.0219631747898345,7.748525674789835,0.020033174789834796,True
5809.217,3.8835,6.0172,-1.84,67.05738434707558,gt02,7.7265625,0.0019299999999999999,7.7284925,0.0268652476662136,7.753427747666214,0.02493524766621391,True
5833.9249,2.6085,4.7331,-3.66,27.85045893915024,gt02,7.0322265625,,,0.0188537384906075,7.051080300990607,,True
5834.0383,,,,28.04334675793751,,7.041015625,,,,,,False
5845.9605,4.913,7.0332,-1.786,16.061496079818188,gt02,7.515625,,,,,,False
5848.0661,3.2657,5.3852,-3.065,45.41753012926294,gt02,7.322265625,,,,,,False
5848.1259,4.6076,6.7271,-1.057,45.43235666271789,gt02,7.322265625,,,0.0512216320198296,7.373487257019829,,True
5852.218,4.5485,6.6665,-1.33,46.98579636497181,gt02,7.5859375,,,0.043853981593823,7.629791481593823,,True
5855.0751,4.6076,6.7246,-1.478,27.221664479131693,gt02,7.498046875,,,0.047907315871874,7.545954190871874,,True
5856.0876,4.2944,6.411,-1.328,39.50794207186052,gt02,7.357421875,,,0.0442001077109085,7.401621982710909,,True
5880.0267,4.5585,6.6665,-1.94,48.03002331870945,gt02,7.796875,,,0.0437454805877806,7.840620480587781,,True
5885.0534,4.988,7.0942,-1.479,24.38581090344057,gt02,7.76171875,,,,,,False
5905.6709,4.652,6.7509,-0.73,69.24710464677054,gt02,7.55078125,0.012440000000000003,7.56322125,0.0488697182420144,7.599650968242014,0.03642971824201435,True
5916.2469,2.4534,4.5485,-2.994,65.53406680762446,gt02,7.62109375,0.0029300000000000003,7.62402375,-0.015478606303627,7.605615143696373,-0.01840860630362684,True
5918.9308,4.2562,6.3503,-2.561,58.13883188038262,,,,,,,,False
5927.7883,4.652,6.743,-1.09,49.8081743031396,gt02,7.515625,0.00093,7.516555,0.0496908552448348,7.565315855244835,0.048760855244834644,True
5940.9907,4.1777,6.264,-2.15,46.64853007727891,gt02,8.060546875,,,,,,False
5956.6933,0.859,2.9398,-4.605,60.42058697856526,lt02,7.65625,0.02579,7.68204,-0.0412417219515488,7.615008278048451,-0.06703172195154838,True
5959.9145,4.1426,6.2224,-2.496,20.74909415098166,gt02,7.796875,,,0.0356123327538672,7.8324873327538675,,True
5975.349,4.8349,6.9092,-0.693,58.246232698942,gt02,7.111328125,,,,,,False
6005.5313,4.1777,6.2416,-3.214,28.50468601174867,gt02,7.62109375,,,-0.0978970849574554,7.523196665042544,,True
6012.2095,2.2227,4.2843,-4.038,31.227928962010992,gt02,7.638671875,,,0.0021334260140984,7.640805301014098,,True
6015.2431,2.2227,4.2833,-4.68,20.395368623443787,gt02,7.955078125,,,,,,False
6027.0703,,,,71.21696861215368,,7.41015625,0.012510000000000002,7.42266625,,,,False
6082.7098,2.2227,4.2605,-3.573,42.2925923471819,gt02,7.5859375,0.014270000000000001,7.6002075,-0.0256162083810135,7.560321291618987,-0.03988620838101298,True
6085.2575,2.7586,4.7955,-3.095,46.282396546696496,gt02,8.1484375,,,0.0087126532116714,8.15715015321167,,True
6093.6421,4.6076,6.6417,-1.5,35.937491974491614,gt02,7.603515625,0.011200000000000002,7.614715625,0.0452748139219971,7.648790438921997,0.03407481392199774,True
6094.3724,4.652,6.6859,-1.94,24.06734181931968,gt02,7.796875,,,0.0447307796495297,7.84160577964953,,True
6096.6565,3.9841,6.0172,-1.93,43.214263694664496,gt02,7.48046875,0.002,7.48246875,0.0318271413345444,7.512295891334545,0.029827141334545004,True
6098.2432,4.5585,6.5911,-1.88,21.26240268882877,gt02,7.673828125,0.010270000000000001,7.684098125,0.0461874331421527,7.720015558142153,0.03591743314215279,True
6105.1272,4.5485,6.5788,-2.05,16.471838002398616,gt02,7.919921875,0.010580000000000003,7.930501875,0.0430154016185629,7.962937276618563,0.03243540161856284,True
6127.9058,4.1426,6.1654,-1.399,55.34297806579709,gt02,7.515625,,,0.0413167864416389,7.556941786441639,,True
6147.8339,4.0758,6.092,-1.671,76.84572769328206,gt02,7.515625,,,0.028977865487436,7.544602865487436,,True
6151.6169,2.1759,4.1909,-3.299,52.814225658225816,gt02,7.498046875,,,-0.0224646958711457,7.475582179128854,,True
6157.7275,4.0758,6.0887,-1.26,71.6916448150027,gt02,7.65625,,,0.0322037260291669,7.6884537260291665,,True
6159.3729,4.6076,6.62,-1.97,16.231627932090966,gt02,7.673828125,,,0.0453878744925545,7.719215999492555,,True
6165.3594,4.1426,6.1531,-1.474,49.745291291952526,gt02,7.515625,0.011580000000000003,7.527205,0.0361956045347305,7.551820604534731,0.02461560453473055,True
6173.334,2.2227,4.2305,-2.88,74.01282783679628,gt02,7.55078125,,,-0.0328920006700349,7.517889249329965,,True
6180.2018,2.7275,4.7331,-2.586,66.40472808520833,gt02,7.4453125,,,,,,False
6185.6927,5.6491,7.6529,-0.625,22.02348348280777,gt02,9.150390625,,,,,,False
6187.9888,3.9433,5.9464,-1.72,53.06138460699017,gt02,7.4453125,,,0.0235956819259199,7.468908181925919,,True
6216.3553,4.7331,6.7271,-1.424,43.88847049144261,gt02,8.201171875,,,0.0512358297461256,8.252407704746126,,True
6226.7338,3.8835,5.8741,-2.22,33.682534831981364,gt02,7.568359375,0.011200000000000002,7.579559375,0.0312684862687367,7.599627861268737,0.020068486268737473,True
6229.2255,2.845,4.8349,-2.805,44.18226438484346,gt02,7.375,,,-0.0001458074954467,7.374854192504554,,True
6240.6458,2.2227,4.2089,-3.233,57.223288123592575,gt02,7.26953125,0.0032400000000000016,7.27277125,-0.0231817986805792,7.24634945131942,-0.026421798680579478,True
6270.223,2.8581,4.8349,-2.464,60.30865897817917,gt02,7.392578125,,,-0.0004577729101923,7.392120352089807,,True
6271.2775,3.332,5.3085,-2.703,31.957449013308825,gt02,7.568359375,,,0.0293157439674896,7.59767511896749,,True
6279.7443,5.3139,7.2877,-1.523,70.03598456821777,,,,,,,,False
6330.8474,4.7331,6.691,-1.74,38.99237527021004,gt02,8.04296875,,,0.0483177384041927,8.091286488404192,,True
6380.7428,4.1864,6.1289,-1.376,57.71826012448468,gt02,7.65625,,,0.0286664752702521,7.684916475270252,,True
6383.7149,4.4733,6.4149,-2.653,12.985894126373635,gt02,7.708984375,,,-0.0276166565543843,7.681367718445616,,True
6392.5374,2.2786,4.2176,-4.03,21.39793177579137,gt02,7.5068359375,0.0,7.5068359375,-0.0032798307085389,7.503556106791461,-0.003279830708539322,True
