element,ion,band,wavelength_air_A,ew_mA,rew,a_1dlte,in_aggregate_1dlte,excluded_reason_1dlte,elo_eV,eup_eV,loggf,n_vald_candidates,network,domain_reason,feature_ok,delta_E_ok,level_ok,stellar_ok,in_domain,delta_E_eV,aberr,aberr_axis_line,aberr_if_extrapolated,a_3dnlte
Fe,I,VIS,4637.503,,,7.496,True,nan,3.283,5.9558,-1.29,1,gt02,"transition energy Eup-Elo 2.6728 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.6728,,,0.05247725173948026,
Fe,I,VIS,4654.605,,,7.399,True,nan,3.6025,6.2655,-1.14,1,gt02,"transition energy Eup-Elo 2.6630 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2655 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.6630000000000003,,,0.07238766104263683,
Fe,I,VIS,4654.631,,,7.407,True,nan,3.2112,5.8741,-1.34,1,gt02,"transition energy Eup-Elo 2.6629 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.6629000000000005,,,0.05719154987210198,
Fe,I,VIS,4667.453,,,7.58,True,nan,3.6025,6.2581,-0.71,2,gt02,"transition energy Eup-Elo 2.6556 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2581 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.6555999999999997,,,0.06678671917587928,
Fe,I,VIS,4668.134,,,7.337,True,nan,3.2657,5.9209,-1.08,2,gt02,"transition energy Eup-Elo 2.6552 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.6552,,,0.056212495976573976,
Fe,I,VIS,4669.171,,,7.575,True,nan,3.6537,6.3083,-1.25,1,gt02,"transition energy Eup-Elo 2.6546 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.3083 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.6546,,,0.07152853299194205,
Fe,I,VIS,4678.846,,,7.475,True,nan,3.6025,6.2517,-0.68,1,gt02,"transition energy Eup-Elo 2.6492 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2517 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.6491999999999996,,,0.06517770359799083,
Fe,I,VIS,4704.948,,,7.502,True,nan,3.6864,6.3208,-1.32,1,gt02,"transition energy Eup-Elo 2.6344 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.6344000000000003,,,0.06051392058032219,
Fe,I,VIS,4707.274,,,7.607,True,nan,3.241,5.8741,-0.96,1,gt02,"transition energy Eup-Elo 2.6331 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.6331,,,0.061600892025855294,
Fe,I,VIS,4708.968,,,7.628,True,nan,3.6398,6.272,-2.07,1,gt02,"transition energy Eup-Elo 2.6322 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2720 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.6322,,,0.04739001161732842,
Fe,I,VIS,4709.088,,,7.622,True,nan,3.6537,6.2858,-1.32,1,gt02,"transition energy Eup-Elo 2.6321 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2858 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.6321,,,0.059976894922539756,
Fe,I,VIS,4720.962,,,7.423,True,nan,4.1544,6.7799,-1.86,1,gt02,"transition energy Eup-Elo 2.6255 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.6254999999999997,,,0.05482722746778762,
Fe,I,VIS,4726.137,,,7.285,True,nan,2.998,5.6207,-2.89,1,gt02,"transition energy Eup-Elo 2.6227 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.6227,,,0.022453231234868642,
Fe,I,VIS,4727.395,,,7.589,True,nan,3.6864,6.3083,-1.06,1,gt02,"transition energy Eup-Elo 2.6219 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.3083 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.6219,,,0.0721183948094655,
Fe,I,VIS,4736.773,,,7.645,True,nan,3.2112,5.8279,-0.67,1,gt02,"transition energy Eup-Elo 2.6167 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.6167,,,0.08011089331359782,
Fe,I,VIS,4741.069,,,7.459,True,nan,3.332,5.9464,-2.4,1,gt02,"transition energy Eup-Elo 2.6144 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.6144,,,0.04007779686310729,
Fe,I,VIS,4745.8,,,7.378,True,nan,3.6537,6.2655,-1.25,1,gt02,"transition energy Eup-Elo 2.6118 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2655 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.6118,,,0.06429325772325116,
Fe,I,VIS,4768.32,,,7.581,True,nan,3.6864,6.2858,-1.41,1,gt02,"transition energy Eup-Elo 2.5994 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2858 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.5994,,,0.04385992768568181,
